@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|port_aid|port_ipaddr|port_num|product_type|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan
10.204.10.185/1|10.204.10.185/1|10.204.10.185/1|NFO-MOBILITYUNI|NTE|NTE|true|B|1||0||||||||||UNI|||9|56/KRFN/329493/SB|||CIENA NTE|Y||
10.204.1.78/25|10.204.1.78/25|10.204.1.78/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||SNJSCA02W31|JUNIPER MX SERIES|192.168.112.43|10.144.0.154||ge-3/1/5|||NNI|||||JU103/GE1N/SNJPCAOT0AW/SNJSCA02W31||CIENA NTE|Y||4092
10.204.144.93/0|10.204.144.93/0|10.204.144.93/0|NFO-EMUX|EMUX|NTE|true|B|3.1||1||GSVLFLSTXAY|JUNIPER MX SERIES|10.204.244.83|143.0.24.168||xe-5/0/2|||NNI|||||102/GE10/GSVLFLSTXAY/GSVLFLST000||CIENA EMUX|||
10.204.82.86/25|10.204.82.86/25|10.204.82.86/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAAJ3D|JUNIPER MX SERIES|12.122.123.50|12.123.80.236||ge-0/0/7|||NNI|||||F101S/GE1N/CRCYNVAAJ3D/CRCYNVAAKB9||CIENA NTE|Y||4092
10.204.132.92/10|10.204.132.92/10|10.204.132.92/10|NFO-MOBILITY|NTE|NTE|true|B|10||1||GSVLFLANH04|JUNIPER MX SERIES|10.204.243.118|143.0.68.244||ge-0/0/0|||NNI|AAF-SECONDARY||||JU102/GE1N/GSVLFLANHR1/GSVLFLANH04|JU103/GE1N/GSVLFLANHR1/GSVLFLANH01|CIENA NTE|Y||4092
10.204.84.228/8|10.204.84.228/8|10.204.84.228/8|NFO-MOBILITYUNI|NTE|NTE|true|S|8||0||||||||||UNI|||10|15/KRFN/270190/NV|||CIENA NTE|Y||
10.204.84.211/1|10.204.84.211/1|10.204.84.211/1|NFO-MOBILITYUNI|NTE|NTE|true|S|1||0||||||||||UNI|||9|34/HGYT/989099/KI|||CIENA NTE|Y||
10.204.82.4/28|10.204.82.4/28|10.204.82.4/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI|||25|22/EKTA/554466/KL|||CIENA NTE|Y||
10.204.90.186/27|10.204.90.186/27|10.204.90.186/27|NFO-MOBILITY|NTE|NTE|true|S|27||0||CRCYNVAA56W|JUNIPER MX SERIES|12.81.161.160|8.8.0.154||ge-0/1/4|||NNI|||||P101S/GE1N/CRCYNVAA1Q7/CRCYNVAA56W||CIENA NTE|Y||
10.204.80.96/1|10.204.80.96/1|10.204.80.96/1|NTE-CFO|IPAG|NTE|true|S|1||1||||||||||UNI|||25|24/KRFN/725780/SB|||CIENA NTE|Y||
10.204.132.153/SM-B/1|10.204.132.153/SM-B/1|10.204.132.153/SM-B/1|NFO-TA5000|TA5000|NTE|true|B|1||1||GSVLFLANAC1|JUNIPER MX SERIES|10.204.243.114|143.0.68.240||ge-1/0/3|||NNI|||||103/GE1N/GSVLFLANAC1/GSVLFLANPWK||ADTRAN 5000 SERIES|||
10.204.134.206/9|10.204.134.206/9|10.204.134.206/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||ANHMCAGTN01|JUNIPER MX SERIES|10.204.243.88|143.0.68.214||ge-1/0/3|||NNI|AAF-PRIMARY||||JU102/GE1N/ANHMCAGTN01/ANHMCAGT02T|JU102/GE1N/ANHMCAGTN02/ANHMCAGT02T|CIENA NTE|Y||4092
10.204.30.64/10|10.204.30.64/10|10.204.30.64/10|NFO-MOBILITY|NTE|NTE|true|S|10||0||SNJSCADR0AW|CIENA EMUX|10.204.30.65|||1|||NNI|||||JU104/GE1N/SNJSCAALW01/SNJSCADR0AW||CIENA NTE|N||4092
10.204.1.87/12|10.204.1.87/12|10.204.1.87/12|NFO-MOBILITYUNI|NTE|NTE|true|S|12||12||||||||||UNI|||25|35/KRFN/128106/PT|||CIENA NTE|Y||
10.204.134.201/23|10.204.134.201/23|10.204.134.201/23|NFO-EMUX|EMUX|NTE|true|S|23||1||ANHMCAGTO6A|JUNIPER MX SERIES|10.204.243.145|143.0.24.15||ge-1/3/9|||NNI|||||103/GE1N/ANHMCAGTO10/ANHMCAGTO6A||CIENA EMUX|||
10.204.9.98/25|10.204.9.98/25|10.204.9.98/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||DYBHFLMAW27|JUNIPER MX SERIES|10.204.242.44|149.9.0.27||ge-1/0/0|||NNI|||||JU101/GE1N/DYBHFLMAW05/DYBHFLMAW27||CIENA NTE|Y||4092
192.168.113.97/27|192.168.113.97/27|192.168.113.97/27|NTE-CFO|IPAG|NTE|true|S|27||0||||||||||UNI|||26|86/KRGN/999888/PT|||CIENA NTE|Y||
10.204.1.82/17|10.204.1.82/17|10.204.1.82/17|NFO-MOBILITYUNI|NTE|NTE|true|S|17||17||||||||||UNI|||25|35/KQFN/128195/PT|||CIENA NTE|Y||
10.204.66.68/11|10.204.66.68/11|10.204.66.68/11|NFO-MOBILITY|NTE|NTE|true|B|11||1||ORLDFLMA61W|JUNIPER MX SERIES|192.168.112.101|10.144.0.65||xe-5/3/0|||NNI|||||JP109/GE10/ORLDFLAC1MD/ORLDFLMA61W||CIENA NTE|Y||4092
10.204.82.46/25|10.204.82.46/25|10.204.82.46/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAAJ1D|JUNIPER MX SERIES|12.122.123.49|12.123.80.235||ge-0/0/7|||NNI|||||A101J/GE1N/CRCYNVAAANS/CRCYNVAAJ1D||CIENA NTE|Y||4092
10.204.10.59/9|10.204.10.59/9|10.204.10.59/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMCV01|JUNIPER MX SERIES|10.204.243.44|143.0.68.172||ge-0/0/0|||NNI|||||JU101/GE1N/DYBHFLMCV01/DYBHFLMCYG2||CIENA NTE|Y||4092
135.16.243.16/4|135.16.243.16/4|135.16.243.16/4|NTE-CFO|IPAG|NTE|true|B|4||4||||||||||UNI|||10|58/KQFN/123101/SB|||CIENA NTE|Y||
192.168.128.102/1|192.168.128.102/1|192.168.128.102/1|NTE-CFO|IPAG|NTE|true|B|1||0||||||||||UNI|||9|58/KQGN/700332/SB|||CIENA NTE|Y||
10.204.22.83/10|10.204.22.83/10|10.204.22.83/10|NFO-MOBILITY|NTE|NTE|true|B|10||1||JCVLFLCL51W|JUNIPER MX SERIES|150.234.53.207|||ge-1/1/0|||NNI|||||JU101/GE1N/JCVLFLCL51W/JCVLFLMCN04||CIENA NTE|N||
10.204.132.140/6|10.204.132.140/6|10.204.132.140/6|NTE-CFO|IPAG|NTE|true|B|6||6||||||||||UNI|||9|22/KQGN/223322/SB|||CIENA NTE|Y||
10.204.80.103/25|10.204.80.103/25|10.204.80.103/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAA2IP|JUNIPER MX SERIES|12.122.122.52|12.123.80.26||ge-1/0/9|||NNI|||||A101R/GE1N/CRCYNVAADED/CRCYNVAA2IP||CIENA NTE|N||4092
10.204.129.104/25|10.204.129.104/25|10.204.129.104/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||GSVLFLANWAG|JUNIPER MX SERIES|12.122.123.227|148.0.131.196||ge-2/0/0|||NNI|||||JX101/GE1N/GSVLFLANWAG/GSVLFLWCA01||CIENA NTE|N||4092
10.204.85.79/24|10.204.85.79/24|10.204.85.79/24|NFO-EMUX|EMUX|NTE|true|S|24||1||CRCYNVMAD09|JUNIPER MX SERIES|10.204.242.126|149.0.3.206||ge-1/0/0|||NNI|||||104/GE1N/CRCYNVMAD09/CRCYNVMAD81||CIENA EMUX|||
10.204.8.101/25|10.204.8.101/25|10.204.8.101/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||DYBHFLMA73D|JUNIPER MX SERIES|10.204.241.17|148.0.131.222||ge-2/0/0|||NNI|||||JU102/GE1N/DYBHFLMA73D/DYBHFLMA73F||CIENA NTE|N||4092
10.204.9.141/9|10.204.9.141/9|10.204.9.141/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||CRCYNVMAB66|JUNIPER MX SERIES|10.204.241.107|150.0.0.162||ge-5/1/4|||NNI|||||JU102/GE1N/CRCYNVMAB66/DYBHFLMACDR||CIENA NTE|N||4092
10.204.129.86/22|10.204.129.86/22|10.204.129.86/22|NFO-EMUX|EMUX|NTE|true|B|22||1||GSVLFLMA05W|JUNIPER MX SERIES|12.122.123.35|12.123.80.221||ge-1/0/0|||NNI|||||JU102/GE1N/GSVLFLMA05W/GSVLFLMA06W||CIENA EMUX|||
10.204.66.84/10|10.204.66.84/10|10.204.66.84/10|NFO-MOBILITY|NTE|NTE|true|B|10||1||ORLDFLPH51W|JUNIPER MX SERIES|192.168.112.28|10.144.0.147||ge-5/2/2|||NNI|||||JU104/GE1N/ORLDFLPH51W/ORLEFLBPH01||CIENA NTE|Y||4092
10.204.80.88/25|10.204.80.88/25|10.204.80.88/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAA2IP|JUNIPER MX SERIES|12.122.122.52|12.123.80.26||ge-1/0/3|||NNI|DA||||P101H/GE1N/CRCYNVAA2IP/CRCYNVHU9LG|P104B/GE1N/CRCYNVAA3IP/CRCYNVHU4LH|CIENA NTE|Y||4092
10.204.65.135/25|10.204.65.135/25|10.204.65.135/25|NFO-MOBILITY|NTE|NTE|true|B|25||0||ORLDFL32ZSA|JUNIPER MX SERIES|12.122.122.235|12.123.80.197||ge-0/0/1|||NNI|||||S101P/GE1N/ORLDFL32N35/ORLDFL32ZSA||CIENA NTE|Y||4092
10.204.8.113/9|10.204.8.113/9|10.204.8.113/9|NTE-CFO|IPAG|NTE|true|B|9||0||||||||||UNI|||11|05/KSFN/280285/SB|||CIENA NTE|Y||
10.204.11.3/9|10.204.11.3/9|10.204.11.3/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMB2MX|JUNIPER MX SERIES|10.204.243.42|143.0.68.170||ge-5/2/1|||NNI|||||JU101/GE1N/DYBHFLMB1R3/DYBHFLMB2MX||CIENA NTE|Y||4092
10.204.67.120/9|10.204.67.120/9|10.204.67.120/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||ORLDFLMA51W|JUNIPER MX SERIES|192.168.112.26|10.144.0.137||ge-2/0/5|||NNI|||||JU101/GE1N/ORLDFLMA51W/ORLDFLMA6GB||CIENA NTE|Y||4092
10.204.10.12/9|10.204.10.12/9|10.204.10.12/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMAL08|JUNIPER MX SERIES|10.204.242.143|149.0.3.222||ge-2/0/2|||NNI|||||R102S/GE1N/DYBHFLMAL08/DYBHFLMAZUJ||CIENA NTE|N||4092
10.204.66.232/9|10.204.66.232/9|10.204.66.232/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||ORLDFLDN0DW|JUNIPER MX SERIES|10.204.241.112|150.0.0.167||ge-1/0/2|||NNI|||||JU101/GE1N/ORLDFLDNKE8/ORLDFLDN0DW||CIENA NTE|N||4092
10.204.64.183/SM-A/1|10.204.64.183/SM-A/1|10.204.64.183/SM-A/1|NFO-TA5000|TA5000|NTE|true|B|1||1||ORLDFL32PB1|JUNIPER MX SERIES|12.122.122.55|12.123.80.29||ge-3/0/1|||NNI|||||T101R/GE1N/ORLDFL32PB1/ORLDFL32PU2||ADTRAN 5000 SERIES|||
10.204.160.107/25|10.204.160.107/25|10.204.160.107/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||RLGHNCMOG1R|JUNIPER MX SERIES|10.204.246.184|12.80.68.132||ge-5/0/0|||NNI|||||S101G/GE1N/RLGHNCMOG1R/RLGHNCMOG5R||CIENA NTE|N||
10.204.8.89/26|10.204.8.89/26|10.204.8.89/26|NFO-MOBILITY|NTE|NTE|true|B|26||1||DYBHFLMAH28|JUNIPER MX SERIES|12.122.123.179|148.0.131.145||ge-2/0/0|||NNI|AAF-SECONDARY||||JU101/GE1N/DYBHFLMAH28/DYBHFLMAH32|JU101/GE1N/DYBHFLMAH27/DYBHFLMAH32|CIENA NTE|Y||4092
192.168.113.79/4|192.168.113.79/4|192.168.113.79/4|NTE-CFO|IPAG|NTE|true|B|4||0||||||||||UNI|||11|85/KRFN/130422/SB|||CIENA NTE|Y||
10.204.9.149/9|10.204.9.149/9|10.204.9.149/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMACDF|JUNIPER MX SERIES|10.204.242.75|149.0.3.156||ge-2/0/2|||NNI|||||JU101/GE1N/DYBHFLMACDF/DYBHFLMAR63||CIENA NTE|N||4092
10.204.84.134/1|10.204.84.134/1|10.204.84.134/1|NFO-MOBILITYUNI|NTE|NTE|true|S|1||0||||||||||UNI|||9|04/JAIN/020912/AJ|||CIENA NTE|Y||
10.204.80.139/25|10.204.80.139/25|10.204.80.139/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAA2IP|JUNIPER MX SERIES|12.122.122.52|12.123.80.26||ge-4/0/1|||NNI|||||V101H/GE1N/CRCYNVAA2IP/CRCYNVHU3LJ|V101C/GE1N/CRCYNVAA3IP/CRCYNVHU4LJ|CIENA NTE|Y||4092
10.204.10.97/9|10.204.10.97/9|10.204.10.97/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMCV01|JUNIPER MX SERIES|10.204.243.44|143.0.68.172||ge-0/0/7|||NNI|||||JU101/GE1N/DYBHFLMCV01/DYBHFLMC1QQ||CIENA NTE|Y||4092
10.204.90.157/25|10.204.90.157/25|10.204.90.157/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAA81W|JUNIPER MX SERIES|12.81.161.202|8.8.0.190||ge-0/1/9|||NNI|||||K101M/GE1N/CRCYNVAA81W/CRCYNVAA82W||CIENA NTE|N||
10.204.9.158/11|10.204.9.158/11|10.204.9.158/11|NFO-MOBILITY|NTE|NTE|true|B|11||1||DYBHFLMAL07|JUNIPER MX SERIES|10.204.242.124|149.0.3.204||xe-0/0/0|||NNI|DA||||JP103/GE10/DYBHFLMAL07/DYBHFLMAL36|JP109/GE10/DYBHFLMAL06/DYBHFLMAL35|CIENA NTE|Y||4092
10.204.82.89/2|10.204.82.89/2|10.204.82.89/2|NTE-CFO|IPAG|NTE|true|S|2||2||||||||||UNI|||25|76/UNIS/832833/RS|||CIENA NTE|Y||
192.168.95.31/3|192.168.95.31/3|192.168.95.31/3|NTE-CFO|IPAG|NTE|true|S|3||0||||||||||UNI|||10|86/KRGN/506835/PT|||CIENA NTE|Y||
10.204.8.90/28|10.204.8.90/28|10.204.8.90/28|NTE-CFO|IPAG|NTE|true|B|28||0||||||||||UNI|||25|56/KRGN/700006/SB|||CIENA NTE|Y||
10.204.200.68/9|10.204.200.68/9|10.204.200.68/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||SNJSCA0214W|JUNIPER MX SERIES|143.1.33.38|143.0.68.51||ge-2/0/7|||NNI|||||JU101/GE1N/SNJSCAALH02/SNJSCA0214W||CIENA NTE|N||4092
10.204.84.237/11|10.204.84.237/11|10.204.84.237/11|NFO-MOBILITY|NTE|NTE|true|S|11||1||CRCYNVMAD06|JUNIPER MX SERIES|10.204.242.113|149.0.3.194||xe-0/0/0|||NNI|||||JU101/GE10/CRCYNVMAD06/CRCYNVMAD23||CIENA NTE|Y||4092
10.204.8.94/1|10.204.8.94/1|10.204.8.94/1|NTE-CFO|IPAG|NTE|true|B|1||1||||||||||UNI|||25|02/KQGN/389300/SB|||CIENA NTE|Y||
10.204.134.202/6|10.204.134.202/6|10.204.134.202/6|NFO-MOBILITYUNI|NTE|NTE|true|S|6||0||||||||||UNI|||9|99/KRFN/338111/NV|||CIENA NTE|Y||
10.204.8.68/21|10.204.8.68/21|10.204.8.68/21|NFO-EMUX|EMUX|NTE|true|B|21||0||DYBHFLMAX5Z|JUNIPER MX SERIES|12.122.123.54|150.0.0.4||ge-1/0/0|||NNI|||||G101T/GE1N/DYBHFLMAXFZ/DYBHFLMAX5Z||CIENA EMUX|||
10.204.135.198/9|10.204.135.198/9|10.204.135.198/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||SNJSCA020FW|JUNIPER MX SERIES|12.122.121.13|143.0.24.132||ge-2/0/2|||NNI|||||JU103/GE1N/SNJSCAAL0DW/SNJSCA020FW||CIENA NTE|N||4092
10.204.80.66/25|10.204.80.66/25|10.204.80.66/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAA2IP|JUNIPER MX SERIES|12.122.122.52|12.123.80.26||ge-2/1/7|||NNI|||||H101Y/GE1N/CRCYNVAA2IP/CRCYNVHUJ7F||CIENA NTE|Y||4092
10.204.11.166/1|10.204.11.166/1|10.204.11.166/1|NFO-MOBILITYUNI|NTE|NTE|true|B|1||0||||||||||UNI|||9|01/KRFN/010113/DP|||CIENA NTE|Y||
10.204.90.160/1|10.204.90.160/1|10.204.90.160/1|NTE-CFO|IPAG|NTE|true|S|1||1||||||||||UNI|||25|10/KQGN/101010/NV|||CIENA NTE|Y||
10.204.67.86/9|10.204.67.86/9|10.204.67.86/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||ORLDFLPH51W|JUNIPER MX SERIES|192.168.112.28|10.144.0.147||ge-3/0/9|||NNI|||||JU102/GE1N/ORLDFLPH51W/ORLLFLHS02W||CIENA NTE|N||4092
10.204.81.81/25|10.204.81.81/25|10.204.81.81/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||SNJSCAHUDK3|JUNIPER MX SERIES|12.122.122.250|12.123.80.214||ge-3/0/6|||NNI|DA||||101/GE1N/SNJSCAHUDK3/SNJSCAHUUHK|101/GE1N/SNJSCAHUDK3/SNJSCAHUUHG|CIENA NTE|Y||4092
10.204.176.105/9|10.204.176.105/9|10.204.176.105/9|NTE-CFO|IPAG|NTE|true|B|9||0||||||||||UNI|||10|03/KQGN/260710/SB|||CIENA NTE|Y||
10.204.83.147/5|10.204.83.147/5|10.204.83.147/5|NTE-CFO|IPAG|NTE|true|S|5||0||||||||||UNI|DA||9|55/KRFN/810151/NV||54/KRFN/810151/NV|CIENA NTE|Y||
10.204.85.17/10|10.204.85.17/10|10.204.85.17/10|NFO-MOBILITY|NTE|NTE|true|S|10||1||CRCYNVMAV23|JUNIPER MX SERIES|10.204.242.150|149.0.3.228||ge-4/0/1|4091||NNI|||||JU102/GE1N/CRCYNVMAR00/CRCYNVMAV23||CIENA NTE|Y||
10.204.175.67/22|10.204.175.67/22|10.204.175.67/22|NFO-EMUX|EMUX|NTE|true|B|22||0||PNCYFLMA51W|JUNIPER MX SERIES|10.204.246.231|12.80.84.11||ge-0/0/0|||NNI|||||102/GE1N/PNCYFLCA51W/PNCYFLMA51W||CIENA EMUX|||
10.204.81.165/25|10.204.81.165/25|10.204.81.165/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAAJ1D|JUNIPER MX SERIES|12.122.123.49|12.123.80.235||ge-1/0/4|||NNI|AAF-PRIMARY||||JU102/GE1N/CRCYNVAAJ1D/CRCYNVAA0W1|JU102/GE1N/CRCYNVAAH2B/CRCYNVAA0W1|CIENA NTE|Y||4092
10.204.200.218/25|10.204.200.218/25|10.204.200.218/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||ORLDFL24FIP|JUNIPER MX SERIES|10.204.246.168|12.82.0.53||ge-3/0/2|||NNI|||||101/GE1N/ORLDFL24FIP/ORLDFL24NE1||CIENA NTE|N||4092
10.204.201.42/25|10.204.201.42/25|10.204.201.42/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||ORLDFL24FIP|JUNIPER MX SERIES|10.204.246.168|12.82.0.53||ge-5/3/0|||NNI|||||A101S/GE1N/ORLDFL24FIP/ORLDFL24RS1||CIENA NTE|N||4092
10.204.81.243/28|10.204.81.243/28|10.204.81.243/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI||||15/KRFN/270185/NV|||CIENA NTE|Y||
10.204.80.95/28|10.204.80.95/28|10.204.80.95/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI|||25|01/DRTJ/897676/FJ|||CIENA NTE|Y||
10.204.66.158/2|10.204.66.158/2|10.204.66.158/2|NTE-CFO|IPAG|NTE|true|B|2||0||||||||||UNI|||9|45/KRFN/123456/FL|||CIENA NTE|Y||
10.204.64.154/SM-A/1|10.204.64.154/SM-A/1|10.204.64.154/SM-A/1|NFO-TA5000|TA5000|NTE|true|B|1||1||ORLDFL32PB1|JUNIPER MX SERIES|12.122.122.55|12.123.80.29||ge-1/0/0|||NNI|||||P101S/GE1N/ORLDFL32PB1/ORLDFL32PB3||ADTRAN 5000 SERIES|||
10.204.82.191/25|10.204.82.191/25|10.204.82.191/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||RENONVYAPFR|JUNIPER MX SERIES|10.204.241.43|150.0.0.89||ge-1/0/8|||NNI|||||JU101/GE1N/RENONVYABV6/RENONVYAPFR||CIENA NTE|Y||4092
10.204.12.39/2|10.204.12.39/2|10.204.12.39/2|NTE-CFO|IPAG|NTE|true|B|2||0||||||||||UNI|||9|01/KRFN/240413/PJ|||CIENA NTE|Y||
10.204.32.69/5|10.204.32.69/5|10.204.32.69/5|NTE-CFO|IPAG|NTE|true|B|5||5||||||||||UNI|||9|78/UNIF/983924/RS|||CIENA NTE|Y||
10.204.1.107/9|10.204.1.107/9|10.204.1.107/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||SNTCCA0111W|JUNIPER MX SERIES|192.168.112.44|10.144.0.155||ge-3/0/0|||NNI|AAF-PRIMARY||||JU102/GE1N/SNJPCAEB0AW/SNTCCA0111W|JU101/GE1N/SNJPCAEB0AW/SNJSCA02W31|CIENA NTE|N||4092
10.204.176.95/25|10.204.176.95/25|10.204.176.95/25|NFO-MOBILITY|NTE|NTE|true|B|25||0||DYBHFLMAH44|CIENA EMUX|10.204.176.72|||2|||NNI|||||D103L/GE1N/DYBHFLHU9AW/DYBHFLMAH44||CIENA NTE|N||
10.204.2.103/23|10.204.2.103/23|10.204.2.103/23|NFO-EMUX|EMUX|NTE|true|S|23||1||SNFCCA061AD|JUNIPER MX SERIES|10.204.243.69|143.0.68.195||ge-1/0/2|||NNI|||||A101Z/GE1N/SNFCCA061AD/SNFCCA06841||CIENA EMUX|||
10.204.90.228/25|10.204.90.228/25|10.204.90.228/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAAC1K|JUNIPER MX SERIES|12.81.162.9|8.8.0.238||ge-5/3/5|||NNI|||||A101S/GE1N/CRCYNVAAC1K/CRCYNVAAC2K||CIENA NTE|N||
10.204.81.62/1|10.204.81.62/1|10.204.81.62/1|NTE-CFO|IPAG|NTE|true|S|1||1||||||||||UNI|||25|00/UNIF/240387/JP|||CIENA NTE|Y||
10.204.81.62/25|10.204.81.62/25|10.204.81.62/25|NFO-MOBILITY|NTE|NTE|true|S|25||0||SNJSCAHUDK1|JUNIPER MX SERIES|12.122.122.248|12.123.80.212||ge-2/0/9|||NNI|||||H101D/GE1N/SNJSCAHUDHC/SNJSCAHUDK1||CIENA NTE|Y||4092
10.204.67.53/301|10.204.67.53/301|10.204.67.53/301|NFO-MOBILITY|NTE|NTE|true|B|301||7||ORLDFLMA62W|ADTRAN 5000 SERIES|192.168.113.200||20|5|||NNI|||||58/KQGN/700360/SB_279208||ADTRAN 800 SERIES|N||4092
192.168.95.37/1|192.168.95.37/1|192.168.95.37/1|NTE-CFO|IPAG|NTE|true|S|1||0||||||||||UNI|||9|85/KRFN/306832/PT|||CIENA NTE|Y||
10.204.200.112/22|10.204.200.112/22|10.204.200.112/22|NFO-EMUX|EMUX|NTE|true|B|22||0||ORLDFL24Q10|JUNIPER MX SERIES|10.204.246.205|12.82.0.62||ge-3/0/9|||NNI|||||V101Q/GE1N/ORLDFL24A92/ORLDFL24Q10||CIENA EMUX|||
150.234.53.245/SM-A/1|150.234.53.245/SM-A/1|150.234.53.245/SM-A/1|NFO-TA5000|TA5000|NTE|true|B|1||1||JCVLFLCL51W|JUNIPER MX SERIES|150.234.53.207|||ge-1/1/8|||NNI|||||109/GE1N/JCVLFLCL51W/JCVLFLCL62W||ADTRAN 5000 SERIES|||
10.204.9.230/2|10.204.9.230/2|10.204.9.230/2|NTE-CFO|IPAG|NTE|true|B|2||0||||||||||UNI|||12|56/KRGN/700028/SB|||CIENA NTE|Y||
10.204.8.195/2|10.204.8.195/2|10.204.8.195/2|NTE-CFO|IPAG|NTE|true|B|2||0||||||||||UNI|||9|18/UNIF/140211/PJ|||CIENA NTE|Y||
10.204.81.209/9|10.204.81.209/9|10.204.81.209/9|NTE-CFO|IPAG|NTE|true|S|9||0||||||||||UNI|||10||06/KRFN/270185/NV||CIENA NTE|Y||
10.204.90.250/1|10.204.90.250/1|10.204.90.250/1|NFO-MOBILITY|NTE|NTE|true|S|1||1||CRCYNVAAE25|CIENA NTE|10.204.90.249|||26|||NNI|||||S101G/GE1N/CRCYNVAAE25/CRCYNVAAE26||CIENA EMUX|N||
10.204.166.81/9|10.204.166.81/9|10.204.166.81/9|NTE-CFO|IPAG|NTE|true|B|9||9||||||||||UNI|||25|23/PARI/166929/DD|||CIENA NTE|Y||
10.204.200.14/22|10.204.200.14/22|10.204.200.14/22|NFO-EMUX|EMUX|NTE|true|B|22||1||ORLDFL24Q10|JUNIPER MX SERIES|10.204.246.205|12.82.0.62||ge-2/0/2|||NNI|||||D102W/GE1N/ORLDFL24Q10/ORLDFL24X12||CIENA EMUX|||
10.204.83.93/24|10.204.83.93/24|10.204.83.93/24|NFO-EMUX|EMUX|NTE|true|S|24||1||CRCYNVMAA01|JUNIPER MX SERIES|10.204.241.254|150.0.0.212||ge-1/0/1|||NNI|||||104/GE1N/CRCYNVMAA01/CRCYNVMAA42||CIENA EMUX|||
10.204.132.75/9|10.204.132.75/9|10.204.132.75/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||GSVLFLST5MD|JUNIPER MX SERIES|10.204.243.86|143.0.68.212||ge-0/0/0|||NNI|||||JU101/GE1N/GSVLFLSTS1S/GSVLFLST5MD||CIENA NTE|N||4092
10.204.166.94/25|10.204.166.94/25|10.204.166.94/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||DYBHFLMA123|JUNIPER MX SERIES|12.81.161.111|8.8.0.118||ge-1/0/0|||NNI|||||R101F/GE1N/DYBHFLMA123/DYBHFLMA129||CIENA NTE|N||
10.204.11.42/25|10.204.11.42/25|10.204.11.42/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||DYBHFLMB2MX|JUNIPER MX SERIES|10.204.243.42|143.0.68.170||ge-4/0/0|||NNI|||||JU102/GE1N/DYBHFLMB2ML/DYBHFLMB2MX||CIENA NTE|Y||4092
10.204.11.106/9|10.204.11.106/9|10.204.11.106/9|NFO-MOBILITYUNI|NTE|NTE|true|B|9||0||||||||||UNI|||11|52/KSGN/185963/SB|||CIENA NTE|Y||
10.204.81.165/28|10.204.81.165/28|10.204.81.165/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI|||25|19/AAFU/250858/SR|||CIENA NTE|Y||
10.204.81.118/28|10.204.81.118/28|10.204.81.118/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI|||25|45/FRTG/453776/BT|||CIENA NTE|Y||
