@rel(Composed_Of)
@from(PE_Device)key|@to(PE_PPort)key
10.204.250.178|10.204.250.178/Fa0/1
12.123.116.36|12.123.116.36/5
10.204.241.12|10.204.241.12/FastEthernet0/10
10.204.241.8|10.204.241.8/FastEthernet0/22
10.204.244.197|10.204.244.197/FastEthernet0/13
12.82.18.4|12.82.18.4/FastEthernet 0/0
10.204.242.50|10.204.242.50/FastEthernet0/4
10.204.244.170|10.204.244.170/FastEthernet0/22
12.123.105.100|12.123.105.100/GigabitEthernet0/1
10.204.241.12|10.204.241.12/FastEthernet0/23
10.204.244.248|10.204.244.248/FastEthernet0/1
10.204.233.105|10.204.233.105/Gi0/2
10.204.241.3|10.204.241.3/FastEthernet0/3
10.204.250.26|10.204.250.26/Fa0/1
10.204.244.235|10.204.244.235/GigabitEthernet0/3
12.123.106.76|12.123.106.76/GigabitEthernet0/1/0
10.204.241.8|10.204.241.8/FastEthernet0/14
10.204.241.12|10.204.241.12/FastEthernet0/4
10.204.241.88|10.204.241.88/FastEthernet0/3
10.204.241.1|10.204.241.1/FastEthernet0/22
10.204.244.131|10.204.244.131/FastEthernet0/5
148.0.15.164|148.0.15.164/GigabitEthernet0/0
12.123.105.76|12.123.105.76/5
10.204.250.199|10.204.250.199/Gi0/2
10.204.250.247|10.204.250.247/Gi0/2
10.204.241.1|10.204.241.1/FastEthernet0/20
12.82.97.236|12.82.97.236/FastEthernet 0/0
12.82.66.132|12.82.66.132/FastEthernet 0/0
10.204.241.3|10.204.241.3/FastEthernet0/7
10.204.241.3|10.204.241.3/FastEthernet0/1
12.82.125.148|12.82.125.148/FastEthernet 0/0
10.204.244.197|10.204.244.197/FastEthernet0/1
10.204.244.248|10.204.244.248/FastEthernet0/19
10.204.244.4|10.204.244.4/FastEthernet0/24
10.204.233.67|10.204.233.67/Gi0/2
10.204.235.89|10.204.235.89/Gi0/1
148.0.0.204|148.0.0.204/GigabitEthernet0/0
10.204.241.88|10.204.241.88/FastEthernet0/17
10.204.250.33|10.204.250.33/Gi0/2
10.204.250.17|10.204.250.17/Fa0/1
10.204.241.12|10.204.241.12/FastEthernet0/7
10.204.241.2|10.204.241.2/FastEthernet0/2
10.204.244.197|10.204.244.197/FastEthernet0/8
10.204.244.235|10.204.244.235/FastEthernet0/9
12.82.92.132|12.82.92.132/FastEthernet 0/0
10.204.244.131|10.204.244.131/FastEthernet0/1
10.204.233.95|10.204.233.95/Gi0/2
10.204.241.88|10.204.241.88/FastEthernet0/1
192.168.114.92|192.168.114.92/GigabitEthernet0/0
148.0.4.52|148.0.4.52/5
10.204.244.4|10.204.244.4/FastEthernet0/1
10.204.241.3|10.204.241.3/FastEthernet0/21
