@rel(Associated_To)
@from(EVC)key|@to(EVCNode)key
VPLS:41004|12.82.127.128/VPLS:41004
VPLS:172602|12.82.104.19/VPLS:172602
VPWS:26961|10.204.84.105/VPWS:26961
VPWS:121372|12.82.98.13/VPWS:121372
VPLS:159585|12.82.0.70/VPLS:159585
VPLS:63425|12.82.16.58/VPLS:63425
VPWS:151610|12.82.0.78/VPWS:151610
VPLS:108296|12.82.78.27/VPLS:108296
VPWS:178586|12.82.40.125/VPWS:178586
VPWS:156696|12.82.80.14/VPWS:156696
VPLS:124017|12.82.114.17/VPLS:124017
VPLS:155235|12.82.40.110/VPLS:155235
VPLS:144691|12.82.16.65/VPLS:144691
VPWS:167926|12.82.55.2/VPWS:167926
21326:101962|165.87.250.168/21326:101962
VPWS:92416|12.82.88.12/VPWS:92416
VPWS:79675|12.82.76.24/VPWS:79675
VPWS:108078|12.82.0.71/VPWS:108078
VPWS:120339|12.82.24.62/VPWS:120339
VPLS:142278|12.82.70.27/VPLS:142278
VPLS:148579|12.82.0.72/VPLS:148579
VPWS:181840|12.82.92.31/VPWS:181840
VPLS:103823|12.82.94.16/VPLS:103823
VPWS:141766|12.82.40.94/VPWS:141766
VPWS:162188|12.82.16.82/VPWS:162188
VPLS:65458|12.82.0.2/VPLS:65458
VPWS:179133|12.82.62.5/VPWS:179133
VPWS:126170|12.82.24.51/VPWS:126170
VPLS:186040|12.82.118.6/VPLS:186040
VPWS:158995|12.82.118.6/VPWS:158995
VPWS:120793|12.82.40.125/VPWS:120793
VPWS:165429|12.82.40.80/VPWS:165429
VPWS:90577|12.82.16.40/VPWS:90577
VPWS:185315|12.82.0.69/VPWS:185315
VPWS:67785|12.82.76.27/VPWS:67785
VPWS:121540|12.82.100.7/VPWS:121540
VPWS:135419|12.82.94.19/VPWS:135419
VPLS:32679|10.204.144.69/VPLS:32679
VPLS:140402|12.82.114.20/VPLS:140402
VPWS:89757|12.82.74.2/VPWS:89757
VPWS:92519|12.82.72.27/VPWS:92519
VPWS:173764|12.82.40.92/VPWS:173764
VPWS:86617|12.82.104.16/VPWS:86617
VPWS:70905|12.82.114.10/VPWS:70905
VPLS:177024|12.82.8.100/VPLS:177024
VPWS:112403|12.82.40.96/VPWS:112403
VPWS:119726|12.82.96.20/VPWS:119726
VPWS:56228|12.82.82.16/VPWS:56228
VPLS:103017|1.2.3.4/VPLS:103017
21302:35623|165.87.253.130/21302:35623
VPWS:97995|12.82.74.26/VPWS:97995
VPWS:111288|12.82.100.5/VPWS:111288
VPLS:80951|12.82.16.58/VPLS:80951
VPWS:121277|12.82.90.21/VPWS:121277
VPWS:71194|12.82.16.57/VPWS:71194
VPWS:93630|12.82.0.70/VPWS:93630
VPWS:150898|12.82.122.4/VPWS:150898
VPWS:69566|12.82.66.22/VPWS:69566
VPLS:111850|12.82.40.87/VPLS:111850
VPWS:57725|12.82.82.8/VPWS:57725
VPWS:158855|12.82.86.22/VPWS:158855
VPLS:151185|12.82.16.76/VPLS:151185
VPWS:121759|12.82.114.7/VPWS:121759
VPLS:134878|12.82.88.20/VPLS:134878
VPWS:26211|150.0.0.168/VPWS:26211
VPWS:92612|12.82.76.25/VPWS:92612
VPWS:161066|12.82.8.79/VPWS:161066
VPLS:184837|12.82.16.76/VPLS:184837
VPWS:94304|12.82.40.111/VPWS:94304
VPWS:82337|12.82.80.21/VPWS:82337
VPWS:100213|12.82.56.2/VPWS:100213
VPWS:138640|12.82.0.46/VPWS:138640
VPWS:112942|12.82.40.103/VPWS:112942
VPLS:168068|12.82.94.19/VPLS:168068
VPLS:58555|12.82.114.8/VPLS:58555
VPWS:63591|10.204.90.99/VPWS:63591
VPWS:75466|12.82.80.21/VPWS:75466
VPWS:112563|12.82.64.22/VPWS:112563
VPWS:162725|12.82.96.20/VPWS:162725
VPWS:174814|12.82.40.126/VPWS:174814
VPLS:167500|12.82.16.40/VPLS:167500
VPLS:144682|12.82.82.21/VPLS:144682
VPWS:63306|12.82.64.17/VPWS:63306
13979:34269|12.122.215.63/13979:34269
VPWS:153954|12.82.8.77/VPWS:153954
13979:2932|12.122.215.6/13979:2932
VPLS:159374|12.82.102.24/VPLS:159374
