@ref(networkElement)|@const(IpagDevice)class
@index(PE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_model|device_name|device_role|device_sub_role|device_type|ipaddress|loopback10_ipaddr|loopback_ipaddr|mcn|provision_status|ptnii|savpn_siteid|snmpcom_string|subscriber_name
143.0.68.228|143.0.68.228|143.0.68.228|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|GSVLFLANH08|IPAG2||JUNIPER MX SERIES|10.204.243.102|12.122.131.92|143.0.68.228||IN-SERVICE|GSHFL304IA2|||
149.0.3.212|149.0.3.212|149.0.3.212|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMANN1|IPAG1||JUNIPER MX SERIES|10.204.242.133|12.122.130.129|149.0.3.212||IN-SERVICE|DYAFL306IA3|||
149.9.0.1|149.9.0.1|149.9.0.1|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|BETHCTABH01|IPAG1||JUNIPER MX SERIES|10.204.241.146|12.122.129.181|149.9.0.1||IN-SERVICE|BEACT301IA1|||
