@ref(networkElement)|@const(IpagEvcNode)class
@index(EVCNode)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|acnaban|clci|clli|cvlanid|evc_name|ipaddress|ineffect|nte_uni|port_aid|svlanid|unickt|vrf_name
10.204.10.114/VPWS:29189|10.204.10.114/VPWS:29189|10.204.10.114/VPWS:29189|NFO-MOBILITYUNI|NTE|NTE|||650-901C010249|||666|00/EVCM/092412/SP|10.204.10.114|Y||1|||VPWS:29189
10.204.8.75/VPWS:29162|10.204.8.75/VPWS:29162|10.204.8.75/VPWS:29162|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||2543|99/ABCD/543298/MN|10.204.8.75|||12|2|56/KSGN/700002/SB|VPWS:29162
10.204.67.136/VPWS:28099|10.204.67.136/VPWS:28099|10.204.67.136/VPWS:28099|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||100|85/XXXX/766512/XX|10.204.67.136|N||7|||VPWS:28099
192.168.113.48/VPLS:21639|192.168.113.48/VPLS:21639|192.168.113.48/VPLS:21639|NTE-CFM-CFO|IPAG|NTE|||BSM-407C070620|||52|10/CUXM/110269/SB|192.168.113.48|||10|7|10/KQGN/110255/SB|VPLS:21639
12.80.0.207/VPLS:52040|12.80.0.207/VPLS:52040|12.80.0.207/VPLS:52040|||IPAG|||||||NiksMPTInterface3|12.80.0.207|Y||ge-2/0/0|||VPLS:52040
10.204.90.201/L2CKT:63389|10.204.90.201/L2CKT:63389|10.204.90.201/L2CKT:63389|NTE-CFM-CFO|IPAG|NTE|||GHI-901C010249|||566|77/KQGN/438771/NV|10.204.90.201|||10|2|77/KQGN/438291/NV|L2CKT:63389
10.204.84.247/VPWS:27516|10.204.84.247/VPWS:27516|10.204.84.247/VPWS:27516|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||2289|99/ABCD/929291/MN|10.204.84.247|||12|3|99/KSGN/733239/NV|VPWS:27516
10.204.67.177/L2CKT:30403|10.204.67.177/L2CKT:30403|10.204.67.177/L2CKT:30403|NTE-CFM-CFO|IPAG|NTE|||PUA-407N070017|||1031|10/VLXP/126002/SB|10.204.67.177|||9|3|10/KRFN/126002/SB|L2CKT:30403
10.204.83.251/VPWS:25815|10.204.83.251/VPWS:25815|10.204.83.251/VPWS:25815|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||604|59/KRFN/061090/NV|10.204.83.251|Y||27|||VPWS:25815
10.204.67.148/VPWS:28764|10.204.67.148/VPWS:28764|10.204.67.148/VPWS:28764|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||105|85/SEDS/785265/AB|10.204.67.148|N||1|||VPWS:28764
10.204.132.74/VPLS:29056|10.204.132.74/VPLS:29056|10.204.132.74/VPLS:29056|NTE-CFM-CFO|IPAG|NTE|||ZXL-904N190143|||2232|54/VLXM/700005/SB|10.204.132.74|Y||5|||VPLS:29056
10.204.144.66/VPLS:32309|10.204.144.66/VPLS:32309|10.204.144.66/VPLS:32309|||NTE|||AWL-901C010249|||3333|99/ABCD/721900/MN|10.204.144.66|||3.2|2|08/KRFN/508013/RB|VPLS:32309
10.204.84.246/VPWS:27551|10.204.84.246/VPWS:27551|10.204.84.246/VPWS:27551|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||875|39/EVPS/617829/SD|10.204.84.246|Y||1|||VPWS:27551
143.0.24.148/VPWS:31860|143.0.24.148/VPWS:31860|143.0.24.148/VPWS:31860|||IPAG|||||||08/KRFN/872116/CB|143.0.24.148|Y||ge-4/0/9|||VPWS:31860
149.0.3.222/L2CKT:27933|149.0.3.222/L2CKT:27933|149.0.3.222/L2CKT:27933|||IPAG|||||||00/VLPX/260512/ST|149.0.3.222|Y||ge-2/0/1|||L2CKT:27933
