@ref(networkElement)|@const(IpagEvcNode)class
@index(EVCNode)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|acnaban|clci|clli|cvlanid|evc_name|ipaddress|ineffect|nte_uni|port_aid|svlanid|unickt|vrf_name
10.204.10.195/VPWS:28945|10.204.10.195/VPWS:28945|10.204.10.195/VPWS:28945|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||569|04/SOUR/070912/AK|10.204.10.195|Y||1|||VPWS:28945
10.204.90.127/VPLS:62306|10.204.90.127/VPLS:62306|10.204.90.127/VPLS:62306|NTE-CFM-CFO|IPAG|NTE|||AWL-123456|||32|EVC/SES/SG6|10.204.90.127|||25|2|24/KRFN/543123/NV|VPLS:62306
10.204.81.195/VPWS:29272|10.204.81.195/VPWS:29272|10.204.81.195/VPWS:29272|NTE-CFM-CFO|IPAG|NTE|||452-904C010249|||526|01/EVCP/031012/PJ|10.204.81.195|||25|10|00/MPAU/213117/SR|VPWS:29272
10.204.90.232/VPLS:63881|10.204.90.232/VPLS:63881|10.204.90.232/VPLS:63881|NTE-CFM-CFO|IPAG|NTE|||ATX-1234567891|||55|EVC_retry_2|10.204.90.232|||25|6|23/CHET/231010/ST|VPLS:63881
10.204.132.165/VPWS:31574|10.204.132.165/VPWS:31574|10.204.132.165/VPWS:31574|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249||||00/EVCP/032913/SP|10.204.132.165|Y||5|||VPWS:31574
10.144.0.152/VPWS:32101|10.144.0.152/VPWS:32101|10.144.0.152/VPWS:32101|||IPAG|||||||85/VLXP/306085/PT|10.144.0.152|Y||xe-1/3/2|||VPWS:32101
10.204.10.104/VPLS:28628|10.204.10.104/VPLS:28628|10.204.10.104/VPLS:28628|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||564|00/HYRT/650004/NH|10.204.10.104|||9|2|44/HYRT/652234/NH|VPLS:28628
10.144.0.137/VPWS:24053|10.144.0.137/VPWS:24053|10.144.0.137/VPWS:24053|||IPAG|||||||56/EKTA/500102/GP|10.144.0.137|Y||ge-1/3/5|||VPWS:24053
10.204.132.88/VPLS:28934|10.204.132.88/VPLS:28934|10.204.132.88/VPLS:28934|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||2255|99/ABCD/367181/MN|10.204.132.88|||11|2|13/KSGN/343222/SB|VPLS:28934
10.204.134.216/VPLS:31771|10.204.134.216/VPLS:31771|10.204.134.216/VPLS:31771|||NTE|||321-654|||34|13/KRFN/800006/EC|10.204.134.216|||1.25|2|13/KRFN/800006/KL|VPLS:31771
10.204.9.249/L2CKT:28101|10.204.9.249/L2CKT:28101|10.204.9.249/L2CKT:28101|NTE-CFM-CFO|IPAG|NTE|||452-904C010249|||102|74/UNIF/767612/RR|10.204.9.249|Y||3|||L2CKT:28101
148.0.131.182/VPWS:23623|148.0.131.182/VPWS:23623|148.0.131.182/VPWS:23623|||IPAG|||||||19/EVCS/811030/SR|148.0.131.182|Y||ge-4/1/6|||VPWS:23623
10.204.8.75/VPLS:29931|10.204.8.75/VPLS:29931|10.204.8.75/VPLS:29931|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||4090|01/KRFN/272085/SB|10.204.8.75|||12|4|01/KRFN/273486/SB|VPLS:29931
143.0.68.248/VPLS:31483|143.0.68.248/VPLS:31483|143.0.68.248/VPLS:31483|||IPAG|||||||23/KRFN/348167/NV|143.0.68.248|Y||ge-4/0/1|||VPLS:31483
10.204.132.87/VPWS:29298|10.204.132.87/VPWS:29298|10.204.132.87/VPWS:29298|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||2291|99/ABCD/617716/MN|10.204.132.87|||11|2|13/KSGN/343221/SB|VPWS:29298
143.0.68.242/VPWS:29246|143.0.68.242/VPWS:29246|143.0.68.242/VPWS:29246|||IPAG|||||||99/ABCD/772551/MN|143.0.68.242|Y||xe-0/2/0|||VPWS:29246
10.204.9.64/VPLS:25581|10.204.9.64/VPLS:25581|10.204.9.64/VPLS:25581|NTE-CFM-CFO|IPAG|NTE|||ATX-904N130200|||1014|56/VLXM/700017/SB|10.204.9.64|Y||28|||VPLS:25581
10.204.84.105/VPLS:26701|10.204.84.105/VPLS:26701|10.204.84.105/VPLS:26701|NTE-CFM-CFO|IPAG|NTE|||650-901C010249|||342|01/VLMX/021612/SP|10.204.84.105|||9|128|00/JAIN/021512/AJ|VPLS:26701
150.0.0.168/VPWS:25615|150.0.0.168/VPWS:25615|150.0.0.168/VPWS:25615|||IPAG|||||||54/KLLS/6321/SG|150.0.0.168|Y||ge-5/1/6|||VPWS:25615
148.0.131.204/VPWS:30358|148.0.131.204/VPWS:30358|148.0.131.204/VPWS:30358|||IPAG|||||||01/EVCP/090113/PJ|148.0.131.204|Y||xe-5/0/0|||VPWS:30358
10.204.134.202/VPWS:30953|10.204.134.202/VPWS:30953|10.204.134.202/VPWS:30953|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||413|99/KRFN/338420/SB|10.204.134.202|||9|2|99/KRFN/338110/NV|VPWS:30953
12.123.80.212/VPLS:22142|12.123.80.212/VPLS:22142|12.123.80.212/VPLS:22142|||IPAG|||||||01/KEVC/772011/K7|12.123.80.212|Y||ge-0/0/7|||VPLS:22142
10.204.80.210/VPLS:22093|10.204.80.210/VPLS:22093|10.204.80.210/VPLS:22093|NFO-MOBILITYUNI|NTE|NTE|||ZXL-130039|||161|01/KEVC/032012/K1|10.204.80.210|||26|3|01/KULD/032011/K1|VPLS:22093
10.204.132.97/L2CKT:30523|10.204.132.97/L2CKT:30523|10.204.132.97/L2CKT:30523|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||3919|99/ABCD/677111/MN|10.204.132.97|||11|2|78/JUHY/918171/LL|L2CKT:30523
10.204.144.66/L2CKT:32445|10.204.144.66/L2CKT:32445|10.204.144.66/L2CKT:32445|||NTE|||452-904C010249|||593|11/KRFN/943487/SB|10.204.144.66|||3.2|2|08/KRFN/508013/RB|L2CKT:32445
143.0.68.230/VPWS:29119|143.0.68.230/VPWS:29119|143.0.68.230/VPWS:29119|||IPAG|||||||02/PTPE/210912/AK|143.0.68.230|Y||xe-5/1/0|||VPWS:29119
192.168.113.83/VPWS:32080|192.168.113.83/VPWS:32080|192.168.113.83/VPWS:32080|NTE-CFM-CFO|IPAG|NTE|||OER-0727415014|||1078|85/VLXP/306078/PT|192.168.113.83|||25|5|85/KRFN/306711/PT|VPWS:32080
10.204.84.105/VPLS:26953|10.204.84.105/VPLS:26953|10.204.84.105/VPLS:26953|NTE-CFM-CFO|IPAG|NTE|||BSM-407C070620|||566|76/JAIN/022112/UY|10.204.84.105|||9|129|00/JAIN/022112/AJ|VPLS:26953
10.204.83.89/VPLS:25318|10.204.83.89/VPLS:25318|10.204.83.89/VPLS:25318|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||734|00/ABCD/121212/SP|10.204.83.89|||9|3|53/IKLO/857412/ER|VPLS:25318
10.204.10.102/VPLS:28602|10.204.10.102/VPLS:28602|10.204.10.102/VPLS:28602|NFO-MOBILITYUNI|NTE|NTE|||AWL-407TEST123|||334|88/HYTR/872234/UU|10.204.10.102|||9|2|55/HYTR/872234/NH|VPLS:28602
10.204.90.97/VPWS:63419|10.204.90.97/VPWS:63419|10.204.90.97/VPWS:63419|NTE-CFM-CFO|IPAG|NTE|||ABC-901C010249|||45|85/KFGN/54054/LB|10.204.90.97|||25|2|45/AMOL/459159/SA|VPWS:63419
10.204.9.101/VPLS:25869|10.204.9.101/VPLS:25869|10.204.9.101/VPLS:25869|NTE-CFM-CFO|IPAG|NTE|||ABC-901C010249|||3116|56/KSGN/776102/SB|10.204.9.101|Y||9|||VPLS:25869
10.144.0.152/VPLS:25967|10.144.0.152/VPLS:25967|10.144.0.152/VPLS:25967|||IPAG|||||||85/CUXM/202042/PB|10.144.0.152|Y||xe-3/2/0|||VPLS:25967
10.204.8.105/VPLS:23764|10.204.8.105/VPLS:23764|10.204.8.105/VPLS:23764|||NTE|||452-901C010249|||128|01/KQFN/280385/SB|10.204.8.105|||22|2|01/KQFN/280285/SB|VPLS:23764
149.0.3.244/VPWS:27550|149.0.3.244/VPWS:27550|149.0.3.244/VPWS:27550|||IPAG|||||||38/EVPS/617829/SD|149.0.3.244|Y||xe-1/3/0|||VPWS:27550
10.204.144.97/VPLS:32574|10.204.144.97/VPLS:32574|10.204.144.97/VPLS:32574|||NTE|||345-1234|||213|87/KRFN/231232/ZC|10.204.144.97|||1.45|3|87/KRFN/231232/AG|VPLS:32574
12.123.80.212/VPWS:22436|12.123.80.212/VPWS:22436|12.123.80.212/VPWS:22436|||IPAG|||||||67/FDSJ/564334/VS|12.123.80.212|Y||ge-2/1/3|||VPWS:22436
8.8.0.239/VPWS:63606|8.8.0.239/VPWS:63606|8.8.0.239/VPWS:63606|||IPAG|||||||55/EVCR/123123/RE|8.8.0.239|Y||ge-3/0/0|||VPWS:63606
10.204.9.156/VPWS:27999|10.204.9.156/VPWS:27999|10.204.9.156/VPWS:27999|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||152|48/EVCP/328922/RS|10.204.9.156|||26|3|99/KRFN/777111/SB|VPWS:27999
143.0.68.46/VPLS:26498|143.0.68.46/VPLS:26498|143.0.68.46/VPLS:26498|||IPAG|||||||99/ABCD/193308/MN|143.0.68.46|Y||ge-0/0/2|||VPLS:26498
143.0.68.184/VPWS:30454|143.0.68.184/VPWS:30454|143.0.68.184/VPWS:30454|||IPAG|||||||99/KRFN/338010/UK|143.0.68.184|Y||ge-0/1/6|||VPWS:30454
192.168.113.83/L2CKT:32038|192.168.113.83/L2CKT:32038|192.168.113.83/L2CKT:32038|NTE-CFM-CFO|IPAG|NTE|||LVC-0727415005|||1106|10/VLXP/050702/PT|192.168.113.83|||25|4|85/KQGN/050779/PT|L2CKT:32038
149.9.0.6/VPLS:26155|149.9.0.6/VPLS:26155|149.9.0.6/VPLS:26155|||IPAG|||||||65/KSGN/812221/SB|149.9.0.6|Y||xe-0/3/0|||VPLS:26155
10.204.8.164/L2CKT:24052|10.204.8.164/L2CKT:24052|10.204.8.164/L2CKT:24052|NTE-CFM-CFO|IPAG|NTE|||ATX-1234567891|||709|84/AMOL/778455/JC|10.204.8.164|Y||1|||L2CKT:24052
10.204.84.231/VPLS:27423|10.204.84.231/VPLS:27423|10.204.84.231/VPLS:27423|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||452|00/KRFN/280190/NV|10.204.84.231|||9|2|08/KRFN/270190/NV|VPLS:27423
12.123.80.214/VPWS:27941|12.123.80.214/VPWS:27941|12.123.80.214/VPWS:27941|||IPAG|||||||48/EVCP/389343/RS|12.123.80.214|Y||ge-0/0/8|||VPWS:27941
10.204.10.102/L2CKT:31817|10.204.10.102/L2CKT:31817|10.204.10.102/L2CKT:31817|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||3233|55/OOOO/872234/NH|10.204.10.102|||9|2|55/HYTR/872234/NH|L2CKT:31817
149.0.3.196/VPLS:27998|149.0.3.196/VPLS:27998|149.0.3.196/VPLS:27998|||IPAG|||||||00/EVCM/053012/SP|149.0.3.196|Y||ge-5/0/9|||VPLS:27998
143.0.68.244/VPLS:28886|143.0.68.244/VPLS:28886|143.0.68.244/VPLS:28886|||IPAG|||||||19/EVCM/304933/RS|143.0.68.244|Y||ge-0/0/0|||VPLS:28886
10.204.90.170/L2CKT:63114|10.204.90.170/L2CKT:63114|10.204.90.170/L2CKT:63114|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||111|85/KFGN/53771/LB|10.204.90.170|||25|4|12/USRP/238712/US|L2CKT:63114
10.204.84.105/VPWS:26994|10.204.84.105/VPWS:26994|10.204.84.105/VPWS:26994|NTE-CFM-CFO|IPAG|NTE|||452-901C010249|||718|00.REAL.090312.RK|10.204.84.105|||9|129|00/JAIN/022112/AJ|VPWS:26994
10.204.82.212/VPWS:24113|10.204.82.212/VPWS:24113|10.204.82.212/VPWS:24113|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||777|88/CCGF/748545/DD|10.204.82.212|Y||28|||VPWS:24113
10.204.10.254/VPLS:29479|10.204.10.254/VPLS:29479|10.204.10.254/VPLS:29479|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||3455|99/ABCD/399007/MN|10.204.10.254|N||5|||VPLS:29479
10.204.134.202/VPLS:31416|10.204.134.202/VPLS:31416|10.204.134.202/VPLS:31416|NFO-MOBILITYUNI|NTE|NTE|||650-901C010249|||578|23/KRFN/338167/NV|10.204.134.202|||9|2|99/KRFN/338110/NV|VPLS:31416
10.204.9.69/VPLS:25875|10.204.9.69/VPLS:25875|10.204.9.69/VPLS:25875|NTE-CFM-CFO|IPAG|NTE|||ABC-901C010249|||2759|90/KQGN/791711/SK|10.204.9.69|||25|13|56/KRGN/700015/SB|VPLS:25875
10.204.90.89/VPLS:61157|10.204.90.89/VPLS:61157|10.204.90.89/VPLS:61157|NTE-CFM-CFO|IPAG|NTE|||ATX-1234567891|||43|EVCforSanity|10.204.90.89|||25|3|36/KRGN/360630/NV|VPLS:61157
10.144.0.147/VPLS:30978|10.144.0.147/VPLS:30978|10.144.0.147/VPLS:30978|||IPAG|||||||58/VLXM/218136/SB|10.144.0.147|Y||ge-3/1/3|||VPLS:30978
10.204.84.246/L2CKT:27515|10.204.84.246/L2CKT:27515|10.204.84.246/L2CKT:27515|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||1223|22/PPLL/222211/WW|10.204.84.246|Y||1|||L2CKT:27515
10.204.8.75/VPLS:30041|10.204.8.75/VPLS:30041|10.204.8.75/VPLS:30041|NTE-CFM-CFO|IPAG|NTE|||PUN-10163122|||359|01/EVCM/131212/PJ|10.204.8.75|||12|4|01/KRFN/273486/SB|VPLS:30041
10.204.82.173/VPWS:23702|10.204.82.173/VPWS:23702|10.204.82.173/VPWS:23702|NTE-CFM-CFO|IPAG|NTE|||PUN-901C010249|||987|53/EVCS/454545/SR|10.204.82.173|||25|19|25/YHYJ/225511/UK|VPWS:23702
10.204.8.162/VPLS:24115|10.204.8.162/VPLS:24115|10.204.8.162/VPLS:24115|NTE-CFM-CFO|IPAG|NTE|||16-15|||881|52/WQWQ/450014/SB|10.204.8.162|Y||28|||VPLS:24115
10.204.208.84/VPWS:22613|10.204.208.84/VPWS:22613|10.204.208.84/VPWS:22613|NFO-MOBILITYUNI|NTE|NTE|||452-901C010249|||456|01/FGRT/897867/IK|10.204.208.84|||25|12|23/KQGN/511252/NV|VPWS:22613
10.204.9.243/L2CKT:27933|10.204.9.243/L2CKT:27933|10.204.9.243/L2CKT:27933|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||99|00/VLPX/260512/ST|10.204.9.243|Y||5|||L2CKT:27933
10.204.84.251/VPLS:28849|10.204.84.251/VPLS:28849|10.204.84.251/VPLS:28849|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||1443|99/ABCD/388922/MN|10.204.84.251|||10|2|99/KQGN/933428/NV|VPLS:28849
10.204.67.148/VPWS:28099|10.204.67.148/VPWS:28099|10.204.67.148/VPWS:28099|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||101|85/XXXX/766512/XX|10.204.67.148|N||1|||VPWS:28099
10.204.9.156/VPLS:27997|10.204.9.156/VPLS:27997|10.204.9.156/VPLS:27997|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||581|01/AUTO/111115/RS|10.204.9.156|||25|2|99/KRFN/777111/SB|VPLS:27997
150.0.0.232/VPLS:26463|150.0.0.232/VPLS:26463|150.0.0.232/VPLS:26463|||IPAG|||||||99/ABCD/389004/MN|150.0.0.232|Y||ge-0/0/1|||VPLS:26463
10.204.80.234/VPLS:22161|10.204.80.234/VPLS:22161|10.204.80.234/VPLS:22161|NTE-CFM-CFO|IPAG|NTE|||AWL-407P220048|||548|89/KITZ/432434/SB|10.204.80.234|||25|2|89/GYGH/432434/SB|VPLS:22161
10.204.132.79/VPWS:29274|10.204.132.79/VPWS:29274|10.204.132.79/VPWS:29274|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||256|02/EVCP/031012/PJ|10.204.132.79|Y||5|||VPWS:29274
10.204.80.66/VPLS:21652|10.204.80.66/VPLS:21652|10.204.80.66/VPLS:21652|NTE-CFM-CFO|IPAG|NTE|||ZXL-130039|||21|EVC_1_test|10.204.80.66|||25|4|45/UNIF/982712/RS|VPLS:21652
10.204.84.105/L2CKT:26718|10.204.84.105/L2CKT:26718|10.204.84.105/L2CKT:26718|NTE-CFM-CFO|IPAG|NTE|||650-901C010249|||779|23/VLPX/021712/PP|10.204.84.105|||9|128|00/JAIN/021512/AJ|L2CKT:26718
10.204.10.167/L2CKT:28832|10.204.10.167/L2CKT:28832|10.204.10.167/L2CKT:28832|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||456|02/AKSH/300812/AY|10.204.10.167|||9|2|12/AKSH/270712/AY|L2CKT:28832
149.0.3.244/VPLS:27555|149.0.3.244/VPLS:27555|149.0.3.244/VPLS:27555|||IPAG|||||||76/BVFG/878765/EC|149.0.3.244|Y||xe-2/2/0|||VPLS:27555
10.204.81.184/VPWS:22540|10.204.81.184/VPWS:22540|10.204.81.184/VPWS:22540|NTE-CFM-CFO|IPAG|NTE|||PUN-901C010249|||734|44/EVCS/271222/RS|10.204.81.184|||25|4|01/SANI/023651/TY|VPWS:22540
10.204.11.3/VPLS:29685|10.204.11.3/VPLS:29685|10.204.11.3/VPLS:29685|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||456|20/INFL/251012/AK|10.204.11.3|||9|3|00/UNIG/456545/SG|VPLS:29685
149.0.3.196/VPLS:27565|149.0.3.196/VPLS:27565|149.0.3.196/VPLS:27565|||IPAG|||||||15/ERTY/222244/WW|149.0.3.196|Y||ge-0/0/9|||VPLS:27565
10.204.9.100/VPWS:25877|10.204.9.100/VPWS:25877|10.204.9.100/VPWS:25877|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||523|78/KQGN/798151/SB|10.204.9.100|Y||1|||VPWS:25877
10.204.11.252/VPWS:31755|10.204.11.252/VPWS:31755|10.204.11.252/VPWS:31755|NFO-MOBILITYUNI|NTE|NTE|||650-901C010249|||1542|28/KQGN/233315/SB|10.204.11.252|||9|2|85/KQGN/485215/SB|VPWS:31755
10.204.10.114/VPWS:29219|10.204.10.114/VPWS:29219|10.204.10.114/VPWS:29219|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||854|81/DERF/749385/SS|10.204.10.114|Y||1|||VPWS:29219
143.0.68.230/VPWS:29198|143.0.68.230/VPWS:29198|143.0.68.230/VPWS:29198|||IPAG|||||||13/KSGN/343221/DD|143.0.68.230|Y||xe-5/1/0|||VPWS:29198
149.0.3.128/VPLS:25585|149.0.3.128/VPLS:25585|149.0.3.128/VPLS:25585|||IPAG|||||||56/VLXM/700019/SB|149.0.3.128|Y||ge-5/0/0|||VPLS:25585
10.204.134.202/VPWS:31253|10.204.134.202/VPWS:31253|10.204.134.202/VPWS:31253|NFO-MOBILITYUNI|NTE|NTE|||650-901C010249|||825|87/KRFN/324802/SB|10.204.134.202|||9|2|99/KRFN/338110/NV|VPWS:31253
148.0.131.182/VPWS:23737|148.0.131.182/VPWS:23737|148.0.131.182/VPWS:23737|||IPAG|||||||38/EVCS/888656/KK|148.0.131.182|Y||ge-4/1/6|||VPWS:23737
148.0.131.204/VPLS:29673|148.0.131.204/VPLS:29673|148.0.131.204/VPLS:29673|||IPAG|||||||48/EVCM/439303/RS|148.0.131.204|Y||xe-5/0/0|||VPLS:29673
10.204.132.87/VPLS:29247|10.204.132.87/VPLS:29247|10.204.132.87/VPLS:29247|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||393|13/IJKJ/343221/SB|10.204.132.87|||11|2|13/KSGN/343221/SB|VPLS:29247
12.80.72.28/VPLS:52347|12.80.72.28/VPLS:52347|12.80.72.28/VPLS:52347|||IPAG|||||||25/UNIF/654321/SL|12.80.72.28|Y||ge-0/0/2|||VPLS:52347
148.0.131.239/VPWS:29162|148.0.131.239/VPWS:29162|148.0.131.239/VPWS:29162|||IPAG|||||||99/ABCD/543298/MN|148.0.131.239|Y||xe-5/0/0|||VPWS:29162
10.204.65.133/L2CKT:22014|10.204.65.133/L2CKT:22014|10.204.65.133/L2CKT:22014|NTE-CFM-CFO|IPAG|NTE|||BSM-407C070620|||2|01/EVCAB/001|10.204.65.133|Y||27|||L2CKT:22014
143.0.68.184/VPWS:29305|143.0.68.184/VPWS:29305|143.0.68.184/VPWS:29305|||IPAG|||||||12/PEVC/156234/SK|143.0.68.184|Y||ge-0/0/5|||VPWS:29305
10.204.10.114/VPLS:29685|10.204.10.114/VPLS:29685|10.204.10.114/VPLS:29685|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||454|20/INFL/251012/AK|10.204.10.114|Y||1|||VPLS:29685
150.0.0.168/VPWS:26249|150.0.0.168/VPWS:26249|150.0.0.168/VPWS:26249|||IPAG|||||||45/JHYT/998871/NL|150.0.0.168|Y||ge-5/1/6|||VPWS:26249
10.204.65.114/VPLS:21963|10.204.65.114/VPLS:21963|10.204.65.114/VPLS:21963|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||250|EVC_TestJain|10.204.65.114|||25|2|56/DFGF/778958/FG|VPLS:21963
10.144.0.137/L2CKT:27004|10.144.0.137/L2CKT:27004|10.144.0.137/L2CKT:27004|||IPAG|||||||85/CUXM/111037/SB|10.144.0.137|Y||ge-1/3/5|||L2CKT:27004
10.204.83.211/VPWS:25845|10.204.83.211/VPWS:25845|10.204.83.211/VPWS:25845|NTE-CFM-CFO|IPAG|NTE|||452-904C010249|||1556|44/KILO/222222/LP|10.204.83.211|Y||1|||VPWS:25845
149.0.3.244/VPWS:27557|149.0.3.244/VPWS:27557|149.0.3.244/VPWS:27557|||IPAG|||||||16/EVPQ/110011/SB|149.0.3.244|Y||ge-3/0/3|||VPWS:27557
10.204.65.44/VPLS:21605|10.204.65.44/VPLS:21605|10.204.65.44/VPLS:21605|NTE-CFM-CFO|IPAG|NTE|||BSM-407C070620|||146|EVC_SANITY_28FEB02|10.204.65.44|||25|4|22/DFTG/444444/FT|VPLS:21605
10.204.134.216/VPWS:31887|10.204.134.216/VPWS:31887|10.204.134.216/VPWS:31887|||NTE|||AWL-901C010249|||341|08/KRFN/872116/ES|10.204.134.216|||1.25|2|13/KRFN/800006/KL|VPWS:31887
10.204.84.132/VPWS:25759|10.204.84.132/VPWS:25759|10.204.84.132/VPWS:25759|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||2909|99/ABCD/193302/MN|10.204.84.132|||25|3|99/KRFN/290844/NV|VPWS:25759
149.0.3.222/VPLS:28052|149.0.3.222/VPLS:28052|149.0.3.222/VPLS:28052|||IPAG|||||||01/BMAC/000111/ST|149.0.3.222|Y||ge-2/1/3|||VPLS:28052
10.204.11.252/VPWS:31742|10.204.11.252/VPWS:31742|10.204.11.252/VPWS:31742|NFO-MOBILITYUNI|NTE|NTE|||650-901C010249|||876|54/KQGN/485215/SB|10.204.11.252|||9|2|85/KQGN/485215/SB|VPWS:31742
10.204.166.81/VPWS:63545|10.204.166.81/VPWS:63545|10.204.166.81/VPWS:63545|NTE-CFM-CFO|IPAG|NTE|||ABC-901C010249|||1200|85/KFGN/54248/LB|10.204.166.81|||25|26|23/PARI/666111/YY|VPWS:63545
10.204.9.106/VPLS:29327|10.204.9.106/VPLS:29327|10.204.9.106/VPLS:29327|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||2111|99/ABCD/535881/MN|10.204.9.106|||9|2|69/KSGN/812221/SB|VPLS:29327
10.204.11.141/VPWS:30504|10.204.11.141/VPWS:30504|10.204.11.141/VPWS:30504|NFO-MOBILITYUNI|NTE|NTE|||ABC-901C010249|||73|01/EVCP/012313/DP|10.204.11.141|||10|2|00/UNIF/121412/SP|VPWS:30504
10.204.11.42/VPLS:29744|10.204.11.42/VPLS:29744|10.204.11.42/VPLS:29744|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||1044|00/VLPX/091113/ST|10.204.11.42|||25|12|01/KQGN/112232/SB|VPLS:29744
143.0.68.242/VPLS:32309|143.0.68.242/VPLS:32309|143.0.68.242/VPLS:32309|||IPAG|||||||99/ABCD/721900/MN|143.0.68.242|Y||xe-5/0/0|||VPLS:32309
12.123.80.214/VPLS:22467|12.123.80.214/VPLS:22467|12.123.80.214/VPLS:22467|||IPAG|||||||12/DNEC/908126/VV|12.123.80.214|Y||ge-4/1/9|||VPLS:22467
10.204.81.118/VPLS:22413|10.204.81.118/VPLS:22413|10.204.81.118/VPLS:22413|NTE-CFM-CFO|IPAG|NTE|||452-904C010249|||185|01/EVCM/140211/PJ|10.204.81.118|||25|4|45/FRTG/453776/BT|VPLS:22413
10.204.90.119/VPLS:62037|10.204.90.119/VPLS:62037|10.204.90.119/VPLS:62037|NTE-CFM-CFO|IPAG|NTE|||AWL-407TEST123||||BS1/SANITY/EVC|10.204.90.119|||10|2|46/KRGN/360733/NV|VPLS:62037
148.0.131.182/VPLS:23705|148.0.131.182/VPLS:23705|148.0.131.182/VPLS:23705|||IPAG|||||||34/EVCS/239998/SR|148.0.131.182|Y||ge-4/1/6|||VPLS:23705
10.204.90.155/ASD1234|10.204.90.155/ASD1234|10.204.90.155/ASD1234|NTE-CFM-CFO|IPAG|NTE|||ZXL-904N130039|||1211|12/SEPT/280910/SR|10.204.90.155|||25|16|12/SEPT/280910/SS|ASD1234
10.204.9.98/VPLS:25905|10.204.9.98/VPLS:25905|10.204.9.98/VPLS:25905|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||555|99/BULK/011012/MP|10.204.9.98|||25|2|02/KRFN/010512/SB|VPLS:25905
10.204.166.81/234|10.204.166.81/234|10.204.166.81/234|NTE-CFM-CFO|IPAG|NTE|||ABC-901C010249|||34|SDS_P2PUSRP_100|10.204.166.81|||25|13|26/PRIY/123456/PJ|234
10.204.84.125/VPWS:25768|10.204.84.125/VPWS:25768|10.204.84.125/VPWS:25768|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||3123|99/ABCD/389010/MN|10.204.84.125|||25|130|99/KRFN/290100/NV|VPWS:25768
10.204.134.202/VPWS:29160|10.204.134.202/VPWS:29160|10.204.134.202/VPWS:29160|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||1235|99/ABCD/287790/MN|10.204.134.202|||9|3|99/KRFN/338111/NV|VPWS:29160
192.168.113.164/VPWS:27461|192.168.113.164/VPWS:27461|192.168.113.164/VPWS:27461|NTE-CFM-CFO|IPAG|NTE|||SMW-407N160088|||1108|85/VLXP/110630/SB|192.168.113.164|||25|3|85/KQGN/101003/SB|VPWS:27461
8.8.0.172/VPWS:63252|8.8.0.172/VPWS:63252|8.8.0.172/VPWS:63252|||IPAG|||||||41/KQGN/499001/NV|8.8.0.172|Y||ge-5/0/0|||VPWS:63252
192.168.113.147/VPLS:31665|192.168.113.147/VPLS:31665|192.168.113.147/VPLS:31665|||NTE|||OER-0727415014|||1083|10/CUXM/101061/SB|192.168.113.147|||21|9|85/KQFN/204061/SB|VPLS:31665
10.144.0.147/VPWS:29897|10.144.0.147/VPWS:29897|10.144.0.147/VPWS:29897|||IPAG|||||||10/CUXM/101005/SB|10.144.0.147|Y||ge-1/2/0|||VPWS:29897
143.0.68.242/VPLS:32483|143.0.68.242/VPLS:32483|143.0.68.242/VPLS:32483|||IPAG|||||||42/ERDF/345434/DS|143.0.68.242|Y||ge-4/1/3|||VPLS:32483
