@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
12.82.118.12/3/1/0|12.82.118.12/3/1/0/10
12.82.118.12/3/0/1|12.82.118.12/3/0/1/7
10.144.0.154/0/2/0|10.144.0.154/0/2/0/784
12.82.16.82/1/2/0|12.82.16.82/1/2/0/6015
12.82.0.59/2/2/3|12.82.0.59/2/2/3/6000
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6036
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6007
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6046
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6045
12.82.118.12/3/1/0|12.82.118.12/3/1/0/14
12.123.80.212/2/0/5|12.123.80.212/2/0/5/6000
12.82.118.12/11/1/0|12.82.118.12/11/1/0/40
12.82.118.12/10/0/0|12.82.118.12/10/0/0/2
12.82.118.12/3/0/5|12.82.118.12/3/0/5/11
12.82.118.12/3/0/6|12.82.118.12/3/0/6/1
12.82.118.4/3/1/9|12.82.118.4/3/1/9/22
12.82.118.4/3/0/7|12.82.118.4/3/0/7/7
12.82.118.12/3/0/5|12.82.118.12/3/0/5/18
12.123.80.212/0/0/1|12.123.80.212/0/0/1/3
12.82.118.4/3/2/7|12.82.118.4/3/2/7/8
12.82.118.12/10/0/3|12.82.118.12/10/0/3/2
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6035
12.82.0.59/2/0/3|12.82.0.59/2/0/3/5000
12.82.0.59/2/0/5|12.82.0.59/2/0/5/5000
12.123.80.212/0/0/8|12.123.80.212/0/0/8/32
12.123.80.212/0/0/7|12.123.80.212/0/0/7/6004
12.82.118.4/3/1/9|12.82.118.4/3/1/9/20
12.82.118.4/3/2/4|12.82.118.4/3/2/4/21
12.82.118.4/10/0/6|12.82.118.4/10/0/6/10
12.82.0.59/2/3/6|12.82.0.59/2/3/6/6001
12.82.118.4/3/2/5|12.82.118.4/3/2/5/9
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6049
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6032
12.82.118.4/10/0/6|12.82.118.4/10/0/6/5
149.9.0.27/2/0/0|149.9.0.27/2/0/0/6017
12.82.118.4/10/1/7|12.82.118.4/10/1/7/16
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6035
12.82.0.59/3/0/9|12.82.0.59/3/0/9/6000
12.82.118.12/3/0/1|12.82.118.12/3/0/1/20
12.82.118.4/3/1/7|12.82.118.4/3/1/7/16
12.82.118.4/3/1/9|12.82.118.4/3/1/9/23
12.82.118.4/3/1/8|12.82.118.4/3/1/8/1
150.0.0.212/0/1/0|150.0.0.212/0/1/0/44
12.82.118.12/3/2/0|12.82.118.12/3/2/0/6
12.82.118.4/3/2/1|12.82.118.4/3/2/1/17
149.9.0.27/0/0/4|149.9.0.27/0/0/4/6004
12.82.118.12/3/0/1|12.82.118.12/3/0/1/10
12.82.0.59/4/2/3|12.82.0.59/4/2/3/5001
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6029
12.82.118.4/10/1/7|12.82.118.4/10/1/7/15
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6008
12.82.118.4/3/2/7|12.82.118.4/3/2/7/6
12.82.118.4/3/1/7|12.82.118.4/3/1/7/10
12.82.118.12/3/0/5|12.82.118.12/3/0/5/1
12.82.118.12/3/1/2|12.82.118.12/3/1/2/2
12.82.118.12/3/3/2|12.82.118.12/3/3/2/4
12.82.118.4/3/2/5|12.82.118.4/3/2/5/3
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6023
12.82.118.4/3/2/1|12.82.118.4/3/2/1/20
12.82.118.4/3/0/0|12.82.118.4/3/0/0/9
10.144.0.154/1/2/4|10.144.0.154/1/2/4/6015
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6014
12.82.118.4/3/0/8|12.82.118.4/3/0/8/1
12.82.118.4/3/0/7|12.82.118.4/3/0/7/3
12.82.0.59/3/0/5|12.82.0.59/3/0/5/5001
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6047
12.82.118.4/3/1/9|12.82.118.4/3/1/9/28
12.82.118.12/3/3/1|12.82.118.12/3/3/1/2
12.82.118.4/3/2/1|12.82.118.4/3/2/1/9
12.82.118.12/10/3/9|12.82.118.12/10/3/9/3
12.82.118.4/10/2/1|12.82.118.4/10/2/1/4
12.82.118.4/3/2/4|12.82.118.4/3/2/4/24
148.0.131.168/1/0/0|148.0.131.168/1/0/0/4
12.82.118.12/10/0/3|12.82.118.12/10/0/3/22
12.82.118.4/3/1/9|12.82.118.4/3/1/9/5
12.82.118.4/3/2/4|12.82.118.4/3/2/4/19
12.82.118.12/3/0/3|12.82.118.12/3/0/3/16
12.82.118.4/3/1/0|12.82.118.4/3/1/0/15
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6052
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6045
12.82.118.12/3/3/2|12.82.118.12/3/3/2/6
12.82.118.12/3/0/3|12.82.118.12/3/0/3/5
12.82.0.59/2/2/3|12.82.0.59/2/2/3/5000
12.82.118.12/3/3/0|12.82.118.12/3/3/0/4
12.82.118.4/10/1/5|12.82.118.4/10/1/5/8
12.82.118.12/11/1/0|12.82.118.12/11/1/0/14
12.82.118.12/1/0/1|12.82.118.12/1/0/1/2
12.82.118.4/3/1/6|12.82.118.4/3/1/6/25
12.82.118.4/10/1/5|12.82.118.4/10/1/5/10
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6047
12.82.0.59/3/0/7|12.82.0.59/3/0/7/6001
12.82.118.4/3/0/7|12.82.118.4/3/0/7/16
12.82.118.4/3/1/9|12.82.118.4/3/1/9/34
12.82.118.12/11/1/0|12.82.118.12/11/1/0/45
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6047
12.123.80.212/2/1/3|12.123.80.212/2/1/3/6001
12.82.118.4/3/2/1|12.82.118.4/3/2/1/2
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6004
12.82.118.12/3/0/3|12.82.118.12/3/0/3/4
12.82.118.12/3/3/2|12.82.118.12/3/3/2/3
12.82.118.12/3/0/1|12.82.118.12/3/0/1/23
12.82.118.4/10/1/7|12.82.118.4/10/1/7/20
12.82.118.12/3/0/3|12.82.118.12/3/0/3/19
12.82.118.12/10/0/4|12.82.118.12/10/0/4/0
12.82.118.12/3/0/3|12.82.118.12/3/0/3/20
12.82.118.12/3/3/0|12.82.118.12/3/3/0/16
12.82.118.12/11/1/0|12.82.118.12/11/1/0/29
12.82.118.12/11/1/0|12.82.118.12/11/1/0/32
12.82.118.4/10/0/6|12.82.118.4/10/0/6/3
12.82.118.4/3/0/0|12.82.118.4/3/0/0/13
12.82.0.59/2/2/7|12.82.0.59/2/2/7/6001
12.82.118.4/3/0/0|12.82.118.4/3/0/0/19
12.82.118.4/3/2/6|12.82.118.4/3/2/6/2
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6028
12.82.0.59/2/1/8|12.82.0.59/2/1/8/6000
12.82.118.4/3/2/7|12.82.118.4/3/2/7/2
12.82.118.12/3/1/1|12.82.118.12/3/1/1/1
12.82.0.59/2/2/6|12.82.0.59/2/2/6/6001
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6030
12.82.118.12/10/3/9|12.82.118.12/10/3/9/2
