@rel(PLink)
@from(PE_PPort)key|@to(PE_PPort)key
12.123.80.197/1/1/6|12.123.80.46/1/1/0
143.0.68.170/2/1/3|143.0.68.254/2/2/8
12.123.80.214/0/0/2|12.123.80.212/0/0/1
149.0.3.223/1/0/2|149.0.3.222/2/1/0
150.0.0.212/1/0/5|150.0.0.213/2/0/3
12.123.80.143/0/0/7|12.123.80.152/1/0/1
12.82.0.62/2/3/8|12.82.0.53/2/0/6
12.80.72.33/1/3/7|12.80.72.34/1/0/8
143.0.68.169/1/0/0|143.0.68.170/0/0/1
12.82.0.53/3/0/8|12.82.0.62/2/3/1
12.123.80.15/1/0/1|12.123.80.37/0/0/2
8.8.0.205/1/0/8|8.8.0.206/1/0/7
12.123.80.214/2/1/1|149.8.0.17/1/0/1
10.144.0.137/1/3/0|10.0.38.72/1/0/1
12.123.80.17/1/0/4|12.123.80.65/0/0/1
149.0.3.222/1/0/8|143.0.68.136/0/0/0
143.0.68.169/3/0/0|149.0.3.231/2/0/0
143.0.68.35/1/1/6|149.9.0.28/5/1/3
143.0.68.172/1/0/0|143.0.68.181/0/1/0
12.123.80.17/1/0/0|12.123.80.57/1/0/0
149.0.3.223/5/2/3|149.0.3.222/5/2/3
12.123.80.27/1/0/0|12.123.80.17/1/0/2
12.82.0.62/1/1/4|12.82.0.63/4/0/6
12.82.0.53/4/0/5|12.82.0.55/5/1/2
12.80.72.121/4/3/3|12.80.72.126/0/0/9
12.123.80.29/1/1/7|12.123.80.142/0/0/9
143.0.68.248/0/0/0|143.0.68.226/0/0/0
12.123.80.214/2/1/3|149.8.0.17/1/0/4
149.0.3.223/5/0/4|143.0.68.112/1/0/0
10.144.0.137/0/1/0|10.144.0.136/4/1/0
12.82.0.62/1/1/5|12.82.0.63/5/0/6
143.0.68.35/1/1/8|149.9.0.28/5/1/5
12.80.4.13/0/0/9|12.80.4.14/0/0/9
143.0.68.35/1/1/1|149.9.0.28/5/0/8
12.123.80.29/1/1/0|12.123.80.34/1/0/0
143.0.68.169/2/0/0|143.0.68.178/0/0/0
143.0.68.184/0/1/5|143.0.68.169/2/0/5
8.8.0.205/1/0/4|8.8.1.5/0/0/0
12.82.0.62/1/3/3|12.82.0.53/1/0/9
149.0.3.222/5/0/3|149.0.3.223/5/0/2
12.123.80.15/1/0/0|12.123.80.37/0/0/0
149.0.3.196/0/0/0|149.0.3.250/5/0/1
150.0.0.23/5/0/3|150.0.0.29/5/0/3
149.0.3.222/5/0/7|149.0.3.223/5/0/7
149.0.3.134/0/0/0|150.0.0.44/1/0/2
143.0.68.169/2/0/3|143.0.68.184/0/1/0
150.0.0.212/1/0/3|150.0.0.213/2/0/5
143.0.68.184/1/0/0|143.0.68.169/4/0/0
10.144.0.137/3/3/4|10.0.38.82/0/0/2
149.0.3.222/1/0/5|149.0.3.203/1/0/3
149.0.3.222/2/0/5|149.0.3.223/1/0/4
150.0.0.216/0/0/4|149.0.3.136/0/0/0
150.0.0.212/0/0/2|150.0.0.213/2/0/1
143.0.68.184/0/0/6|143.0.68.194/1/0/0
12.82.0.62/1/3/8|12.82.0.53/5/1/4
149.0.3.196/0/2/0|149.0.3.250/4/3/8
12.82.0.53/1/0/0|12.82.0.62/1/0/0
12.82.0.53/2/0/8|12.82.0.62/1/3/4
149.0.3.223/1/0/4|149.0.3.222/2/0/5
12.123.80.214/4/0/8|149.8.0.20/0/0/4
12.123.80.29/2/0/7|12.123.80.32/1/0/0
143.0.24.132/4/0/0|143.0.24.131/2/0/0
