@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan|port_aid|port_ipaddr|port_num|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni
10.204.83.130/24|10.204.83.130/24|10.204.83.130/24|NFO-EMUX|EMUX|NTE|true|S|||||A104P/GE1N/CRCYNVMAA05/CRCYNVMAA46||CIENA EMUX||||24||1|CRCYNVMAA05|JUNIPER MX SERIES|10.204.242.2|150.0.0.216||ge-1/0/1|||NNI
10.204.81.143/1|10.204.81.143/1|10.204.81.143/1|NTE-CFO|IPAG|NTE|true|S|||25|06/UNIF/240387/JP|||CIENA NTE|Y|||1||1|||||||||UNI
10.204.200.205/25|10.204.200.205/25|10.204.200.205/25|NFO-MOBILITY|NTE|NTE|true|B|||||101/GE1N/RLGHNCMAN78/RLGHNCMAN79||CIENA NTE|N|||25||1|RLGHNCMAN78|JUNIPER MX SERIES|10.204.247.40|12.80.72.42||ge-0/0/0|||NNI
10.204.82.201/21|10.204.82.201/21|10.204.82.201/21|NFO-EMUX|EMUX|NTE|true|S|||||K101F/GE1N/CRCYNVMAE04/CRCYNVMAI17||CIENA EMUX||||21||1|CRCYNVMAI17|JUNIPER MX SERIES|10.204.241.91|150.0.0.147||ge-3/0/0|||NNI
10.204.8.73/25|10.204.8.73/25|10.204.8.73/25|NFO-MOBILITY|NTE|NTE|true|B|AAF-PRIMARY||||102/GE1N/DYBHFLMAH02/DYBHFLMAH57|103/GE1N/DYBHFLMAH06/DYBHFLMAH57|CIENA NTE|Y||4092|25||1|DYBHFLMAH02|JUNIPER MX SERIES|12.122.123.112|150.0.0.44||ge-5/0/1|||NNI
10.204.12.13/9|10.204.12.13/9|10.204.12.13/9|NFO-MOBILITY|NTE|NTE|true|B|||||R101B/GE1N/DYBHFLMAAPA/GSVLFLANH02||CIENA NTE|Y||4092|9||1|GSVLFLANH02|JUNIPER MX SERIES|10.204.243.116|143.0.68.242||ge-3/0/8|||NNI
10.204.84.128/28|10.204.84.128/28|10.204.84.128/28|NFO-MOBILITYUNI|NTE|NTE|true|S|||25|99/KRFN/196660/NV|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.132.130/21|10.204.132.130/21|10.204.132.130/21|NFO-EMUX|EMUX|NTE|true|B|||||101/GE1N/GSVLFLANAC2/GSVLFLAN01T||CIENA EMUX||||21||1|GSVLFLANAC2|JUNIPER MX SERIES|10.204.243.115|143.0.68.241||ge-4/0/9|||NNI
10.204.90.163/SM-B/2|10.204.90.163/SM-B/2|10.204.90.163/SM-B/2|NFO-TA5000|TA5000|NTE|true|S|||||C104D/GE1N/CRCYNVAA8AW/CRCYNVAA81W||ADTRAN 5000 SERIES||||2||0|CRCYNVAA81W|JUNIPER MX SERIES|12.81.161.202|8.8.0.190||ge-0/0/0|||NNI
10.204.66.72/25|10.204.66.72/25|10.204.66.72/25|NFO-MOBILITY|NTE|NTE|true|B|AAF-PRIMARY||||101/GE1N/ORLDFL32A57/SNJSCAHUDK3|101/GE1N/ORLDFL32A57/SNJSCAHUTJ6|CIENA NTE|N||4092|25||1|SNJSCAHUDK3|JUNIPER MX SERIES|12.122.122.250|12.123.80.214||ge-3/0/3|||NNI
10.204.132.158/10|10.204.132.158/10|10.204.132.158/10|NFO-MOBILITY|NTE|NTE|true|B|AAF-PRIMARY||||JU103/GE1N/GSVLFLANAC2/GSVLFLSTW02|JU103/GE1N/GSVLFLANAMD/GSVLFLSTW02|CIENA NTE|N||4092|10||1|GSVLFLANAC2|JUNIPER MX SERIES|10.204.243.115|143.0.68.241||ge-4/0/2|||NNI
10.204.83.232/9|10.204.83.232/9|10.204.83.232/9|NFO-MOBILITY|NTE|NTE|true|S|||||JU101/GE1N/CRCYNVMAIDE/CRCYNVMAI41||CIENA NTE|Y||4092|9||1|CRCYNVMAI41|JUNIPER MX SERIES|10.204.241.113|150.0.0.168||ge-5/2/1|||NNI
192.168.95.31/9|192.168.95.31/9|192.168.95.31/9|NFO-MOBILITY|NTE|NTE|true|S|||||JU110/GE1N/SNJSCA1A002/SNTCCA0111W||CIENA NTE|Y||4092|9||1|SNTCCA0111W|JUNIPER MX SERIES|192.168.112.44|10.144.0.155||ge-1/0/1|||NNI
10.204.11.103/1|10.204.11.103/1|10.204.11.103/1|NFO-MOBILITY|NTE|NTE|true|B|||||JU101/GE1N/DYBHFLMCJ1K/DYBHFLMCJ2K||CIENA EMUX|Y||4092|1||0|DYBHFLMCJ2K|CIENA NTE|10.204.11.104|||9|||NNI
