@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan|port_aid|port_ipaddr|port_num|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni
10.204.85.79/24|10.204.85.79/24|10.204.85.79/24|NFO-EMUX|EMUX|NTE|true|S|||||104/GE1N/CRCYNVMAD09/CRCYNVMAD81||CIENA EMUX||||24||1|CRCYNVMAD09|JUNIPER MX SERIES|10.204.242.126|149.0.3.206||ge-1/0/0|||NNI
10.204.132.130/24|10.204.132.130/24|10.204.132.130/24|NFO-EMUX|EMUX|NTE|true|B|||||104/GE1N/GSVLFLANAC2/GSVLFLAN01T||CIENA EMUX||||24||1|GSVLFLANAC2|JUNIPER MX SERIES|10.204.243.115|143.0.68.241||ge-0/0/1|||NNI
10.204.200.160/26|10.204.200.160/26|10.204.200.160/26|NFO-MOBILITY|NTE|NTE|true|B|||||A101N/GE1N/RLGHNCMASJ1/RLGHNCMA1PS||CIENA NTE|N|||26||0|RLGHNCMA1PS|JUNIPER MX SERIES|10.204.246.226|12.80.72.14||ge-0/0/0|||NNI
10.204.90.243/21|10.204.90.243/21|10.204.90.243/21|NFO-EMUX|EMUX|NTE|true|S|||||P102S/GE1N/CRCYNVAAE17/CRCYNVAA5D5||CIENA EMUX||||21||0|CRCYNVAA5D5|JUNIPER MX SERIES|12.81.161.220|8.8.0.205||ge-1/0/2|||NNI
10.204.67.78/9|10.204.67.78/9|10.204.67.78/9|NFO-MOBILITY|NTE|NTE|true|B|||||JU101/GE1N/ORLDFLPH51W/ORLGFLFGH01||CIENA NTE|Y||4092|9||1|ORLDFLPH51W|JUNIPER MX SERIES|192.168.112.28|10.144.0.147||ge-3/0/3|||NNI
192.168.128.102/2|192.168.128.102/2|192.168.128.102/2|NTE-CFO|IPAG|NTE|true|B|||9|10/KQFN/131013/SB|||CIENA NTE|Y|||2||0|||||||||UNI
10.204.8.69/SM-A/2|10.204.8.69/SM-A/2|10.204.8.69/SM-A/2|NFO-TA5000|TA5000|NTE|true|B|||||R102K/GE1N/DYBHFLMAXIY/DYBHFLMAX5Y||ADTRAN 5000 SERIES||||2||0|DYBHFLMAX5Y|JUNIPER MX SERIES|12.122.123.62|150.0.0.12||ge-0/0/1|||NNI
10.204.84.234/9|10.204.84.234/9|10.204.84.234/9|NFO-MOBILITY|NTE|NTE|true|S|AAF-PRIMARY||||JU101/GE1N/CRCYNVMAD01/CRCYNVMA3C2|JU101/GE1N/CRCYNVMAD02/CRCYNVMA3C2|CIENA NTE|N||4092|9||1|CRCYNVMAD01|JUNIPER MX SERIES|10.204.242.115|149.0.3.196||ge-0/0/2|||NNI
10.204.85.13/9|10.204.85.13/9|10.204.85.13/9|NFO-MOBILITY|NTE|NTE|true|S|AAF-PRIMARY||||M101N/GE1N/CRCYNVAA1ZA/CRCYNVMAD01|M101N/GE1N/CRCYNVAA1ZA/CRCYNVMAD02|CIENA NTE|N||4092|9||1|CRCYNVMAD01|JUNIPER MX SERIES|10.204.242.115|149.0.3.196||ge-0/2/3|||NNI
10.204.200.159/21|10.204.200.159/21|10.204.200.159/21|NFO-EMUX|EMUX|NTE|true|B|||||A102T/GE1N/RLGHNCMAQ01/RLGHNCMAQ03||CIENA EMUX||||21||1|RLGHNCMAQ01|JUNIPER MX SERIES|10.204.247.6|12.80.72.16||ge-3/0/0|||NNI
10.204.85.39/9|10.204.85.39/9|10.204.85.39/9|NFO-MOBILITY|NTE|NTE|true|S|||||JU101/GE1N/CRCYNVMAD01/CRCYNVMAOA1||CIENA NTE|Y||4092|9||1|CRCYNVMAD01|JUNIPER MX SERIES|10.204.242.115|149.0.3.196||ge-0/2/7|||NNI
10.204.83.233/25|10.204.83.233/25|10.204.83.233/25|NFO-MOBILITY|NTE|NTE|true|S|||||JU103/GE1N/CRCYNVMAH02/CRCYNVMAH34||CIENA NTE|N||4092|25||1|CRCYNVMAH02|JUNIPER MX SERIES|143.1.33.22|143.0.68.35||ge-0/0/0|||NNI
10.204.83.217/SM-A/1|10.204.83.217/SM-A/1|10.204.83.217/SM-A/1|NFO-TA5000|TA5000|NTE|true|S|||||A101B/GE1N/CRCYNVMAH03/CRCYNVMAH55||ADTRAN 5000 SERIES||||1||1|CRCYNVMAH03|JUNIPER MX SERIES|143.1.33.21|143.0.68.34||ge-0/0/0|||NNI
10.204.90.163/SM-B/1|10.204.90.163/SM-B/1|10.204.90.163/SM-B/1|NFO-TA5000|TA5000|NTE|true|S|||||A103B/GE1N/CRCYNVAA8AW/CRCYNVAA81W||ADTRAN 5000 SERIES||||1||0|CRCYNVAA81W|JUNIPER MX SERIES|12.81.161.202|8.8.0.190||ge-3/0/0|||NNI
10.204.65.39/25|10.204.65.39/25|10.204.65.39/25|NFO-MOBILITY|NTE|NTE|true|B|||||O101O/GE1N/ORLDFL32ZZ4/ORLDFL32ZZ5||CIENA NTE|N||4092|25||1|ORLDFL32ZZ4|JUNIPER MX SERIES|12.122.122.177|12.123.80.143||ge-0/0/0|||NNI
10.204.201.68/25|10.204.201.68/25|10.204.201.68/25|NFO-MOBILITY|NTE|NTE|true|B|||||D101F/GE1N/ORLDFL24SL2/ORLDFL24VL4||CIENA NTE|N|||25||0|ORLDFL24VL4|JUNIPER MX SERIES|10.204.247.127|12.80.72.118||ge-0/0/4|||NNI
10.204.8.73/26|10.204.8.73/26|10.204.8.73/26|NFO-MOBILITY|NTE|NTE|true|B|AAF-SECONDARY||||103/GE1N/DYBHFLMAH06/DYBHFLMAH57|102/GE1N/DYBHFLMAH02/DYBHFLMAH57|CIENA NTE|Y||4092|26||1|DYBHFLMAH06|JUNIPER MX SERIES|12.122.123.111|149.0.3.134||ge-5/0/0|||NNI
10.204.82.191/28|10.204.82.191/28|10.204.82.191/28|NTE-CFO|IPAG|NTE|true|S|||25|54/HGYT/125469/MN|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.10.98/9|10.204.10.98/9|10.204.10.98/9|NFO-MOBILITY|NTE|NTE|true|B|||||JU101/GE1N/DYBHFLMCV01/DYBHFLMC2QQ||CIENA NTE|Y||4092|9||1|DYBHFLMCV01|JUNIPER MX SERIES|10.204.243.44|143.0.68.172||ge-0/0/8|||NNI
10.204.85.55/1|10.204.85.55/1|10.204.85.55/1|NFO-MOBILITYUNI|NTE|NTE|true|S|||9|01/UNIF/042812/FI|||CIENA NTE|Y|||1||0|||||||||UNI
10.204.83.130/22|10.204.83.130/22|10.204.83.130/22|NFO-EMUX|EMUX|NTE|true|S|||||E102F/GE1N/CRCYNVMAA05/CRCYNVMAA46||CIENA EMUX||||22||1|CRCYNVMAA05|JUNIPER MX SERIES|10.204.242.2|150.0.0.216||ge-1/0/0|||NNI
10.204.84.234/10|10.204.84.234/10|10.204.84.234/10|NFO-MOBILITY|NTE|NTE|true|S|AAF-SECONDARY||||JU101/GE1N/CRCYNVMAD02/CRCYNVMA3C2|JU101/GE1N/CRCYNVMAD01/CRCYNVMA3C2|CIENA NTE|N||4092|10||1|CRCYNVMAD02|JUNIPER MX SERIES|10.204.242.117|149.0.3.198||ge-0/0/2|||NNI
10.204.10.149/SM-A/1|10.204.10.149/SM-A/1|10.204.10.149/SM-A/1|NFO-TA5000|TA5000|NTE|true|B|||||M105N/GE1N/DYBHFLMBM01/DYBHFLMB1MX||ADTRAN 5000 SERIES||||1||1|DYBHFLMB1MX|JUNIPER MX SERIES|10.204.243.40|143.0.68.168||ge-1/0/0|||NNI
10.204.11.170/9|10.204.11.170/9|10.204.11.170/9|NFO-MOBILITY|NTE|NTE|true|B|||||JU101/GE1N/DYBHFLMA30X/DYBHFLMA308||CIENA NTE|Y||4092|9||1|DYBHFLMA308|JUNIPER MX SERIES|10.204.243.122|143.0.68.248||ge-1/0/7|||NNI
10.204.208.84/4|10.204.208.84/4|10.204.208.84/4|NFO-MOBILITYUNI|NTE|NTE|true|S|||25|99/KRFN/192898/NV|||CIENA NTE|Y|||4||4|||||||||UNI
10.204.200.230/1|10.204.200.230/1|10.204.200.230/1|NTE-CFO|IPAG|NTE|true|B|||25|01/USAN/070510/SB|||CIENA NTE|Y|||1||1|||||||||UNI
10.204.11.9/1|10.204.11.9/1|10.204.11.9/1|NFO-MOBILITYUNI|NTE|NTE|true|B|||9|00/KQGN/250912/JP|||CIENA NTE|Y|||1||0|||||||||UNI
10.204.81.143/25|10.204.81.143/25|10.204.81.143/25|NFO-MOBILITY|NTE|NTE|true|S|AAF-PRIMARY||||JU102/GE1N/SNJSCAHUDK1/SNJSCAHUHLE|JU101/GE1N/SNJSCAHUDK3/SNJSCAHUHLE|CIENA NTE|Y||4092|25||1|SNJSCAHUDK1|JUNIPER MX SERIES|12.122.122.248|12.123.80.212||ge-2/1/6|||NNI
10.204.1.84/5|10.204.1.84/5|10.204.1.84/5|NTE-CFO|IPAG|NTE|true|S|||9|86/KRGN/506815/PT|||CIENA NTE|Y|||5||0|||||||||UNI
10.204.67.164/9|10.204.67.164/9|10.204.67.164/9|NFO-MOBILITY|NTE|NTE|true|B|||||R101S/GE1N/DYBHFLMAL08/ORLDFLMAD89||CIENA NTE|N||4092|9||1|DYBHFLMAL08|JUNIPER MX SERIES|10.204.242.143|149.0.3.222||ge-4/0/4|||NNI
10.204.90.122/25|10.204.90.122/25|10.204.90.122/25|NFO-MOBILITY|NTE|NTE|true|S|||||S101G/GE1N/CRCYNVAASG6/CRCYNVAA56W||CIENA NTE|N|||25||0|CRCYNVAA56W|JUNIPER MX SERIES|12.81.161.160|8.8.0.154||ge-0/0/2|||NNI
10.204.6.72/25|10.204.6.72/25|10.204.6.72/25|NFO-MOBILITY|NTE|NTE|true|S|||||101/GE1N/CRCYNVHA2AW/CRCYNVMA51W||CIENA NTE|N|||25||0|CRCYNVMA51W|JUNIPER MX SERIES|10.204.246.167|12.80.84.29||ge-3/0/6|||NNI
10.204.65.63/26|10.204.65.63/26|10.204.65.63/26|NFO-MOBILITY|NTE|NTE|true|B|AAF-SECONDARY||||a101a/GE1N/ORLDFL32S3D/ORLDFL327YH|a101a/GE1N/ORLDFL32S3D/ORLDFL3298O|CIENA NTE|N||4092|26||1|ORLDFL327YH|JUNIPER MX SERIES|12.122.122.205|12.123.80.169||ge-2/0/1|||NNI
10.204.135.203/1|10.204.135.203/1|10.204.135.203/1|NFO-MOBILITYUNI|NTE|NTE|true|S|||9|10/KQFN/130601/PT|||CIENA NTE|Y|||1||0|||||||||UNI
10.204.67.36/11|10.204.67.36/11|10.204.67.36/11|NFO-MOBILITY|NTE|NTE|true|B|||||JP105/GE10/ORLDFLPH1SW/ORLDFL420AW||CIENA NTE|Y||4092|11||1|ORLDFLPH1SW|JUNIPER MX SERIES|10.204.244.29|143.0.24.130||xe-1/2/0|||NNI
10.204.200.160/28|10.204.200.160/28|10.204.200.160/28|NFO-MOBILITY|NTE|NTE|true|B|||||K101M/GE1N/ORLDFL24AEM/RLGHNCMASJ1||CIENA NTE|N|||28||1|ORLDFL24AEM|CIENA EMUX||||4|||NNI
10.204.132.151/21|10.204.132.151/21|10.204.132.151/21|NFO-EMUX|EMUX|NTE|true|B|||||103/GE1N/GSVLFLANAC1/GSVLFLANZM1||CIENA EMUX||||21||1|GSVLFLANAC1|JUNIPER MX SERIES|10.204.243.114|143.0.68.240||ge-2/1/2|||NNI
192.168.95.31/2|192.168.95.31/2|192.168.95.31/2|NTE-CFO|IPAG|NTE|true|S|||9|86/KRGN/506826/PT|||CIENA NTE|Y|||2||0|||||||||UNI
135.16.243.66/1|135.16.243.66/1|135.16.243.66/1|NTE-CFO|IPAG|NTE|true|B|||9|10/KRFN/121005/SB|||CIENA NTE|Y|||1||0|||||||||UNI
10.204.10.197/28|10.204.10.197/28|10.204.10.197/28|NFO-MOBILITYUNI|NTE|NTE|true|B|||25|00/KQRJ/091112/ST|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.65.133/25|10.204.65.133/25|10.204.65.133/25|NFO-MOBILITY|NTE|NTE|true|B|||||101/GE1N/ORLDFL32N33/ORLDFL32ZSA||CIENA NTE|Y||4092|25||0|ORLDFL32ZSA|JUNIPER MX SERIES|12.122.122.235|12.123.80.197||ge-0/0/0|||NNI
192.168.128.102/1|192.168.128.102/1|192.168.128.102/1|NTE-CFO|IPAG|NTE|true|B|||9|58/KQGN/700332/SB|||CIENA NTE|Y|||1||0|||||||||UNI
10.204.136.101/23|10.204.136.101/23|10.204.136.101/23|NFO-EMUX|EMUX|NTE|true|B|||||JU103/GE1N/JCVLFLSEN07/JCVLFLSEWA1||CIENA EMUX||||23||1|JCVLFLSEN07|JUNIPER MX SERIES|143.1.33.60|143.0.68.72||ge-1/0/1|||NNI
10.204.12.13/6|10.204.12.13/6|10.204.12.13/6|NTE-CFO|IPAG|NTE|true|B|||9|22/KRFN/564224/RB|||CIENA NTE|Y|||6||0|||||||||UNI
10.204.90.108/2|10.204.90.108/2|10.204.90.108/2|NTE-CFO|IPAG|NTE|true|S|||25|12/ASDF/231215/US|||CIENA NTE|Y|||2||2|||||||||UNI
10.204.208.84/25|10.204.208.84/25|10.204.208.84/25|NFO-MOBILITY|NTE|NTE|true|S|||||H101T/GE1N/CRCYNVAA1IP/CRCYNVHU9LA||CIENA NTE|Y||4092|25||1|CRCYNVAA1IP|JUNIPER MX SERIES|12.122.122.38|12.123.80.17||ge-2/0/8|||NNI
10.204.85.44/2|10.204.85.44/2|10.204.85.44/2|NFO-MOBILITYUNI|NTE|NTE|true|S|||12|99/KRFN/727573/NV|||CIENA NTE|Y|||2||0|||||||||UNI
10.204.85.13/10|10.204.85.13/10|10.204.85.13/10|NFO-MOBILITY|NTE|NTE|true|S|AAF-SECONDARY||||M101N/GE1N/CRCYNVAA1ZA/CRCYNVMAD02|M101N/GE1N/CRCYNVAA1ZA/CRCYNVMAD01|CIENA NTE|N||4092|10||1|CRCYNVMAD02|JUNIPER MX SERIES|10.204.242.117|149.0.3.198||ge-3/0/2|||NNI
10.204.90.224/10|10.204.90.224/10|10.204.90.224/10|NFO-MOBILITY|NTE|NTE|true|S|||||A103Z/GE10/CRCYNVAA56W/CRCYNVHE5AW||CIENA NTE|N|||10||1|CRCYNVAA56W|JUNIPER MX SERIES|12.81.161.160|8.8.0.154||xe-1/2/0|||NNI
135.16.243.66/6|135.16.243.66/6|135.16.243.66/6|NTE-CFO|IPAG|NTE|true|B|||9|10/KRFN/120613/SB|||CIENA NTE|Y|||6||0|||||||||UNI
10.204.83.129/10|10.204.83.129/10|10.204.83.129/10|NFO-MOBILITY|NTE|NTE|true|S|AAF-SECONDARY||||A101D/GE1N/CRCYNVMAA02/CRCYNVMAA10|A101D/GE1N/CRCYNVMAA01/CRCYNVMAA10|CIENA NTE|N||4092|10||1|CRCYNVMAA02|JUNIPER MX SERIES|10.204.242.0|150.0.0.214||ge-0/0/1|||NNI
10.204.82.201/22|10.204.82.201/22|10.204.82.201/22|NFO-EMUX|EMUX|NTE|true|S|||||K102F/GE1N/CRCYNVMAE04/CRCYNVMAI17||CIENA EMUX||||22||1|CRCYNVMAI17|JUNIPER MX SERIES|10.204.241.91|150.0.0.147||ge-2/0/0|||NNI
10.204.208.84/1|10.204.208.84/1|10.204.208.84/1|NFO-MOBILITYUNI|NTE|NTE|true|S|||25|23/KQGN/511252/NV|||CIENA NTE|Y|||1||1|||||||||UNI
10.204.84.23/25|10.204.84.23/25|10.204.84.23/25|NFO-MOBILITY|NTE|NTE|true|S|||||JU102/GE1N/CRCYNVMAL08/CRCYNVMAW71||CIENA NTE|Y||4092|25||1|CRCYNVMAW71|JUNIPER MX SERIES|143.1.33.30|143.0.68.43||ge-0/0/1|||NNI
10.204.84.128/25|10.204.84.128/25|10.204.84.128/25|NFO-MOBILITY|NTE|NTE|true|S|AAF-PRIMARY||||JU103/GE1N/CRCYNVMAL14/CRCYNVMAW71|JU102/GE1N/CRCYNVMAL14/CRCYNVMAW72|CIENA NTE|Y||4092|25||1|CRCYNVMAW71|JUNIPER MX SERIES|143.1.33.30|143.0.68.43||ge-0/0/2|||NNI
10.204.65.153/25|10.204.65.153/25|10.204.65.153/25|NFO-MOBILITY|NTE|NTE|true|B|AAF-PRIMARY||||105/GE1N/ORLDFL32S54/ORLDFL321IP|102/GE1N/ORLDFL32S54/ORLDFL32AS6|CIENA NTE|Y||4092|25||1|ORLDFL321IP|JUNIPER MX SERIES|12.122.121.15|12.123.80.15||ge-0/0/0|||NNI
10.204.9.157/11|10.204.9.157/11|10.204.9.157/11|NFO-MOBILITY|NTE|NTE|true|B|DA||||JP109/GE10/DYBHFLMAL06/DYBHFLMAL35|JP103/GE10/DYBHFLMAL07/DYBHFLMAL36|CIENA NTE|Y||4092|11||1|DYBHFLMAL06|JUNIPER MX SERIES|10.204.242.114|149.0.3.195||xe-0/0/0|||NNI
10.204.65.29/22|10.204.65.29/22|10.204.65.29/22|NFO-EMUX|EMUX|NTE|true|B|||||A102Z/GE1N/ORLDFL32GFY/ORLDFL32S2O||CIENA EMUX||||22||0|ORLDFL32S2O|JUNIPER MX SERIES|12.122.122.167|12.123.80.133||ge-2/0/0|||NNI
10.204.67.36/12|10.204.67.36/12|10.204.67.36/12|NFO-MOBILITY|NTE|NTE|true|B|||||JU107/GE10/ORLDFLPH1SW/ORLDFL420AW||CIENA NTE|Y||4092|12||1|ORLDFLPH1SW|JUNIPER MX SERIES|10.204.244.29|143.0.24.130||xe-1/3/0|4091||NNI
10.204.132.100/9|10.204.132.100/9|10.204.132.100/9|NFO-MOBILITY|NTE|NTE|true|B|||||P101J/GE1N/GSVLFLANCT5/GSVLFLANEF1||CIENA NTE|N||4092|9||1|GSVLFLANCT5|JUNIPER MX SERIES|10.204.243.121|143.0.68.247||ge-0/0/3|||NNI
10.204.9.95/21|10.204.9.95/21|10.204.9.95/21|NFO-EMUX|EMUX|NTE|true|B|||||Y101A/GE1N/DYBHFLMAH72/DYBHFLMAW30||CIENA EMUX||||21||1|DYBHFLMAH72|JUNIPER MX SERIES|10.204.242.46|149.9.0.29||ge-0/0/2|||NNI
10.204.67.188/1|10.204.67.188/1|10.204.67.188/1|NFO-MOBILITYUNI|NTE|NTE|true|B|||25|11/KQGN/771342/SB|||CIENA NTE|Y|||1||1|||||||||UNI
10.204.85.80/10|10.204.85.80/10|10.204.85.80/10|NFO-MOBILITY|NTE|NTE|true|S|||||JU101/GE1N/CRCYNVMAD80/CRCYNVMAZ91||CIENA NTE|N|||10||1|CRCYNVMAD80|CIENA EMUX|10.204.85.76|||2|4091||NNI
10.204.11.103/22|10.204.11.103/22|10.204.11.103/22|NFO-EMUX|EMUX|NTE|true|B|||||102/GE1N/DYBHFLMCJ1K/DYBHFLMCV02||CIENA EMUX||||22||1|DYBHFLMCV02|JUNIPER MX SERIES|10.204.243.45|143.0.68.173||ge-0/0/0|||NNI
10.204.80.210/2|10.204.80.210/2|10.204.80.210/2|NFO-MOBILITYUNI|NTE|NTE|true|S|||26|01/USAN/112233/SV|||CIENA NTE|Y|||2||2|||||||||UNI
10.204.9.184/5|10.204.9.184/5|10.204.9.184/5|NFO-MOBILITYUNI|NTE|NTE|true|B|||9|29/KRFN/270190/SB|||CIENA NTE|Y|||5||0|||||||||UNI
10.204.82.191/27|10.204.82.191/27|10.204.82.191/27|NTE-CFO|IPAG|NTE|true|S|||25|19/UNIS/801941/SR|||CIENA NTE|Y|||27||0|||||||||UNI
10.204.9.95/1|10.204.9.95/1|10.204.9.95/1|NFO-MOBILITY|NTE|NTE|true|B|||||JU102/GE1N/DYBHFLMAWBH/DYBHFLMAW30||CIENA EMUX|Y||4092|1||0|DYBHFLMAWBH|CIENA NTE|10.204.9.96|||9|||NNI
10.204.201.26/22|10.204.201.26/22|10.204.201.26/22|NFO-EMUX|EMUX|NTE|true|B|||||A101R/GE1N/ORLDFL24FIP/ORLDFL24PD0||CIENA EMUX||||22||1|ORLDFL24FIP|JUNIPER MX SERIES|10.204.246.168|12.82.0.53||ge-3/0/5|||NNI
10.204.201.35/4|10.204.201.35/4|10.204.201.35/4|NTE-CFO|IPAG|NTE|true|B|||25|71/CHRI/171863/KR|||CIENA NTE|Y|||4||4|||||||||UNI
10.204.65.159/1|10.204.65.159/1|10.204.65.159/1|NTE-CFO|IPAG|NTE|true|B|DA||26|23/UHJY/167514/WR||24/UHJY/167514/WR|CIENA NTE|Y|||1||1|||||||||UNI
10.204.160.81/SM-A/1|10.204.160.81/SM-A/1|10.204.160.81/SM-A/1|NFO-TA5000|TA5000|NTE|true|B|||||M105L/GE1N/RLGHNCMOPS1/RLGHNCMOPS3||ADTRAN 5000 SERIES||||1||1|RLGHNCMOPS1|JUNIPER MX SERIES|10.204.246.124|12.82.100.7||ge-4/0/1|||NNI
10.204.200.101/28|10.204.200.101/28|10.204.200.101/28|NFO-MOBILITY|NTE|NTE|true|B|||||102/GE1N/ORLDFL24BLE/ORLDFL24FIP||CIENA NTE|N||4092|28||0|ORLDFL24FIP|JUNIPER MX SERIES|10.204.246.168|12.82.0.53||ge-5/0/6|||NNI
10.204.90.126/25|10.204.90.126/25|10.204.90.126/25|NFO-MOBILITY|NTE|NTE|true|S|||||D101K/GE1N/CRCYNVAAP01/CRCYNVHVAKG||CIENA NTE|N|||25||1|CRCYNVAAP01|JUNIPER MX SERIES|12.81.161.147|8.8.0.148||ge-2/0/1|||NNI
10.204.81.195/25|10.204.81.195/25|10.204.81.195/25|NFO-MOBILITY|NTE|NTE|true|S|||||JU101/GE1N/CRCYNVAA2YP/CRCYNVAA9YP||CIENA NTE|Y||4092|25||1|CRCYNVAA2YP|JUNIPER MX SERIES|12.122.123.60|150.0.0.10||ge-2/0/3|||NNI
10.204.9.179/1|10.204.9.179/1|10.204.9.179/1|NFO-MOBILITY|NTE|NTE|true|B|||||JU102/GE1N/DYBHFLHU006/DYBHFLMA002||CIENA EMUX|Y||4092|1||0|DYBHFLHU006|CIENA NTE|10.204.9.177|||9|||NNI
10.204.132.181/1|10.204.132.181/1|10.204.132.181/1|NFO-MOBILITYUNI|NTE|NTE|true|B|||9|50/KRFN/482615/SB|||CIENA NTE|Y|||1||0|||||||||UNI
10.204.90.161/25|10.204.90.161/25|10.204.90.161/25|NFO-MOBILITY|NTE|NTE|true|S|||||A101Z/GE1N/CRCYNVAANG2/CRCYNVAA61W||CIENA NTE|N|||25||0|CRCYNVAA61W|JUNIPER MX SERIES|12.81.161.186|8.8.0.172||ge-5/0/1|||NNI
10.204.200.164/26|10.204.200.164/26|10.204.200.164/26|NFO-MOBILITY|NTE|NTE|true|B|||||P101S/GE1N/RLGHNCMAH03/RLGHNCMAH04||CIENA NTE|Y|||26||1|RLGHNCMAH03|JUNIPER MX SERIES|10.204.247.9|12.80.72.19||ge-1/0/0|||NNI
10.204.160.114/21|10.204.160.114/21|10.204.160.114/21|NFO-EMUX|EMUX|NTE|true|B|||||S103G/GE1N/RLGHNCMOW2K/RLGHNCMOW7K||CIENA EMUX||||21||1|RLGHNCMOW2K|JUNIPER MX SERIES|10.204.246.197|12.80.68.135||ge-3/0/4|||NNI
10.204.172.74/25|10.204.172.74/25|10.204.172.74/25|NFO-MOBILITY|NTE|NTE|true|B|||||N101M/GE1N/JCVLFLSJVV1/JCVLFLSJVV2||CIENA NTE|N|||25||1|JCVLFLSJVV1|JUNIPER MX SERIES|10.204.246.28|14.0.1.85||ge-0/0/0|||NNI
10.204.84.196/9|10.204.84.196/9|10.204.84.196/9|NFO-MOBILITY|NTE|NTE|true|S|||||JU101/GE1N/CRCYNVMAKR9/CRCYNVMAW71||CIENA NTE|N||4092|9||1|CRCYNVMAW71|JUNIPER MX SERIES|143.1.33.30|143.0.68.43||ge-5/0/0|||NNI
192.168.113.149/3|192.168.113.149/3|192.168.113.149/3|NFO-MOBILITY|NTE|NTE|true|S|||||JU104/GE1N/SNJTCAQU0AW/SNJVCAASH00||CIENA EMUX|Y||4092|3||0|SNJVCAASH00|CIENA NTE|10.204.1.90|||9|||NNI
10.204.11.145/7|10.204.11.145/7|10.204.11.145/7|NTE-CFO|IPAG|NTE|true|B|||9|43/KRFN/817161/SB|||CIENA NTE|Y|||7||7|||||||||UNI
10.204.9.92/2|10.204.9.92/2|10.204.9.92/2|NFO-MOBILITY|NTE|NTE|true|B|||||JU102/GE1N/DYBHFLMARF1/DYBHFLMAW28||CIENA EMUX|Y||4092|2||0|DYBHFLMARF1|CIENA NTE|10.204.9.41|||25|||NNI
10.204.136.101/22|10.204.136.101/22|10.204.136.101/22|NFO-EMUX|EMUX|NTE|true|B|||||102/GE1N/JCVLFLSEN07/JCVLFLSEWA1||CIENA EMUX||||22||1|JCVLFLSEN07|JUNIPER MX SERIES|143.1.33.60|143.0.68.72||ge-4/0/0|||NNI
10.204.65.63/25|10.204.65.63/25|10.204.65.63/25|NFO-MOBILITY|NTE|NTE|true|B|AAF-PRIMARY||||a101a/GE1N/ORLDFL32S3D/ORLDFL3298O|a101a/GE1N/ORLDFL32S3D/ORLDFL327YH|CIENA NTE|N||4092|25||1|ORLDFL3298O|JUNIPER MX SERIES|12.122.122.204|12.123.80.168||ge-2/0/1|||NNI
10.204.65.149/26|10.204.65.149/26|10.204.65.149/26|NFO-MOBILITY|NTE|NTE|true|B|AAF-SECONDARY||||101/GE1N/ORLDFL32ZSB/ORLDFL32ZZP|101/GE1N/ORLDFL32ZZP/ORLDFL32ZZ4|CIENA NTE|N||4092|26||1|ORLDFL32ZSB|JUNIPER MX SERIES|12.122.122.239|12.123.80.201||ge-2/0/1|||NNI
10.204.135.203/9|10.204.135.203/9|10.204.135.203/9|NFO-MOBILITY|NTE|NTE|true|S|||||JU102/GE1N/SNJSCACO0AW/SNJSCA020FW||CIENA NTE|Y||4092|9||1|SNJSCA020FW|JUNIPER MX SERIES|12.122.121.13|143.0.24.132||ge-2/0/4|||NNI
10.204.83.151/9|10.204.83.151/9|10.204.83.151/9|NFO-MOBILITY|NTE|NTE|true|S|||||JU101/GE1N/CRCYNVMAIPP/CRCYNVMAI41||CIENA NTE|Y||4092|9||1|CRCYNVMAI41|JUNIPER MX SERIES|10.204.241.113|150.0.0.168||ge-5/0/9|||NNI
10.204.67.36/9|10.204.67.36/9|10.204.67.36/9|NTE-CFO|IPAG|NTE|true|B|||11|10/KSFN/180413/SB|||CIENA NTE|Y|||9||0|||||||||UNI
10.204.80.210/28|10.204.80.210/28|10.204.80.210/28|NFO-MOBILITYUNI|NTE|NTE|true|S|||26|99/KRFN/289188/NV|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.200.160/25|10.204.200.160/25|10.204.200.160/25|NFO-MOBILITY|NTE|NTE|true|B|||||R101K/GE1N/RLGHNCMAP17/RLGHNCMASJ1||CIENA NTE|N|||25||1|RLGHNCMAP17|JUNIPER MX SERIES|10.204.246.227|12.80.72.15||ge-0/0/1|||NNI
10.204.90.251/21|10.204.90.251/21|10.204.90.251/21|NFO-EMUX|EMUX|NTE|true|S|||||A101S/GE1N/CRCYNVAAE33/CRCYNVAAI56||CIENA EMUX||||21||0|CRCYNVAAI56|JUNIPER MX SERIES|12.81.162.36|8.8.1.5||ge-2/0/0|||NNI
10.204.11.244/1|10.204.11.244/1|10.204.11.244/1|NFO-MOBILITYUNI|NTE|NTE|true|B|||9|02/KRFN/782425/SB|||CIENA NTE|Y|||1||0|||||||||UNI
