@ref(networkElement)|@const(IpagProtectionPathHop)class
@index(Protection_Path_Hop)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|end_end_device_clli|end_end_device_lookbackip|end_lag_id|end_lag_ip|hop_head_lookbackip|hop_head_ptnii|hop_tail_lookbackip|hop_tail_ptnii|lag_ckt|start_end_device_clli|start_end_device_lookbackip|start_lag_id|start_lag_ip
10.144.0.112/PE14_PE22_B_2_1_1_BYPASS/10.1.182.58|10.144.0.112/PE14_PE22_B_2_1_1_BYPASS/10.1.182.58|10.144.0.112/PE14_PE22_B_2_1_1_BYPASS/10.1.182.58|||IPAG||||||10.1.182.58|10.144.0.113|SNBCA301IA2||||||ae3|10.1.182.58
10.144.0.65/PE1_PE26_B_2_1_1_BYPASS/10.1.188.165|10.144.0.65/PE1_PE26_B_2_1_1_BYPASS/10.1.188.165|10.144.0.65/PE1_PE26_B_2_1_1_BYPASS/10.1.188.165|||IPAG|||||ae12|10.1.188.165|10.144.0.65|ORMFL301IA2|197.144.0.136|ORAFL301IB2||||ae12|10.1.188.166
10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS/10.1.188.165|10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS/10.1.188.165|10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS/10.1.188.165|||IPAG|||||ae12|10.1.188.165|10.144.0.65|ORMFL301IA2|197.144.0.136|ORAFL301IB2||||ae12|10.1.188.166
10.144.0.112/PE14_PE10_B_2_1_1_BYPASS/10.1.182.30|10.144.0.112/PE14_PE10_B_2_1_1_BYPASS/10.1.182.30|10.144.0.112/PE14_PE10_B_2_1_1_BYPASS/10.1.182.30|||IPAG|||||ae77|10.1.182.30|10.144.0.112|SNDCA301IA2|10.144.0.113|SNBCA301IA2||||ae77|10.1.182.30
10.144.0.113/PE15_PE14_B_2_1_1_BYPASS/10.1.182.58|10.144.0.113/PE15_PE14_B_2_1_1_BYPASS/10.1.182.58|10.144.0.113/PE15_PE14_B_2_1_1_BYPASS/10.1.182.58|||IPAG||||||10.1.182.58|10.144.0.113|SNBCA301IA2||||||ae3|10.1.182.58
10.144.0.65/PE1_PE26_B_2_1_1_BYPASS/10.1.188.161|10.144.0.65/PE1_PE26_B_2_1_1_BYPASS/10.1.188.161|10.144.0.65/PE1_PE26_B_2_1_1_BYPASS/10.1.188.161|||IPAG||||||10.1.188.161|||||||||
10.144.0.114/chgil311ia1_chgil302mp2_B_2_1_1_BYPASS/10.1.188.50|10.144.0.114/chgil311ia1_chgil302mp2_B_2_1_1_BYPASS/10.1.188.50|10.144.0.114/chgil311ia1_chgil302mp2_B_2_1_1_BYPASS/10.1.188.50|||IPAG|||ORLDFLMA3AW|10.144.0.211|ae51|10.1.188.50|10.144.0.114|ORAFL301IA2|10.144.0.211|ORMFL301MP1|107/M2-Links/ORLDFLMA3AW/ORLDFLSA1AW|ORLDFLMA3AW|10.144.0.211|ae51|10.1.188.50
10.144.0.137/PE26_PE1_B_2_1_1_BYPASS/10.1.188.166|10.144.0.137/PE26_PE1_B_2_1_1_BYPASS/10.1.188.166|10.144.0.137/PE26_PE1_B_2_1_1_BYPASS/10.1.188.166|||IPAG||||||10.1.188.166|||||||||
10.144.0.112/PE14_PE10_B_2_1_1_BYPASS/10.1.182.85|10.144.0.112/PE14_PE10_B_2_1_1_BYPASS/10.1.182.85|10.144.0.112/PE14_PE10_B_2_1_1_BYPASS/10.1.182.85|||IPAG|||||ae35|10.1.182.85|10.144.0.113|SNBCA301IA2|10.144.0.123|SNACA302IA1||||ae35|10.1.182.86
10.144.0.113/PE15_PE10_B_2_1_1_BYPASS/10.1.182.29|10.144.0.113/PE15_PE10_B_2_1_1_BYPASS/10.1.182.29|10.144.0.113/PE15_PE10_B_2_1_1_BYPASS/10.1.182.29|||IPAG|||||ae77|10.1.182.29|10.144.0.113|SNBCA301IA2|10.144.0.112|SNDCA301IA2||||ae77|10.1.182.29
10.144.0.123/PE10_PE14_B_2_1_1_BYPASS/10.1.182.86|10.144.0.123/PE10_PE14_B_2_1_1_BYPASS/10.1.182.86|10.144.0.123/PE10_PE14_B_2_1_1_BYPASS/10.1.182.86|||IPAG|||||ae35|10.1.182.86|10.144.0.123|SNACA302IA1|10.144.0.113|SNBCA301IA2||||ae35|10.1.182.85
10.144.0.114/chgil311ia1_chgil301mp1_B_2_1_1_BYPASS/10.1.188.65|10.144.0.114/chgil311ia1_chgil301mp1_B_2_1_1_BYPASS/10.1.188.65|10.144.0.114/chgil311ia1_chgil301mp1_B_2_1_1_BYPASS/10.1.188.65|||IPAG|||ORLDFLPHWAA|10.144.0.212|ae57|10.1.188.65|10.144.0.114|ORAFL301IA2|10.144.0.212|ORPFL302MP2|101/M2-Links/ORLDFLPHWAA/ORLDFLSA1AW|ORLDFLPHWAA|10.144.0.212|ae57|10.1.188.66
10.144.0.136/PE24_PE26_B_2_1_1_BYPASS/10.1.188.157|10.144.0.136/PE24_PE26_B_2_1_1_BYPASS/10.1.188.157|10.144.0.136/PE24_PE26_B_2_1_1_BYPASS/10.1.188.157|||IPAG|||ORLDFLMA51W|10.144.0.137|ae31|10.1.188.157|10.144.0.65|ORMFL301IA2|10.144.0.137|ORMFL301IA1|103/E-Links/ORLDFLMA51W/ORLDFLMA61W|ORLDFLMA51W|10.144.0.137|ae31|10.1.188.158
10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS/10.1.188.154|10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS/10.1.188.154|10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS/10.1.188.154|||IPAG|||||ae23|10.1.188.154|197.144.0.136|ORAFL301IB2|135.16.241.28|ORMFL303VR1||||ae23|10.1.188.154
10.144.0.113/PE15_PE14_B_2_1_1_BYPASS/10.1.182.53|10.144.0.113/PE15_PE14_B_2_1_1_BYPASS/10.1.182.53|10.144.0.113/PE15_PE14_B_2_1_1_BYPASS/10.1.182.53|||IPAG||||||10.1.182.53|||||||||
10.144.0.113/PE15_PE10_B_2_1_1_BYPASS/10.1.182.81|10.144.0.113/PE15_PE10_B_2_1_1_BYPASS/10.1.182.81|10.144.0.113/PE15_PE10_B_2_1_1_BYPASS/10.1.182.81|||IPAG|||||ae44|10.1.182.81|10.144.0.112|SNDCA301IA2|10.144.0.123|SNACA302IA1||||ae44|10.1.182.82
10.144.0.114/chgil311ia1_chgil301mp1_B_2_1_1_BYPASS/10.1.188.14|10.144.0.114/chgil311ia1_chgil301mp1_B_2_1_1_BYPASS/10.1.188.14|10.144.0.114/chgil311ia1_chgil301mp1_B_2_1_1_BYPASS/10.1.188.14|||IPAG|||ORLDFLMA3AW|10.144.0.211|ae42|10.1.188.14|10.144.0.212|ORPFL302MP2|10.144.0.211|ORMFL301MP1|101/GE100/ORLDFLMA3AW/ORLDFLPHWAA|ORLDFLMA3AW|10.144.0.211|ae42|10.1.188.14
10.144.0.112/PE14_PE22_B_2_1_1_BYPASS/10.1.182.34|10.144.0.112/PE14_PE22_B_2_1_1_BYPASS/10.1.182.34|10.144.0.112/PE14_PE22_B_2_1_1_BYPASS/10.1.182.34|||IPAG||||||10.1.182.34|||||||||
10.144.0.65/PE1_PE28_B_2_1_1_BYPASS/10.1.188.197|10.144.0.65/PE1_PE28_B_2_1_1_BYPASS/10.1.188.197|10.144.0.65/PE1_PE28_B_2_1_1_BYPASS/10.1.188.197|||IPAG|||||ae11|10.1.188.197|197.144.0.136|ORAFL301IB2|10.144.0.147|ORPFL301IA1||||ae11|10.1.188.198
10.144.0.115/PE17_PE22_B_2_1_1_BYPASS/10.1.182.34|10.144.0.115/PE17_PE22_B_2_1_1_BYPASS/10.1.182.34|10.144.0.115/PE17_PE22_B_2_1_1_BYPASS/10.1.182.34|||IPAG||||||10.1.182.34|||||||||
10.144.0.115/PE17_PE22_B_2_1_1_BYPASS/10.1.182.106|10.144.0.115/PE17_PE22_B_2_1_1_BYPASS/10.1.182.106|10.144.0.115/PE17_PE22_B_2_1_1_BYPASS/10.1.182.106|||IPAG||||||10.1.182.106|||||||||
10.144.0.112/PE14_PE15_B_2_1_1_BYPASS/10.1.182.54|10.144.0.112/PE14_PE15_B_2_1_1_BYPASS/10.1.182.54|10.144.0.112/PE14_PE15_B_2_1_1_BYPASS/10.1.182.54|||IPAG|||||ae0|10.1.182.54|10.144.0.112|SNDCA301IA2|10.144.0.138|SNACA306IA2||||ae3|10.1.182.54
10.144.0.137/PE26_PE24_B_2_1_1_BYPASS/10.1.188.158|10.144.0.137/PE26_PE24_B_2_1_1_BYPASS/10.1.188.158|10.144.0.137/PE26_PE24_B_2_1_1_BYPASS/10.1.188.158|||IPAG|||ORLDFLMA51W|10.144.0.137|ae31|10.1.188.158|10.144.0.137|ORMFL301IA1|10.144.0.65|ORMFL301IA2|103/E-Links/ORLDFLMA51W/ORLDFLMA61W|ORLDFLMA51W|10.144.0.137|ae31|10.1.188.157
10.144.0.123/PE10_PE15_B_2_5_1_BYPASS/10.1.182.82|10.144.0.123/PE10_PE15_B_2_5_1_BYPASS/10.1.182.82|10.144.0.123/PE10_PE15_B_2_5_1_BYPASS/10.1.182.82|||IPAG|||||ae44|10.1.182.82|10.144.0.123|SNACA302IA1|10.144.0.112|SNDCA301IA2||||ae44|10.1.182.81
10.144.0.137/PE26_PE24_B_2_1_1_BYPASS/10.1.188.165|10.144.0.137/PE26_PE24_B_2_1_1_BYPASS/10.1.188.165|10.144.0.137/PE26_PE24_B_2_1_1_BYPASS/10.1.188.165|||IPAG|||||ae12|10.1.188.165|10.144.0.65|ORMFL301IA2|197.144.0.136|ORAFL301IB2||||ae12|10.1.188.166
10.144.0.112/PE14_PE15_B_2_1_1_BYPASS/10.1.182.33|10.144.0.112/PE14_PE15_B_2_1_1_BYPASS/10.1.182.33|10.144.0.112/PE14_PE15_B_2_1_1_BYPASS/10.1.182.33|||IPAG||||||10.1.182.33|||||||||
10.144.0.112/PE14_PE22_B_2_1_1_BYPASS/10.1.182.30|10.144.0.112/PE14_PE22_B_2_1_1_BYPASS/10.1.182.30|10.144.0.112/PE14_PE22_B_2_1_1_BYPASS/10.1.182.30|||IPAG|||||ae77|10.1.182.30|10.144.0.112|SNDCA301IA2|10.144.0.113|SNBCA301IA2||||ae77|10.1.182.30
10.144.0.137/PE26_PE1_B_2_1_1_BYPASS/10.1.188.162|10.144.0.137/PE26_PE1_B_2_1_1_BYPASS/10.1.188.162|10.144.0.137/PE26_PE1_B_2_1_1_BYPASS/10.1.188.162|||IPAG||||||10.1.188.162|||||||||
10.144.0.114/chgil311ia1_chgil302mp2_B_2_1_1_BYPASS/10.1.188.13|10.144.0.114/chgil311ia1_chgil302mp2_B_2_1_1_BYPASS/10.1.188.13|10.144.0.114/chgil311ia1_chgil302mp2_B_2_1_1_BYPASS/10.1.188.13|||IPAG|||ORLDFLMA3AW|10.144.0.211|ae42|10.1.188.13|10.144.0.211|ORMFL301MP1|10.144.0.212|ORPFL302MP2|101/GE100/ORLDFLMA3AW/ORLDFLPHWAA|ORLDFLMA3AW|10.144.0.211|ae42|10.1.188.13
