@rel(Composed_Of)
@from(PE_LPort)key|@to(EVCNode)key
149.0.3.196/5/0/8/6005|149.0.3.196/VPLS:27883
143.0.68.244/1/0/0/6029|143.0.68.244/L2CKT:29459
149.0.3.128/5/0/0/6002|149.0.3.128/VPLS:25461
143.0.68.242/5/0/0/6033|143.0.68.242/VPLS:32749
143.0.68.36/0/0/0/6001|143.0.68.36/VPLS:25649
12.122.72.128/1/0/6/0|12.122.72.128/VPLS:17354
78.23.44.28/1/0/2/3|78.23.44.28/VPLS:17349
10.144.0.137/1/3/5/6045|10.144.0.137/VPWS:24113
149.0.3.194/0/2/0/6007|149.0.3.194/VPWS:27516
8.8.0.172/5/0/0/15|8.8.0.172/ASDF1234
149.0.3.135/0/0/0/6003|149.0.3.135/VPLS:26410
12.123.80.212/2/1/3/6001|12.123.80.212/VPWS:22436
143.0.68.248/4/0/1/6001|143.0.68.248/VPLS:31483
10.144.0.155/1/2/6/6005|10.144.0.155/VPLS:32454
78.23.44.28/0/1/3/97|78.23.44.28/VPLS:17351
149.8.0.128/4/0/0/1|149.8.0.128/VPWS:30479
148.0.131.204/5/0/0/6158|148.0.131.204/VPLS:30034
143.0.68.242/0/2/0/6008|143.0.68.242/VPWS:29248
143.0.68.215/1/1/6/6003|143.0.68.215/VPLS:28848
8.8.0.154/0/1/4/6002|8.8.0.154/VPLS:63914
143.0.24.148/4/0/9/6000|143.0.24.148/VPLS:31771
12.123.80.212/2/1/3/6002|12.123.80.212/VPWS:22440
12.123.80.46/1/0/5/6003|12.123.80.46/VPWS:22023
10.144.0.147/5/2/1/6003|10.144.0.147/VPLS:21639
143.0.24.145/10/0/1/6000|143.0.24.145/VPLS:32139
12.122.72.112/1/0/2/0|12.122.72.112/VPLS:17354
143.0.68.184/0/0/2/6008|143.0.68.184/VPLS:28759
12.123.80.27/2/0/3/6002|12.123.80.27/VPLS:20670
150.0.0.168/5/1/6/6039|150.0.0.168/VPWS:26618
143.0.68.184/0/1/6/6015|143.0.68.184/VPLS:30255
148.0.0.32/2/0/0/2|148.0.0.32/VPLS:29072
150.0.0.10/2/0/3/6002|150.0.0.10/VPWS:28900
10.144.0.154/2/0/4/6001|10.144.0.154/L2CKT:32106
148.0.131.182/4/1/6/6031|148.0.131.182/VPWS:23760
143.0.68.170/4/0/0/6001|143.0.68.170/VPLS:29492
143.0.68.242/5/0/0/6008|143.0.68.242/L2CKT:32241
143.0.68.244/7/0/0/6010|143.0.68.244/L2CKT:29459
12.123.80.214/1/0/1/6002|12.123.80.214/VPLS:22198
12.122.72.128/1/0/8/0|12.122.72.128/VPLS:17354
149.9.0.27/0/0/4/6010|149.9.0.27/VPWS:25998
10.144.0.147/2/1/8/6006|10.144.0.147/VPLS:23693
148.0.131.204/5/0/0/6150|148.0.131.204/VPLS:29949
149.4.64.5/0/1/3/1|149.4.64.5/VPWS:29058
12.122.72.115/1/0/1/2|12.122.72.115/VPLS:19157
10.144.0.137/1/3/5/6034|10.144.0.137/VPWS:24018
149.9.0.6/0/1/0/6010|149.9.0.6/VPWS:25868
148.0.131.204/5/0/0/6090|148.0.131.204/VPLS:29538
12.123.80.214/4/1/9/6001|12.123.80.214/VPWS:22436
143.0.68.242/5/0/0/6040|143.0.68.242/L2CKT:32879
149.0.3.203/1/0/1/6003|149.0.3.203/VPLS:28743
8.8.0.154/3/1/0/6|8.8.0.154/L2CKT:62714
148.0.131.204/5/0/0/6066|148.0.131.204/VPLS:29388
143.0.68.46/0/0/0/6005|143.0.68.46/VPLS:25809
150.0.0.215/0/0/0/6017|150.0.0.215/VPWS:28422
149.0.3.135/0/2/0/6013|149.0.3.135/VPLS:25828
12.123.80.212/2/0/8/6006|12.123.80.212/VPLS:27874
8.8.0.239/3/0/0/3|8.8.0.239/VPWS:63640
12.123.80.212/2/1/3/6003|12.123.80.212/VPWS:22460
143.0.68.244/7/0/0/6014|143.0.68.244/VPWS:29567
10.144.0.137/1/3/5/6064|10.144.0.137/VPLS:26766
150.0.0.168/5/1/6/6014|150.0.0.168/VPWS:25845
12.122.72.112/1/3/4/2|12.122.72.112/VPLS:18848
143.0.68.170/2/0/4/6001|143.0.68.170/VPLS:29673
143.0.68.230/5/1/0/6019|143.0.68.230/VPLS:29085
148.0.131.217/0/0/1/6000|148.0.131.217/VPLS:23581
143.0.68.244/1/0/0/6000|143.0.68.244/VPWS:28843
143.0.68.230/5/1/0/6037|143.0.68.230/VPLS:29218
149.9.0.29/0/0/4/6004|149.9.0.29/VPLS:25875
10.144.0.137/1/3/5/6035|10.144.0.137/VPLS:24019
10.0.36.72/5/0/0/2|10.0.36.72/VPLS:22824
143.0.68.170/4/0/0/6005|143.0.68.170/VPLS:29570
143.0.68.242/3/2/5/6002|143.0.68.242/VPLS:32163
10.24.76.145/0/0/7/1|10.24.76.145/VPWS:27648
78.23.44.28/1/2/5/3|78.23.44.28/VPLS:18446
12.80.84.26/5/0/0/4|12.80.84.26/VPLS:52638
149.0.3.196/0/0/9/6004|149.0.3.196/VPLS:27525
8.8.0.118/1/1/2/27|8.8.0.118/VPWS:63366
12.123.80.27/2/0/3/6006|12.123.80.27/VPLS:20819
150.0.0.168/5/1/6/6001|150.0.0.168/VPWS:25642
143.0.24.148/4/0/9/6004|143.0.24.148/VPLS:31784
10.144.0.147/1/2/7/6002|10.144.0.147/VPLS:30188
143.0.68.230/5/1/0/6038|143.0.68.230/VPWS:29219
10.0.40.36/1/0/1/5|10.0.40.36/VPWS:30208
10.0.40.35/8/0/2/1|10.0.40.35/VPWS:28616
12.123.80.29/2/0/4/6006|12.123.80.29/VPLS:20788
150.0.0.232/0/0/1/6025|150.0.0.232/VPLS:26461
12.122.72.112/1/3/3/2|12.122.72.112/VPLS:18848
143.0.68.240/2/0/4/6002|143.0.68.240/VPWS:30068
10.0.40.35/8/1/0/12|10.0.40.35/VPWS:30420
149.9.0.27/0/0/0/6006|149.9.0.27/VPLS:25585
149.0.3.196/0/0/9/6015|149.0.3.196/VPLS:27565
143.0.68.46/0/0/2/6002|143.0.68.46/VPWS:25761
148.0.131.204/5/0/0/6002|148.0.131.204/VPLS:25461
150.0.0.10/2/0/3/6014|150.0.0.10/VPLS:29683
143.0.68.200/4/0/5/6000|143.0.68.200/VPLS:29398
150.0.0.153/1/0/1/6004|150.0.0.153/VPWS:25342
143.0.24.148/4/0/9/6019|143.0.24.148/VPWS:32005
143.1.140.2/5/2/4/1|143.1.140.2/VPWS:29705
150.0.0.153/1/0/1/6007|150.0.0.153/VPWS:25344
8.8.0.154/0/1/4/4|8.8.0.154/VPLS:63408
148.0.131.239/5/0/0/6187|148.0.131.239/VPLS:29674
149.0.3.203/1/0/0/6017|149.0.3.203/VPLS:28421
149.0.3.216/4/0/0/6000|149.0.3.216/VPLS:27423
148.0.131.182/4/1/6/6024|148.0.131.182/VPLS:23736
143.0.68.208/0/1/3/6001|143.0.68.208/VPLS:28914
12.122.72.112/1/2/1/1|12.122.72.112/VPLS:19159
148.0.131.204/5/0/0/6028|148.0.131.204/VPLS:25704
143.0.68.230/5/1/0/6009|143.0.68.230/VPWS:28964
12.123.80.27/2/0/3/6021|12.123.80.27/VPWS:22785
150.0.0.215/0/0/0/6013|150.0.0.215/VPWS:28346
12.123.80.214/4/1/9/6007|12.123.80.214/VPLS:22473
143.0.68.184/0/0/5/6030|143.0.68.184/VPWS:29430
150.0.0.168/5/1/6/6028|150.0.0.168/VPWS:26086
143.0.68.242/5/0/0/6030|143.0.68.242/VPLS:32708
143.0.68.242/3/0/3/6008|143.0.68.242/VPWS:31761
10.0.36.75/3/0/5/0|10.0.36.75/VPWS:28416
149.0.3.222/2/0/1/6003|149.0.3.222/L2CKT:27933
12.123.80.17/2/0/8/6006|12.123.80.17/VPLS:21333
149.0.3.135/0/2/0/6019|149.0.3.135/L2CKT:26419
10.144.0.137/1/3/3/6012|10.144.0.137/L2CKT:32512
143.0.68.244/7/0/0/6017|143.0.68.244/VPLS:29702
149.4.64.12/0/0/5/1|149.4.64.12/VPLS:31507
143.0.68.184/0/0/0/6004|143.0.68.184/VPLS:28614
10.0.36.73/7/3/0/3|10.0.36.73/VPLS:22973
10.144.0.147/1/2/0/6017|10.144.0.147/VPWS:21641
148.0.131.239/5/0/0/6151|148.0.131.239/VPLS:29949
10.144.0.136/0/3/2/6010|10.144.0.136/VPLS:22767
149.4.64.12/8/2/0/1|149.4.64.12/VPLS:31428
143.0.68.230/5/1/0/6028|143.0.68.230/VPLS:29143
12.123.80.29/2/0/4/6003|12.123.80.29/VPLS:20540
149.0.3.196/0/0/9/6016|149.0.3.196/L2CKT:27566
12.122.72.115/2/0/0/7|12.122.72.115/VPLS:20932
10.144.0.137/2/0/0/6000|10.144.0.137/VPWS:29609
150.0.0.167/1/0/4/6003|150.0.0.167/VPLS:25851
143.0.68.184/0/1/6/6039|143.0.68.184/VPWS:31004
12.122.72.112/2/1/2/2|12.122.72.112/VPLS:18661
10.144.0.137/1/0/2/6026|10.144.0.137/VPWS:26846
150.0.0.215/0/0/0/6002|150.0.0.215/VPWS:25344
149.4.64.5/0/3/3/4|149.4.64.5/VPLS:30589
143.0.68.168/1/0/7/6002|143.0.68.168/VPLS:28939
72.44.12.28/0/2/1/51|72.44.12.28/VPLS:17351
8.8.0.154/3/1/0/4|8.8.0.154/L2CKT:62505
143.0.68.172/0/0/8/6002|143.0.68.172/VPWS:28730
143.0.68.214/5/3/7/6003|143.0.68.214/VPLS:32010
149.0.3.128/5/0/0/6004|149.0.3.128/VPLS:25462
10.144.0.136/0/3/2/6006|10.144.0.136/VPLS:21509
12.82.0.62/2/1/2/9|12.82.0.62/VPLS:52610
148.0.131.182/4/1/6/6009|148.0.131.182/VPLS:23624
150.0.0.234/0/0/0/6020|150.0.0.234/VPWS:26595
149.0.3.244/2/0/0/6004|149.0.3.244/VPLS:27194
10.0.36.75/0/0/3/7|10.0.36.75/VPWS:25300
10.0.40.36/1/0/1/6|10.0.40.36/VPWS:30241
10.144.0.147/1/0/0/6014|10.144.0.147/VPWS:30070
12.123.80.214/0/0/8/6000|12.123.80.214/VPWS:27901
148.0.131.204/5/0/0/6102|148.0.131.204/VPLS:29571
149.0.3.196/0/0/9/6005|149.0.3.196/L2CKT:27535
148.0.131.182/4/1/6/6019|148.0.131.182/VPWS:23719
150.0.0.168/5/1/6/6032|150.0.0.168/VPWS:26229
143.0.68.55/0/0/0/6001|143.0.68.55/VPLS:25863
143.0.68.184/0/1/6/6006|143.0.68.184/VPLS:30135
8.8.0.118/1/1/2/17|8.8.0.118/L2CKT:62666
10.144.0.147/5/0/2/6002|10.144.0.147/VPWS:32400
10.144.0.124/3/2/5/6001|10.144.0.124/VPWS:21888
143.0.68.203/0/0/0/6002|143.0.68.203/VPLS:25550
78.23.44.28/1/2/0/3|78.23.44.28/VPLS:18446
8.8.0.154/5/0/1/4|8.8.0.154/VPWS:63252
12.123.80.214/2/1/2/6003|12.123.80.214/VPLS:22340
149.4.64.12/3/0/0/6|149.4.64.12/VPLS:29265
12.80.72.28/0/0/2/3|12.80.72.28/VPLS:52251
149.0.3.135/0/1/0/6011|149.0.3.135/L2CKT:26419
149.0.3.196/0/1/1/6000|149.0.3.196/L2CKT:30144
143.0.68.184/0/1/4/6000|143.0.68.184/VPLS:30047
149.0.3.196/0/0/8/6006|149.0.3.196/VPWS:27557
10.144.0.137/1/0/2/6028|10.144.0.137/L2CKT:27429
12.122.72.112/1/3/3/3|12.122.72.112/VPLS:18848
148.0.131.182/4/1/6/6023|148.0.131.182/VPWS:23735
143.0.68.43/0/0/0/6006|143.0.68.43/VPWS:25867
149.0.3.244/2/2/0/6003|149.0.3.244/VPWS:27560
78.23.44.28/1/1/3/2|78.23.44.28/VPLS:18446
150.0.0.168/5/1/3/6000|150.0.0.168/L2CKT:25572
148.0.131.204/5/0/0/6020|148.0.131.204/VPLS:25581
12.122.72.115/0/0/1/2|12.122.72.115/VPLS:19032
12.122.72.115/4/2/2/2|12.122.72.115/VPLS:20958
78.23.44.28/1/1/2/3|78.23.44.28/VPLS:18446
149.0.3.244/2/0/0/6002|149.0.3.244/VPLS:27552
12.122.72.128/1/0/9/79|12.122.72.128/VPLS:17351
148.0.131.204/5/0/0/6186|148.0.131.204/VPLS:29674
12.80.0.207/2/0/0/25|12.80.0.207/VPLS:52212
8.8.0.154/0/0/0/1|8.8.0.154/VPLS:61989
150.0.0.232/0/0/1/6021|150.0.0.232/VPWS:25768
8.8.0.172/5/0/0/3|8.8.0.172/123:987
143.0.68.244/1/0/0/6024|143.0.68.244/VPWS:29313
143.0.68.230/5/1/0/6058|143.0.68.230/VPLS:29684
10.144.0.136/0/3/2/6005|10.144.0.136/VPWS:28986
148.0.131.204/5/0/0/6144|148.0.131.204/VPLS:29931
143.0.68.175/0/0/3/6000|143.0.68.175/VPLS:31589
150.0.0.167/1/0/4/6002|150.0.0.167/VPLS:25846
78.23.44.28/0/3/0/41|78.23.44.28/VPLS:17354
12.80.0.207/2/0/0/30|12.80.0.207/VPLS:52293
149.0.3.222/2/0/1/6002|149.0.3.222/VPLS:27932
148.0.131.204/5/0/0/6110|148.0.131.204/VPWS:29587
143.0.68.244/7/0/0/6007|143.0.68.244/VPWS:29326
150.0.0.234/0/0/0/6009|150.0.0.234/VPLS:25828
143.0.68.184/0/0/5/6018|143.0.68.184/VPWS:29144
143.0.68.244/1/0/0/6031|143.0.68.244/VPWS:30358
149.4.64.12/5/0/0/1|149.4.64.12/VPLS:31426
10.144.0.137/1/2/9/6000|10.144.0.137/VPLS:29024
10.144.0.62/4/0/0/0|10.144.0.62/VPLS:21509
143.0.68.230/5/1/0/6005|143.0.68.230/VPLS:28848
148.0.131.204/5/0/0/6088|148.0.131.204/VPLS:29538
143.0.68.184/0/1/6/6000|143.0.68.184/VPLS:30079
12.123.80.212/2/1/3/6000|12.123.80.212/VPLS:22435
149.0.3.196/0/0/8/6008|149.0.3.196/VPWS:27560
143.0.68.247/4/2/4/6010|143.0.68.247/VPLS:29129
143.0.68.168/1/0/7/6006|143.0.68.168/VPLS:29008
148.0.131.182/4/1/6/6002|148.0.131.182/VPWS:23456
143.0.68.184/0/0/5/6006|143.0.68.184/VPWS:28799
143.0.68.184/0/1/6/6012|143.0.68.184/VPLS:30193
10.144.0.136/5/1/0/6001|10.144.0.136/VPLS:30355
143.0.68.168/1/0/7/6001|143.0.68.168/VPWS:28919
10.144.0.137/5/0/2/6010|10.144.0.137/L2CKT:28065
143.0.68.55/0/0/0/6007|143.0.68.55/VPLS:25874
149.0.3.202/0/0/0/6000|149.0.3.202/VPLS:27997
143.0.68.168/2/0/5/6008|143.0.68.168/VPLS:28886
149.0.3.196/0/0/9/6007|149.0.3.196/VPWS:27540
149.0.3.202/0/0/0/6004|149.0.3.202/VPLS:28009
10.144.0.154/2/0/5/6008|10.144.0.154/L2CKT:32351
12.123.80.214/2/0/9/6003|12.123.80.214/VPLS:27875
149.0.3.196/0/1/8/6000|149.0.3.196/VPWS:29248
148.0.131.204/5/0/0/6164|148.0.131.204/VPWS:30048
12.123.80.46/1/0/5/6002|12.123.80.46/VPLS:22022
10.144.0.137/1/3/3/6015|10.144.0.137/L2CKT:32687
149.0.3.222/5/0/2/6003|149.0.3.222/VPWS:27716
12.123.68.6/2/0/0/2|12.123.68.6/VPLS:31293
150.0.0.232/0/0/1/6023|150.0.0.232/VPWS:25766
10.0.36.78/7/1/0/1|10.0.36.78/VPWS:28711
143.0.68.170/1/0/7/6000|143.0.68.170/L2CKT:28832
10.0.36.73/7/2/0/2|10.0.36.73/VPLS:22972
12.123.80.212/2/0/5/6008|12.123.80.212/VPWS:27941
150.0.0.10/2/0/3/6009|150.0.0.10/VPWS:29162
143.0.68.230/5/1/0/6048|143.0.68.230/VPLS:29304
12.123.80.214/2/1/2/6005|12.123.80.214/VPLS:22365
10.144.0.154/1/2/4/6021|10.144.0.154/L2CKT:32384
143.0.68.170/2/0/4/6005|143.0.68.170/VPLS:29677
150.0.0.89/1/0/0/6001|150.0.0.89/VPWS:23426
143.0.68.46/0/0/2/6008|143.0.68.46/VPLS:26502
12.80.0.207/2/0/0/27|12.80.0.207/VPLS:52257
143.0.68.230/5/1/0/6017|143.0.68.230/VPWS:29069
149.0.3.207/2/1/0/6000|149.0.3.207/VPLS:27618
10.144.0.62/5/0/1/1|10.144.0.62/VPLS:21509
10.144.0.149/1/0/4/3|10.144.0.149/VPLS:21639
143.0.68.244/1/0/0/6009|143.0.68.244/L2CKT:28893
143.0.68.248/0/0/1/6000|143.0.68.248/VPWS:28875
12.123.80.214/1/0/1/6004|12.123.80.214/VPLS:22284
143.0.68.242/5/0/0/6023|143.0.68.242/VPLS:32613
143.0.68.170/1/0/7/6004|143.0.68.170/VPWS:28875
148.0.131.204/5/0/0/6140|148.0.131.204/VPLS:29849
143.0.68.244/7/0/0/6008|143.0.68.244/VPWS:29359
143.0.68.244/7/0/2/6001|143.0.68.244/L2CKT:28893
12.123.80.214/4/1/9/6003|12.123.80.214/VPWS:22460
12.123.80.214/0/0/8/6002|12.123.80.214/VPLS:27942
10.144.0.137/1/3/5/6042|10.144.0.137/VPWS:24098
143.0.68.248/4/0/0/6008|143.0.68.248/VPWS:31742
12.123.80.17/2/0/8/6009|12.123.80.17/VPLS:21581
10.144.0.61/4/0/0/1|10.144.0.61/VPLS:20637
143.0.68.46/0/0/2/6010|143.0.68.46/VPLS:26504
