@rel(Composed_Of)
@from(PE_LPort)key|@to(EVCNode)key
143.0.68.184/0/1/6/6019|143.0.68.184/VPLS:30384
10.144.0.62/5/2/3/1|10.144.0.62/VPLS:32375
143.0.24.148/4/0/9/6013|143.0.24.148/VPWS:31887
148.0.131.182/4/1/6/6032|148.0.131.182/VPWS:23761
149.4.64.12/3/0/0/10|149.4.64.12/VPLS:29265
150.0.0.168/5/1/6/6021|150.0.0.168/VPWS:26014
143.0.68.248/4/0/0/6011|143.0.68.248/VPLS:31750
8.8.0.172/5/0/0/6|8.8.0.172/L2CKT:62396
143.0.68.242/0/2/0/6007|143.0.68.242/VPWS:29246
150.0.0.168/5/1/6/6015|150.0.0.168/VPWS:25882
12.123.80.214/4/1/2/6002|12.123.80.214/VPLS:22413
8.8.0.190/5/0/0/4|8.8.0.190/VPLS:62964
143.0.68.184/0/1/6/6010|143.0.68.184/VPLS:30183
12.123.80.214/1/0/1/6006|12.123.80.214/VPLS:22326
10.144.0.137/1/0/7/6010|10.144.0.137/VPWS:30785
12.123.80.46/1/0/3/6000|12.123.80.46/VPLS:21924
149.0.3.196/5/1/0/6002|149.0.3.196/VPLS:27981
12.122.72.112/2/0/3/2|12.122.72.112/VPLS:18960
143.0.68.43/0/0/0/6005|143.0.68.43/VPWS:25866
10.144.0.137/1/0/2/6031|10.144.0.137/L2CKT:30178
143.0.68.184/0/1/6/6035|143.0.68.184/VPWS:30904
12.123.80.27/2/0/3/6011|12.123.80.27/VPWS:22690
148.0.131.182/4/1/6/6034|148.0.131.182/VPLS:23763
149.0.3.244/2/0/0/6001|149.0.3.244/VPWS:27551
78.23.44.28/1/2/2/3|78.23.44.28/VPLS:18446
143.0.68.247/0/0/4/6000|143.0.68.247/L2CKT:28933
12.122.72.112/1/2/0/77|12.122.72.112/VPLS:17351
78.23.44.28/0/2/6/77|78.23.44.28/VPLS:17351
143.0.68.242/5/0/0/6000|143.0.68.242/L2CKT:32085
143.0.68.208/0/1/3/6003|143.0.68.208/VPLS:28934
149.9.0.27/0/0/0/6013|149.9.0.27/VPLS:25876
150.0.0.215/0/0/0/6025|150.0.0.215/VPLS:28701
8.8.0.242/0/0/1/1|8.8.0.242/VPLS:63626
143.0.68.242/5/0/0/6025|143.0.68.242/L2CKT:32614
143.0.68.43/0/0/1/6000|143.0.68.43/VPLS:25892
10.0.32.64/0/1/7/1|10.0.32.64/VPLS:18044
149.0.3.244/2/2/0/6002|149.0.3.244/VPWS:27561
10.144.0.147/4/3/8/6000|10.144.0.147/VPWS:29609
12.123.80.214/4/1/9/6000|12.123.80.214/VPLS:22435
149.0.3.202/0/0/0/6002|149.0.3.202/VPWS:27999
148.0.131.182/4/1/6/6000|148.0.131.182/VPWS:23417
149.0.3.196/0/1/1/6001|149.0.3.196/L2CKT:30144
143.0.68.169/1/0/1/6002|143.0.68.169/VPWS:28385
149.4.64.12/3/0/0/5|149.4.64.12/VPLS:29265
8.8.0.154/0/0/1/1|8.8.0.154/VPLS:62037
143.0.68.248/4/0/1/6002|143.0.68.248/VPLS:31582
143.0.68.242/5/0/0/6018|143.0.68.242/L2CKT:32468
8.8.0.190/5/0/0/7|8.8.0.190/L2CKT:63281
10.144.0.136/0/3/2/6011|10.144.0.136/VPWS:32076
149.9.0.27/0/0/4/6008|149.9.0.27/VPLS:25995
150.0.0.215/0/0/0/6018|150.0.0.215/VPWS:28438
10.144.0.147/5/2/1/6015|10.144.0.147/VPLS:28003
143.0.68.168/1/1/1/6000|143.0.68.168/VPLS:32266
143.0.68.184/0/0/5/6015|143.0.68.184/VPWS:29084
143.0.68.110/2/0/5/6002|143.0.68.110/VPLS:30373
12.122.72.115/1/0/1/3|12.122.72.115/VPLS:19157
149.0.3.202/0/0/0/6012|149.0.3.202/VPWS:28346
10.0.40.36/1/0/1/2|10.0.40.36/VPWS:30336
149.0.3.196/0/0/9/6012|149.0.3.196/VPWS:27550
148.0.131.204/5/0/0/6052|148.0.131.204/VPLS:29325
12.82.0.62/2/1/2/4|12.82.0.62/VPLS:51843
150.0.0.232/0/0/1/6019|150.0.0.232/VPLS:26460
143.0.68.244/7/0/0/6003|143.0.68.244/VPLS:29129
143.0.68.242/5/0/0/6031|143.0.68.242/L2CKT:32710
143.0.24.162/5/0/0/6001|143.0.24.162/VPWS:30552
12.123.80.27/2/0/3/6009|12.123.80.27/VPWS:22671
143.0.68.208/0/1/3/6010|143.0.68.208/VPWS:29062
78.23.44.28/1/2/1/2|78.23.44.28/VPLS:18446
143.0.68.168/7/0/1/6003|143.0.68.168/VPLS:28886
149.0.3.135/0/1/0/6016|149.0.3.135/VPWS:26507
12.122.72.112/4/0/1/3|12.122.72.112/VPLS:20958
150.0.0.232/0/0/1/6020|150.0.0.232/VPLS:26462
148.0.131.182/4/1/6/6021|148.0.131.182/VPWS:23721
10.144.0.154/1/2/2/6001|10.144.0.154/VPWS:32145
143.0.24.148/4/0/9/6001|143.0.24.148/VPLS:31778
143.0.68.230/2/2/0/6000|143.0.68.230/VPLS:28886
143.0.68.242/5/0/0/6013|143.0.68.242/L2CKT:32394
12.123.80.152/1/0/0/6002|12.123.80.152/VPLS:21605
8.8.0.154/2/0/4/6001|8.8.0.154/ASDF
148.0.131.204/5/0/0/6026|148.0.131.204/VPLS:25551
12.122.72.112/1/3/6/1|12.122.72.112/VPLS:20512
12.80.72.62/4/0/1/3|12.80.72.62/123
78.23.44.28/1/2/5/2|78.23.44.28/VPLS:18446
12.123.80.212/0/0/7/6001|12.123.80.212/VPLS:22093
149.0.3.196/0/0/9/6013|149.0.3.196/VPWS:27551
149.0.3.223/5/0/3/6006|149.0.3.223/VPLS:28777
149.0.3.222/5/0/2/6004|149.0.3.222/VPWS:27746
8.8.0.242/0/0/1/6005|8.8.0.242/523
143.0.68.184/0/0/5/6014|143.0.68.184/VPWS:29069
78.23.44.28/1/2/7/3|78.23.44.28/VPLS:18446
143.0.68.172/3/0/0/6007|143.0.68.172/VPLS:31984
12.123.80.27/2/0/3/6007|12.123.80.27/VPWS:22613
143.0.68.184/0/1/6/6038|143.0.68.184/VPWS:30953
149.0.3.196/5/0/8/6002|149.0.3.196/VPLS:27880
143.0.68.168/1/0/7/6000|143.0.68.168/VPLS:28844
148.0.131.239/5/0/0/6153|148.0.131.239/VPLS:30002
143.0.68.242/5/0/0/6016|143.0.68.242/L2CKT:32445
10.144.0.137/3/1/0/6000|10.144.0.137/VPLS:27447
12.122.72.115/4/2/1/2|12.122.72.115/VPLS:20884
10.144.0.62/7/0/0/1|10.144.0.62/VPLS:21509
8.8.0.172/5/0/0/28|8.8.0.172/VPWS:62742
10.144.0.147/1/0/0/6018|10.144.0.147/VPLS:30188
10.0.40.36/1/0/1/10|10.0.40.36/VPWS:30418
143.0.68.242/5/0/0/6034|143.0.68.242/L2CKT:32750
148.0.131.182/4/1/6/6018|148.0.131.182/VPLS:23705
10.144.0.147/5/2/1/6016|10.144.0.147/VPLS:28003
10.0.36.75/4/2/5/1|10.0.36.75/VPWS:28524
149.0.3.194/4/2/0/6000|149.0.3.194/VPLS:27567
10.144.0.137/1/0/2/6033|10.144.0.137/VPLS:30188
10.144.0.155/1/0/1/6003|10.144.0.155/VPLS:32075
149.9.0.27/0/0/0/6005|149.9.0.27/VPLS:25582
149.0.3.196/0/0/8/6012|149.0.3.196/L2CKT:27585
143.0.68.242/5/0/0/6032|143.0.68.242/L2CKT:32710
143.0.68.230/5/1/0/6040|143.0.68.230/VPLS:29235
143.0.68.242/5/0/0/6002|143.0.68.242/L2CKT:32152
143.0.68.170/4/0/0/6010|143.0.68.170/VPLS:29744
143.0.68.242/3/0/3/6004|143.0.68.242/VPWS:31742
12.123.80.214/2/1/2/6004|12.123.80.214/VPLS:22356
10.144.0.137/1/3/5/6032|10.144.0.137/VPWS:23416
10.144.0.137/1/2/9/6004|10.144.0.137/VPLS:30074
150.0.0.44/5/0/0/6000|150.0.0.44/VPLS:25874
150.0.0.168/5/1/6/6033|150.0.0.168/VPWS:26249
150.0.0.215/0/0/0/6004|150.0.0.215/VPLS:25461
143.0.68.170/4/0/0/6004|143.0.68.170/VPLS:29566
150.0.0.153/1/0/2/6001|150.0.0.153/VPLS:25890
10.144.0.137/1/1/5/6009|10.144.0.137/VPWS:30827
143.0.68.248/4/0/0/6007|143.0.68.248/VPWS:31728
148.0.131.239/5/0/0/6189|148.0.131.239/VPLS:31589
143.0.68.184/0/1/6/6016|143.0.68.184/VPWS:30289
12.122.72.128/1/0/1/3|12.122.72.128/VPLS:16833
10.144.0.147/1/0/0/6005|10.144.0.147/VPWS:27461
12.122.72.115/2/0/0/3|12.122.72.115/VPLS:20932
8.8.0.154/0/1/4/1|8.8.0.154/VPLS:62787
150.0.0.153/1/0/2/6002|150.0.0.153/VPLS:25891
150.0.0.10/2/0/3/6005|150.0.0.10/VPLS:28848
10.144.0.137/1/3/5/6054|10.144.0.137/VPWS:20845
149.4.64.5/1/2/6/3|149.4.64.5/VPLS:30559
8.8.0.118/1/1/2/5|8.8.0.118/VPLS:61162
12.123.80.214/4/1/9/6004|12.123.80.214/VPLS:22461
149.9.0.27/1/0/0/6000|149.9.0.27/VPLS:25905
10.144.0.124/3/2/5/6000|10.144.0.124/VPLS:21885
149.0.3.196/0/0/9/6018|149.0.3.196/VPLS:27575
143.0.68.46/0/0/0/6006|143.0.68.46/VPWS:25815
143.0.68.248/4/0/0/6010|143.0.68.248/VPWS:31749
78.23.44.28/1/1/2/2|78.23.44.28/VPLS:18446
12.123.80.212/2/0/5/6004|12.123.80.212/VPWS:27901
150.0.0.168/5/1/6/6000|150.0.0.168/VPWS:25615
10.0.38.74/1/0/0/6002|10.0.38.74/VPLS:27249
10.144.0.137/5/2/7/6002|10.144.0.137/VPLS:30517
143.0.68.244/7/0/0/6005|143.0.68.244/L2CKT:29275
10.144.0.62/9/2/4/2|10.144.0.62/VPLS:20637
149.0.3.196/0/0/9/6002|149.0.3.196/L2CKT:27515
143.0.68.242/5/0/0/6001|143.0.68.242/L2CKT:32085
8.8.0.154/3/1/0/5|8.8.0.154/L2CKT:62714
78.23.44.28/1/2/0/2|78.23.44.28/VPLS:18446
12.122.72.112/2/1/6/2|12.122.72.112/VPLS:18848
149.0.3.222/2/1/3/6001|149.0.3.222/L2CKT:28058
149.0.3.244/1/1/0/6000|149.0.3.244/VPWS:27540
149.9.0.6/0/1/0/6009|149.9.0.6/VPLS:25865
143.0.68.247/4/2/4/6020|143.0.68.247/VPWS:29297
143.0.68.244/1/0/0/6013|143.0.68.244/VPLS:29129
10.0.40.35/8/0/2/2|10.0.40.35/VPWS:30162
143.0.68.184/0/0/5/6026|143.0.68.184/VPWS:29290
148.0.131.239/5/0/0/6131|148.0.131.239/VPLS:29677
143.0.68.46/0/0/2/6013|143.0.68.46/VPWS:26507
72.44.12.28/0/2/0/85|72.44.12.28/VPLS:17351
150.0.0.168/5/1/1/6000|150.0.0.168/VPLS:25686
148.0.131.182/4/1/6/6030|148.0.131.182/VPWS:23752
10.144.0.137/1/0/7/6008|10.144.0.137/VPLS:30784
10.144.0.137/1/3/5/6010|10.144.0.137/VPWS:21498
148.0.131.182/4/1/6/6005|148.0.131.182/VPLS:23583
8.8.0.154/5/3/7/1|8.8.0.154/L2CKT:63389
10.144.0.122/3/2/8/6001|10.144.0.122/L2CKT:21871
10.144.0.137/1/0/1/6011|10.144.0.137/L2CKT:29226
143.0.68.184/0/1/6/6040|143.0.68.184/VPWS:31120
10.144.0.154/1/2/4/6013|10.144.0.154/L2CKT:32102
148.0.131.204/5/0/0/6122|148.0.131.204/VPLS:29673
148.0.131.204/5/0/0/6086|148.0.131.204/VPWS:29535
150.0.0.168/5/1/6/6025|150.0.0.168/VPWS:26047
149.4.64.8/1/0/2/2|149.4.64.8/VPLS:29237
8.8.0.242/0/0/1/6007|8.8.0.242/126
8.8.0.154/0/0/1/6001|8.8.0.154/null
149.4.64.12/3/0/0/4|149.4.64.12/VPLS:29265
149.0.3.244/1/1/0/6002|149.0.3.244/VPWS:27541
143.0.68.230/5/1/0/6023|143.0.68.230/VPLS:29118
149.0.3.128/5/0/0/6015|149.0.3.128/VPLS:25651
148.0.131.182/4/1/6/6004|148.0.131.182/VPLS:23475
10.0.38.74/1/0/0/6007|10.0.38.74/VPLS:27281
143.0.68.242/5/0/0/6003|143.0.68.242/L2CKT:32152
10.144.0.137/1/3/5/6040|10.144.0.137/VPWS:24095
72.44.12.28/0/2/2/401|72.44.12.28/VPLS:17584
149.0.3.222/5/0/2/6000|149.0.3.222/VPWS:27681
143.0.68.18/0/0/0/6009|143.0.68.18/VPLS:26463
12.123.80.214/2/1/2/6006|12.123.80.214/VPLS:22393
8.8.0.240/3/0/0/2|8.8.0.240/VPWS:63621
8.8.0.240/3/0/0/5|8.8.0.240/VPWS:63665
10.144.0.137/1/0/2/6009|10.144.0.137/VPWS:21631
10.144.0.137/1/3/3/6005|10.144.0.137/VPWS:30070
143.0.68.184/0/0/2/6005|143.0.68.184/L2CKT:28611
12.122.72.112/4/0/2/3|12.122.72.112/VPLS:21100
10.144.0.136/5/2/0/6014|10.144.0.136/VPLS:31300
143.0.68.168/2/0/5/6006|143.0.68.168/VPLS:28750
143.0.68.242/5/0/0/6010|143.0.68.242/L2CKT:32310
8.8.0.154/3/1/0/2|8.8.0.154/VPLS:62369
143.0.24.148/4/0/9/6010|143.0.24.148/VPLS:31830
143.0.68.242/5/0/0/6024|143.0.68.242/L2CKT:32614
143.0.68.242/0/2/0/6006|143.0.68.242/VPLS:28955
8.8.0.118/1/1/2/14|8.8.0.118/VPLS:62450
150.0.0.234/0/0/0/6018|150.0.0.234/VPWS:25660
143.0.68.168/7/0/1/6004|143.0.68.168/VPWS:28888
8.8.0.172/5/0/0/22|8.8.0.172/L2CKT:63036
10.144.0.137/1/3/2/6001|10.144.0.137/VPWS:32105
149.0.3.196/5/1/0/6001|149.0.3.196/VPLS:27975
12.122.72.115/1/0/0/3|12.122.72.115/VPLS:19151
10.0.40.7/4/0/0/2|10.0.40.7/VPWS:29705
149.4.64.2/0/2/3/1|149.4.64.2/VPLS:31152
10.144.0.137/1/2/9/6011|10.144.0.137/L2CKT:32591
10.144.0.137/1/3/5/6070|10.144.0.137/VPWS:28767
10.144.0.154/1/2/4/6011|10.144.0.154/VPWS:32080
143.0.68.242/3/0/3/6002|143.0.68.242/VPLS:31727
12.122.72.112/2/0/3/1|12.122.72.112/VPLS:18960
148.0.131.239/5/0/0/6023|148.0.131.239/VPLS:25585
149.0.3.222/4/0/7/6001|149.0.3.222/L2CKT:28294
10.144.0.155/1/3/0/6003|10.144.0.155/VPLS:32099
143.0.68.18/0/0/0/6000|143.0.68.18/VPLS:25599
12.122.72.112/4/0/1/2|12.122.72.112/VPLS:20958
143.0.68.244/7/0/0/6000|143.0.68.244/L2CKT:28891
150.0.0.168/5/1/6/6008|150.0.0.168/VPLS:25710
143.0.68.172/4/0/6/6000|143.0.68.172/VPLS:32026
143.0.68.247/4/2/4/6014|143.0.68.247/VPWS:29155
143.0.68.248/4/0/1/6003|143.0.68.248/L2CKT:31583
149.4.64.12/3/0/0/7|149.4.64.12/VPLS:29265
149.0.3.222/2/2/0/6004|149.0.3.222/L2CKT:28206
143.0.68.213/4/0/1/6002|143.0.68.213/VPLS:28914
78.23.44.28/0/0/6/3|78.23.44.28/VPLS:17307
10.0.36.73/9/0/0/1|10.0.36.73/VPLS:23056
149.0.3.196/0/0/8/6005|149.0.3.196/L2CKT:27548
148.0.131.182/4/1/6/6008|148.0.131.182/VPWS:23623
143.0.68.184/0/0/5/6019|143.0.68.184/VPWS:29189
143.0.68.230/5/1/0/6016|143.0.68.230/VPLS:29068
12.123.80.212/2/0/8/6000|12.123.80.212/VPWS:27803
143.0.68.248/4/0/0/6012|143.0.68.248/VPWS:31755
149.0.3.135/0/1/0/6005|149.0.3.135/VPLS:25828
12.80.0.207/2/0/0/28|12.80.0.207/VPLS:52268
143.0.68.212/0/0/5/6004|143.0.68.212/VPLS:28955
12.123.80.27/2/0/3/6008|12.123.80.27/VPWS:22629
12.122.72.115/1/0/6/2|12.122.72.115/VPWS:20801
10.144.0.154/1/2/4/6008|10.144.0.154/VPLS:31716
143.0.68.184/0/1/6/6008|143.0.68.184/VPLS:30142
8.8.0.239/3/0/0/2|8.8.0.239/VPWS:63621
148.0.131.204/5/0/0/6072|148.0.131.204/VPWS:29468
150.0.0.215/0/0/0/6024|150.0.0.215/VPWS:28700
148.0.0.32/2/0/1/2|148.0.0.32/VPLS:29074
150.0.0.168/5/1/6/6035|150.0.0.168/VPWS:26379
12.122.72.112/2/1/0/2|12.122.72.112/VPLS:18046
150.0.0.168/5/1/6/6026|150.0.0.168/VPLS:26048
149.0.3.203/1/0/0/6015|149.0.3.203/VPLS:28347
10.144.0.154/2/0/3/6002|10.144.0.154/L2CKT:32871
143.0.68.184/0/1/6/6031|143.0.68.184/VPWS:30666
143.0.68.169/1/0/1/6000|143.0.68.169/VPWS:28375
12.123.80.27/2/0/3/6019|12.123.80.27/VPWS:22776
148.0.131.182/4/1/6/6026|148.0.131.182/VPLS:23738
149.0.3.222/4/0/6/6000|149.0.3.222/L2CKT:28101
149.0.3.196/0/0/8/6017|149.0.3.196/VPLS:27594
10.144.0.147/1/0/0/6019|10.144.0.147/VPWS:30356
149.9.0.27/0/0/0/6011|149.9.0.27/VPWS:25870
143.0.68.242/5/0/0/6022|143.0.68.242/VPLS:32558
148.0.131.182/4/1/6/6035|148.0.131.182/VPWS:23778
148.0.131.182/4/1/6/6017|148.0.131.182/VPWS:23704
149.0.3.222/4/0/6/6004|149.0.3.222/L2CKT:28206
10.0.36.78/8/0/0/0|10.0.36.78/VPWS:28524
12.122.72.113/1/1/9/1|12.122.72.113/VPLS:18046
143.0.68.184/0/0/5/6028|143.0.68.184/VPWS:29427
143.0.68.248/4/0/0/6001|143.0.68.248/L2CKT:31583
78.23.44.28/1/0/3/1|78.23.44.28/VPLS:18446
10.0.40.36/1/0/1/3|10.0.40.36/VPWS:30156
149.4.64.1/4/0/0/1|149.4.64.1/VPLS:31294
149.0.3.203/1/0/0/6009|149.0.3.203/VPLS:28030
12.80.72.28/0/0/2/7|12.80.72.28/VPLS:52347
143.0.68.43/0/0/0/6002|143.0.68.43/VPWS:25824
148.0.131.239/5/0/0/6021|148.0.131.239/VPLS:25581
149.0.3.222/5/0/2/6002|149.0.3.222/VPWS:27707
148.0.131.204/5/0/0/6022|148.0.131.204/VPLS:25585
143.0.68.168/2/0/4/6000|143.0.68.168/VPWS:28799
143.0.68.172/3/0/0/6011|143.0.68.172/VPWS:32048
149.0.3.202/0/0/0/6014|149.0.3.202/VPLS:28347
10.144.0.137/1/3/5/6062|10.144.0.137/VPWS:27768
10.144.0.137/1/3/5/6007|10.144.0.137/VPLS:21227
12.82.0.62/2/1/2/6|12.82.0.62/VPLS:52058
149.9.0.6/0/1/0/6011|149.9.0.6/VPWS:25878
10.144.0.122/3/2/8/6002|10.144.0.122/VPLS:21885
143.0.68.242/5/0/0/6041|143.0.68.242/L2CKT:32879
143.0.68.46/0/0/2/6012|143.0.68.46/VPLS:26506
149.9.0.27/0/0/0/6012|149.9.0.27/VPLS:25875
149.0.3.196/0/0/9/6021|149.0.3.196/L2CKT:27585
8.8.0.172/5/0/0/25|8.8.0.172/null
143.0.68.169/1/0/1/6005|143.0.68.169/VPWS:28464
10.144.0.154/2/2/1/6001|10.144.0.154/L2CKT:32102
10.144.0.62/7/1/0/1|10.144.0.62/VPLS:22583
149.0.3.222/4/1/0/6000|149.0.3.222/L2CKT:28294
143.0.68.242/3/1/9/6002|143.0.68.242/VPWS:29181
150.0.0.153/1/0/1/6002|150.0.0.153/VPLS:25318
143.0.68.244/1/0/0/6012|143.0.68.244/VPWS:29117
143.0.68.169/1/0/1/6006|143.0.68.169/VPLS:28465
78.23.44.28/1/2/7/2|78.23.44.28/VPLS:18446
143.0.68.230/5/1/0/6007|143.0.68.230/VPLS:28910
10.144.0.154/2/0/5/6009|10.144.0.154/L2CKT:32384
12.123.80.152/1/0/0/6000|12.123.80.152/VPLS:21559
150.0.0.168/5/1/6/6036|150.0.0.168/VPWS:26493
78.23.44.28/0/1/1/81|78.23.44.28/VPLS:17351
143.0.68.184/0/0/5/6027|143.0.68.184/VPWS:29305
150.0.0.168/5/1/6/6030|150.0.0.168/VPWS:26177
143.0.68.247/4/2/4/6032|143.0.68.247/VPWS:25763
78.23.44.28/1/1/0/3|78.23.44.28/VPLS:18446
150.0.0.215/0/0/0/6012|150.0.0.215/VPWS:28031
143.0.68.172/3/0/0/6009|143.0.68.172/VPWS:32005
12.123.80.27/2/0/3/6020|12.123.80.27/VPLS:22784
10.144.0.62/9/2/4/7|10.144.0.62/VPLS:21509
143.0.68.170/1/0/7/6003|143.0.68.170/VPLS:28874
10.0.36.73/9/3/0/1|10.0.36.73/VPLS:23056
10.144.0.137/1/0/2/6027|10.144.0.137/VPLS:26982
149.9.0.6/0/3/0/6002|149.9.0.6/VPLS:26155
149.4.64.5/1/2/6/1|149.4.64.5/VPLS:30555
78.23.44.28/1/2/6/2|78.23.44.28/VPLS:18446
143.0.24.132/1/0/4/6000|143.0.24.132/VPLS:31662
10.144.0.155/1/3/0/6002|10.144.0.155/VPLS:32099
143.0.68.247/4/2/4/6006|143.0.68.247/VPWS:29124
143.0.68.44/0/0/0/6004|143.0.68.44/VPWS:25872
143.0.68.242/4/0/6/6000|143.0.68.242/VPLS:28847
143.0.68.230/5/1/0/6053|143.0.68.230/VPWS:29430
78.23.44.28/1/2/9/2|78.23.44.28/VPLS:18446
150.0.0.153/1/0/1/6005|150.0.0.153/VPLS:25343
12.122.72.112/1/0/0/0|12.122.72.112/VPLS:17349
12.122.72.115/0/0/2/2|12.122.72.115/VPLS:18960
149.0.3.135/0/1/0/6015|149.0.3.135/VPLS:26500
149.0.3.244/3/0/3/6003|149.0.3.244/VPWS:27557
148.0.131.239/5/0/0/6067|148.0.131.239/VPLS:29388
150.0.0.168/5/1/6/6051|150.0.0.168/VPLS:26797
143.0.68.169/2/0/4/6001|143.0.68.169/VPWS:28730
143.0.68.55/0/0/0/6004|143.0.68.55/VPWS:25867
143.0.68.230/5/1/0/6003|143.0.68.230/VPWS:28885
149.0.3.203/1/0/0/6001|149.0.3.203/VPLS:27997
148.0.131.204/5/0/0/6174|148.0.131.204/VPWS:30098
148.0.131.182/4/1/6/6043|148.0.131.182/VPLS:23835
8.8.0.118/1/1/2/12|8.8.0.118/234
12.122.72.112/1/0/3/0|12.122.72.112/VPLS:17568
12.122.72.112/2/0/5/2|12.122.72.112/VPLS:18046
149.0.3.222/2/1/3/6002|149.0.3.222/VPLS:28052
149.9.0.27/1/0/0/6001|149.9.0.27/VPLS:25920
10.144.0.147/1/2/7/6001|10.144.0.147/L2CKT:26983
12.123.80.46/1/0/5/6001|12.123.80.46/VPLS:21984
149.4.64.12/8/3/0/1|149.4.64.12/VPLS:31502
143.0.68.242/5/0/0/6006|143.0.68.242/VPLS:32240
143.0.68.172/3/0/0/6004|143.0.68.172/VPWS:31887
143.0.68.170/1/0/7/6002|143.0.68.170/L2CKT:28841
8.8.0.154/3/1/0/17|8.8.0.154/L2CKT:63389
10.144.0.136/5/2/0/6012|10.144.0.136/VPWS:30405
12.123.80.214/4/1/2/6000|12.123.80.214/VPLS:22400
149.4.64.6/3/0/4/2|149.4.64.6/VPLS:31070
148.0.131.204/5/0/0/6060|148.0.131.204/VPWS:29359
143.0.68.212/0/0/5/6007|143.0.68.212/VPWS:29002
12.123.80.197/0/0/1/6000|12.123.80.197/L2CKT:22013
143.0.68.242/3/1/9/6001|143.0.68.242/L2CKT:31918
8.8.0.154/0/0/1/6000|8.8.0.154/abc
143.0.24.168/0/0/4/6000|143.0.24.168/VPLS:32143
12.123.80.214/2/0/1/6000|12.123.80.214/VPLS:22241
149.4.64.12/3/0/0/8|149.4.64.12/VPLS:29265
143.0.68.242/3/0/3/6005|143.0.68.242/VPWS:31749
149.0.3.196/0/0/9/6003|149.0.3.196/L2CKT:27524
8.8.0.118/1/1/2/18|8.8.0.118/L2CKT:62666
78.23.44.28/0/0/6/2|78.23.44.28/VPLS:17307
149.4.64.5/9/2/0/3|149.4.64.5/VPLS:28925
143.0.68.244/7/0/0/6006|143.0.68.244/L2CKT:29276
149.4.64.2/0/2/7/1|149.4.64.2/VPWS:28601
12.123.80.27/0/0/3/6004|12.123.80.27/VPLS:28750
143.0.68.184/0/0/0/6002|143.0.68.184/L2CKT:28611
149.0.3.202/0/0/0/6010|149.0.3.202/VPWS:28031
143.1.140.2/5/2/6/1|143.1.140.2/VPWS:29575
143.0.68.242/5/0/0/6021|143.0.68.242/L2CKT:32557
78.23.44.28/1/0/1/3|78.23.44.28/VPLS:17349
149.0.3.196/0/0/9/6014|149.0.3.196/VPWS:27561
12.123.80.27/2/0/3/6010|12.123.80.27/VPLS:22672
8.8.0.240/3/0/0/3|8.8.0.240/VPWS:63640
150.0.0.168/5/1/6/6040|150.0.0.168/VPWS:26660
149.0.3.202/0/0/0/6016|149.0.3.202/VPLS:28421
143.0.68.46/0/0/2/6009|143.0.68.46/VPLS:26503
10.0.36.72/3/0/0/1|10.0.36.72/VPLS:22619
149.4.64.2/3/0/0/2|149.4.64.2/VPLS:31406
143.0.68.184/0/0/5/6021|143.0.68.184/VPWS:29219
12.122.72.128/1/2/4/0|12.122.72.128/VPLS:17354
12.123.80.197/0/0/1/6003|12.123.80.197/L2CKT:22017
12.123.80.212/0/0/7/6003|12.123.80.212/VPLS:22105
12.123.80.188/0/0/7/6001|12.123.80.188/VPLS:21951
12.123.80.27/2/0/3/6018|12.123.80.27/VPLS:22775
149.4.64.5/0/0/8/3|149.4.64.5/VPLS:29199
10.144.0.65/3/1/0/6001|10.144.0.65/VPLS:32228
12.123.80.214/1/0/1/6000|12.123.80.214/VPLS:22161
12.123.80.212/2/1/7/6000|12.123.80.212/VPLS:28750
143.0.68.18/0/0/0/6011|143.0.68.18/VPLS:26499
12.123.80.46/1/0/5/6004|12.123.80.46/VPLS:22121
10.144.0.137/5/0/2/6008|10.144.0.137/L2CKT:27004
150.0.0.23/5/0/1/6008|150.0.0.23/VPWS:28871
10.144.0.147/5/0/2/6001|10.144.0.147/VPWS:32105
143.0.68.244/1/0/0/6001|143.0.68.244/VPLS:28844
149.0.3.206/4/0/0/6001|149.0.3.206/VPLS:27423
148.0.131.204/5/0/0/6170|148.0.131.204/VPLS:30095
143.0.68.203/0/0/0/6001|143.0.68.203/VPLS:28705
148.0.131.204/5/0/0/6172|148.0.131.204/VPLS:30095
149.0.3.202/0/0/0/6020|149.0.3.202/VPWS:28438
143.0.68.169/1/0/1/6007|143.0.68.169/VPWS:28473
12.123.80.27/2/0/3/6014|12.123.80.27/VPLS:22731
149.9.0.6/0/3/0/6000|149.9.0.6/VPLS:26062
12.80.72.24/2/0/0/1|12.80.72.24/VPLS:52272
149.4.64.5/9/2/0/2|149.4.64.5/VPLS:28925
148.0.131.204/5/0/0/6120|148.0.131.204/VPWS:29615
8.8.0.154/0/0/6/1|8.8.0.154/VPLS:62367
150.0.0.215/0/0/0/6022|150.0.0.215/VPWS:28489
150.0.0.167/2/0/2/6000|150.0.0.167/VPLS:25965
143.0.24.148/4/0/9/6018|143.0.24.148/VPWS:32000
149.0.3.196/0/0/8/6000|149.0.3.196/L2CKT:27496
143.0.68.244/7/0/0/6015|143.0.68.244/VPWS:29585
10.24.76.145/0/0/3/2|10.24.76.145/VPLS:19538
149.4.64.5/1/2/6/2|149.4.64.5/VPLS:30649
143.0.68.170/1/0/5/6004|143.0.68.170/L2CKT:28841
10.0.38.121/2/0/2/6000|10.0.38.121/VPWS:30372
