@ref(networkElement)|@const(IpagTunnel)class
@index(Tunnel)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|tunnel_type|device_name|device_model|device_type|ptnii|tunnel_alias|tunnel_head_ptnii|tunnel_name|tunnel_tail_dns|tunnel_tail_ptnii
10.144.0.214/chgil304mp2_chgil302mp2_P_2_15_2_DEFAULT|10.144.0.214/chgil304mp2_chgil302mp2_P_2_15_2_DEFAULT|10.144.0.214/chgil304mp2_chgil302mp2_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil302mp2_P_2_15_2_DEFAULT|chgil302mp2|orpfl302mp2
10.144.0.116/tunnel_te64003|10.144.0.116/tunnel_te64003|10.144.0.116/tunnel_te64003|||OEW-VPLS|||B|CHGIL304VR1|JUNIPER MX960|VR1||||tunnel_te64003|te64003|ormfl303vr1
10.144.0.65/chgil304ia2_chgil303vr1_P_2_5_1_PRIORITY|10.144.0.65/chgil304ia2_chgil303vr1_P_2_5_1_PRIORITY|10.144.0.65/chgil304ia2_chgil303vr1_P_2_5_1_PRIORITY|||IPAG|||P|ORLDFLMA61W|MX960|JUNIPER MX SERIES|ORMFL301IA2||ormfl301ia2|chgil304ia2_chgil303vr1_P_2_5_1_PRIORITY|chgil303vr1|chgil303vr1
135.16.241.28/tunnel_te50002|135.16.241.28/tunnel_te50002|135.16.241.28/tunnel_te50002|||OEW-VPLS|||P|ORLDFLMADC8|JUNIPER MX960|VR1|ORMFL303VR1||ormfl303vr1|tunnel_te50002|te50002|chgil303vr1
10.144.0.112/PE14_PE10_B_2_1_1_BYPASS|10.144.0.112/PE14_PE10_B_2_1_1_BYPASS|10.144.0.112/PE14_PE10_B_2_1_1_BYPASS|||IPAG|||B|SNTCCA010DW|MX960|JUNIPER MX SERIES|SNDCA301IA2||sndca301ia2|PE14_PE10_B_2_1_1_BYPASS|PE10|snaca302ia1
10.144.0.214/chgil304mp2_chgil313ia2_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil313ia2_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil313ia2_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil313ia2_P_2_5_1_PRIORITY|chgil313ia2|snaca306ia2
10.144.0.211/chgil301mp1_chgil303vr1_P_2_5_1_PRIORITY|10.144.0.211/chgil301mp1_chgil303vr1_P_2_5_1_PRIORITY|10.144.0.211/chgil301mp1_chgil303vr1_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil303vr1_P_2_5_1_PRIORITY|chgil303vr1|chgil303vr1
10.144.0.212/chgil302mp2_chgil311ia2_B_2_1_1_BYPASS|10.144.0.212/chgil302mp2_chgil311ia2_B_2_1_1_BYPASS|10.144.0.212/chgil302mp2_chgil311ia2_B_2_1_1_BYPASS|||MPCIO|||B|ORLDFLPHWAA|MX2010|JUNIPER MX SERIES|ORPFL302MP2||orpfl302mp2|chgil302mp2_chgil311ia2_B_2_1_1_BYPASS|chgil311ia2|orafl301ia2
10.144.0.112/PE14_PE15_B_2_1_1_BYPASS|10.144.0.112/PE14_PE15_B_2_1_1_BYPASS|10.144.0.112/PE14_PE15_B_2_1_1_BYPASS|||IPAG|||B|SNTCCA010DW|MX960|JUNIPER MX SERIES|SNDCA301IA2||sndca301ia2|PE14_PE15_B_2_1_1_BYPASS|PE15|snbca301ia2
10.144.0.211/chgil301mp1_chgil304vr1_P_2_5_1_PRIORITY|10.144.0.211/chgil301mp1_chgil304vr1_P_2_5_1_PRIORITY|10.144.0.211/chgil301mp1_chgil304vr1_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil304vr1_P_2_5_1_PRIORITY|chgil304vr1|chgil304vr1
