@rel(Composed_Of)
@from(PE_Device)key|@to(PE_Slot)key
143.0.68.120|143.0.68.120/2
10.0.40.40|10.0.40.40/1
12.82.0.66|12.82.0.66/1
10.144.0.154|10.144.0.154/1
143.0.68.5|143.0.68.5/1
10.0.32.65|10.0.32.65/6
149.8.0.163|149.8.0.163/3
10.0.36.7|10.0.36.7/1
143.0.68.227|143.0.68.227/8
10.0.36.6|10.0.36.6/3
12.123.80.91|12.123.80.91/1
10.144.0.115|10.144.0.115/0
149.0.3.64|149.0.3.64/2
12.80.72.37|12.80.72.37/3
10.0.36.74|10.0.36.74/8
149.0.3.194|149.0.3.194/2
150.0.0.55|150.0.0.55/0
143.0.24.102|143.0.24.102/0
12.123.80.177|12.123.80.177/0
10.0.36.72|10.0.36.72/8
12.80.0.209|12.80.0.209/3
8.8.0.154|8.8.0.154/2
143.0.68.240|143.0.68.240/5
12.123.80.76|12.123.80.76/0
10.144.0.154|10.144.0.154/3
150.0.0.6|150.0.0.6/0
10.0.40.4|10.0.40.4/2
10.0.38.95|10.0.38.95/1
10.144.0.62|10.144.0.62/4
12.80.72.108|12.80.72.108/2
10.0.38.84|10.0.38.84/1
149.0.3.207|149.0.3.207/2
143.0.24.168|143.0.24.168/1
149.8.0.160|149.8.0.160/4
150.0.0.212|150.0.0.212/0
143.0.24.31|143.0.24.31/6
149.0.3.64|149.0.3.64/0
148.0.131.223|148.0.131.223/2
12.80.72.130|12.80.72.130/5
149.0.3.198|149.0.3.198/2
12.80.84.11|12.80.84.11/2
12.80.68.135|12.80.68.135/5
143.0.68.240|143.0.68.240/4
143.0.24.6|143.0.24.6/3
149.8.0.160|149.8.0.160/8
10.0.8.122|10.0.8.122/0
150.0.0.214|150.0.0.214/1
12.82.0.57|12.82.0.57/0
10.0.36.7|10.0.36.7/6
8.8.0.205|8.8.0.205/1
10.0.36.72|10.0.36.72/6
10.0.36.77|10.0.36.77/11
143.0.24.132|143.0.24.132/3
10.0.40.32|10.0.40.32/8
143.0.68.215|143.0.68.215/1
10.0.36.75|10.0.36.75/9
149.8.0.128|149.8.0.128/9
149.0.3.208|149.0.3.208/2
10.0.36.73|10.0.36.73/10
10.0.36.17|10.0.36.17/1
149.8.0.160|149.8.0.160/0
10.0.40.6|10.0.40.6/0
143.0.68.57|143.0.68.57/0
12.122.72.115|12.122.72.115/2
150.0.0.23|150.0.0.23/4
143.0.24.130|143.0.24.130/7
143.0.24.98|143.0.24.98/5
12.123.80.92|12.123.80.92/1
10.0.40.41|10.0.40.41/0
143.0.24.144|143.0.24.144/1
150.0.0.79|150.0.0.79/0
143.0.24.101|143.0.24.101/5
143.0.68.247|143.0.68.247/4
149.4.64.5|149.4.64.5/2
143.0.68.247|143.0.68.247/1
10.0.34.15|10.0.34.15/1
143.0.68.22|143.0.68.22/4
150.0.0.21|150.0.0.21/3
149.9.0.43|149.9.0.43/1
10.0.36.21|10.0.36.21/3
143.0.68.203|143.0.68.203/0
8.8.0.224|8.8.0.224/0
8.8.0.216|8.8.0.216/0
149.8.0.9|149.8.0.9/1
143.0.68.48|143.0.68.48/4
10.0.36.72|10.0.36.72/4
10.0.36.6|10.0.36.6/6
12.80.72.81|12.80.72.81/4
12.82.0.62|12.82.0.62/2
143.0.68.75|143.0.68.75/0
149.0.3.206|149.0.3.206/4
143.0.68.172|143.0.68.172/0
10.0.36.20|10.0.36.20/0
143.0.68.79|143.0.68.79/0
10.0.36.74|10.0.36.74/6
10.0.36.17|10.0.36.17/2
12.80.72.16|12.80.72.16/0
12.123.80.15|12.123.80.15/0
10.144.0.61|10.144.0.61/7
10.0.8.122|10.0.8.122/5
10.144.0.61|10.144.0.61/0
10.0.40.35|10.0.40.35/10
12.80.0.210|12.80.0.210/2
143.0.24.195|143.0.24.195/2
143.0.68.55|143.0.68.55/1
12.80.72.61|12.80.72.61/5
143.0.68.225|143.0.68.225/5
143.0.68.22|143.0.68.22/1
150.0.0.125|150.0.0.125/0
150.0.0.46|150.0.0.46/2
10.0.40.35|10.0.40.35/6
12.123.80.214|12.123.80.214/1
148.0.131.253|148.0.131.253/4
143.0.68.244|143.0.68.244/3
143.0.24.145|143.0.24.145/10
10.0.36.14|10.0.36.14/1
143.0.68.205|143.0.68.205/5
10.0.38.34|10.0.38.34/4
143.0.24.238|143.0.24.238/0
148.0.131.153|148.0.131.153/3
10.0.40.32|10.0.40.32/5
150.0.0.232|150.0.0.232/0
10.0.38.35|10.0.38.35/4
150.0.0.161|150.0.0.161/1
143.0.68.253|143.0.68.253/3
143.1.140.2|143.1.140.2/7
149.0.3.223|149.0.3.223/4
12.123.80.74|12.123.80.74/0
149.0.3.231|149.0.3.231/3
148.0.131.239|148.0.131.239/5
12.80.72.107|12.80.72.107/1
10.0.38.33|10.0.38.33/0
8.8.0.205|8.8.0.205/2
8.8.0.144|8.8.0.144/5.0
