@rel(Composed_Of)
@from(PE_Device)key|@to(PE_Slot)key
12.123.68.6|12.123.68.6/2
12.80.72.115|12.80.72.115/5
143.0.68.242|143.0.68.242/5
143.0.68.168|143.0.68.168/4
149.8.0.160|149.8.0.160/2
150.0.0.58|150.0.0.58/1
149.9.0.29|149.9.0.29/5
10.0.36.21|10.0.36.21/9
10.0.40.41|10.0.40.41/1
143.0.24.129|143.0.24.129/2
143.0.68.230|143.0.68.230/3
10.0.36.7|10.0.36.7/9
149.8.0.18|149.8.0.18/4
12.80.72.26|12.80.72.26/0
10.0.38.50|10.0.38.50/0
8.8.0.176|8.8.0.176/3
149.8.0.128|149.8.0.128/7
10.0.36.72|10.0.36.72/5
12.123.80.133|12.123.80.133/2
12.80.72.91|12.80.72.91/0
12.122.72.129|12.122.72.129/0
12.80.72.35|12.80.72.35/0
148.0.131.176|148.0.131.176/0
12.123.80.45|12.123.80.45/2
8.8.0.177|8.8.0.177/1
12.80.72.65|12.80.72.65/0
12.122.72.165|12.122.72.165/0
143.0.24.132|143.0.24.132/2
148.0.131.177|148.0.131.177/0
10.0.38.97|10.0.38.97/2
143.0.68.72|143.0.68.72/1
10.144.0.149|10.144.0.149/1
150.0.0.29|150.0.0.29/4
143.0.68.189|143.0.68.189/5
10.0.34.15|10.0.34.15/7
10.0.36.77|10.0.36.77/4
12.80.72.64|12.80.72.64/0
12.80.72.24|12.80.72.24/2
143.0.68.23|143.0.68.23/7
10.0.36.5|10.0.36.5/2
143.0.68.117|143.0.68.117/2
12.123.80.57|12.123.80.57/2
143.0.68.254|143.0.68.254/0
143.0.24.15|143.0.24.15/2
12.80.0.212|12.80.0.212/0
12.123.80.217|12.123.80.217/1
149.8.0.129|149.8.0.129/2
143.0.68.169|143.0.68.169/1
10.0.36.77|10.0.36.77/5
143.0.68.170|143.0.68.170/4
148.0.131.182|148.0.131.182/2
149.9.0.1|149.9.0.1/5
12.122.72.115|12.122.72.115/1
150.0.0.144|150.0.0.144/1
143.0.68.123|143.0.68.123/5
12.123.80.92|12.123.80.92/3
12.122.72.163|12.122.72.163/0
10.144.0.123|10.144.0.123/0
12.122.74.1|12.122.74.1/1
143.0.68.118|143.0.68.118/2
12.123.80.157|12.123.80.157/5
12.80.0.208|12.80.0.208/1
143.0.68.22|143.0.68.22/3
143.2.0.1|143.2.0.1/1
150.0.0.59|150.0.0.59/2
12.80.72.124|12.80.72.124/0
10.0.8.122|10.0.8.122/9
10.0.40.2|10.0.40.2/5
148.0.0.32|148.0.0.32/11
12.123.80.212|12.123.80.212/0
10.144.0.65|10.144.0.65/7
8.8.0.246|8.8.0.246/1
10.0.40.1|10.0.40.1/1
149.9.0.128|149.9.0.128/1
10.0.40.35|10.0.40.35/11
143.0.68.225|143.0.68.225/3
149.0.3.200|149.0.3.200/1
10.0.38.74|10.0.38.74/1
149.9.0.22|149.9.0.22/5
12.123.80.99|12.123.80.99/1
143.0.68.110|143.0.68.110/3
150.0.0.185|150.0.0.185/0
143.0.24.189|143.0.24.189/0
12.123.80.27|12.123.80.27/3
10.0.38.82|10.0.38.82/0
143.0.24.29|143.0.24.29/0
12.80.72.54|12.80.72.54/0
150.0.0.44|150.0.0.44/1
149.0.3.132|149.0.3.132/0
149.8.0.160|149.8.0.160/3
10.0.40.32|10.0.40.32/3
143.0.68.43|143.0.68.43/5
8.8.0.173|8.8.0.173/3
149.8.0.160|149.8.0.160/9
149.4.64.12|149.4.64.12/11
149.0.3.195|149.0.3.195/0
10.0.38.54|10.0.38.54/0
143.0.24.131|143.0.24.131/4
10.144.0.124|10.144.0.124/4
150.0.0.167|150.0.0.167/1
149.4.64.15|149.4.64.15/0
14.0.1.71|14.0.1.71/0
149.4.64.4|149.4.64.4/2
143.0.68.184|143.0.68.184/0
150.0.0.196|150.0.0.196/0
150.0.0.138|150.0.0.138/5
149.2.0.1|149.2.0.1/5
10.0.36.19|10.0.36.19/2
10.0.8.124|10.0.8.124/5
148.0.131.226|148.0.131.226/2
12.80.72.14|12.80.72.14/0
143.0.24.93|143.0.24.93/1
12.123.80.125|12.123.80.125/2
8.8.1.5|8.8.1.5/0
10.0.8.122|10.0.8.122/7
12.123.80.99|12.123.80.99/2
148.0.131.175|148.0.131.175/1
10.204.76.1|10.204.76.1/4
143.0.24.241|143.0.24.241/0
149.0.3.139|149.0.3.139/0
12.82.78.30|12.82.78.30/0
10.0.36.17|10.0.36.17/3
10.0.36.79|10.0.36.79/2
143.0.68.173|143.0.68.173/2
149.0.3.199|149.0.3.199/0
12.122.72.164|12.122.72.164/0
149.0.3.136|149.0.3.136/0
12.80.68.131|12.80.68.131/1
10.0.40.36|10.0.40.36/1
12.122.72.161|12.122.72.161/0
12.80.0.213|12.80.0.213/3
143.0.68.170|143.0.68.170/5
10.0.36.75|10.0.36.75/4
12.123.80.188|12.123.80.188/0
148.0.131.240|148.0.131.240/0
10.0.40.32|10.0.40.32/0
8.8.0.164|8.8.0.164/0
10.0.36.21|10.0.36.21/5
10.0.40.34|10.0.40.34/1
10.144.0.62|10.144.0.62/9
148.0.131.182|148.0.131.182/4
149.8.0.128|149.8.0.128/1
12.123.80.37|12.123.80.37/2
12.80.17.93|12.80.17.93/3
143.0.24.113|143.0.24.113/0
149.8.0.128|149.8.0.128/3
150.0.0.152|150.0.0.152/1
12.82.0.55|12.82.0.55/3
149.8.0.22|149.8.0.22/1
149.2.0.1|149.2.0.1/0
149.0.3.147|149.0.3.147/3
12.82.100.7|12.82.100.7/5
8.8.0.148|8.8.0.148/1
143.0.68.227|143.0.68.227/4
143.0.24.6|143.0.24.6/0
150.0.0.216|150.0.0.216/0
149.0.3.140|149.0.3.140/1
8.8.0.121|8.8.0.121/0
12.80.68.134|12.80.68.134/5
149.8.0.161|149.8.0.161/1
148.0.131.223|148.0.131.223/1
10.0.36.23|10.0.36.23/3
10.0.40.1|10.0.40.1/4
12.80.72.27|12.80.72.27/2
149.8.0.20|149.8.0.20/0
143.0.24.144|143.0.24.144/5
150.0.0.19|150.0.0.19/0
143.0.68.214|143.0.68.214/0
10.0.38.60|10.0.38.60/1
143.0.68.92|143.0.68.92/0
143.0.68.245|143.0.68.245/1
10.0.40.33|10.0.40.33/2
149.4.64.17|149.4.64.17/0
10.0.36.5|10.0.36.5/0
148.0.131.248|148.0.131.248/3
143.0.68.204|143.0.68.204/0
12.123.80.80|12.123.80.80/0
12.123.80.35|12.123.80.35/1
148.0.131.217|148.0.131.217/0
12.122.72.128|12.122.72.128/1
12.80.72.34|12.80.72.34/0
12.80.0.208|12.80.0.208/7
10.0.32.64|10.0.32.64/0
149.9.0.49|149.9.0.49/5
12.123.80.5|12.123.80.5/0
8.8.0.242|8.8.0.242/0
143.0.24.42|143.0.24.42/0
12.80.0.210|12.80.0.210/3
12.80.72.15|12.80.72.15/0
10.0.36.14|10.0.36.14/0
72.44.12.28|72.44.12.28/0
143.0.24.57|143.0.24.57/3
143.0.68.36|143.0.68.36/0
150.0.0.234|150.0.0.234/0
150.0.0.212|150.0.0.212/1
149.0.3.216|149.0.3.216/1
149.8.0.128|149.8.0.128/5
143.0.68.110|143.0.68.110/0
10.0.36.75|10.0.36.75/5
149.4.64.8|149.4.64.8/4
149.0.24.16|149.0.24.16/0
149.0.3.222|149.0.3.222/5
149.0.3.198|149.0.3.198/0
10.0.36.79|10.0.36.79/1
143.0.68.122|143.0.68.122/5
143.0.68.214|143.0.68.214/1
150.0.0.59|150.0.0.59/0
143.0.24.130|143.0.24.130/4
149.0.3.203|149.0.3.203/1
8.8.0.185|8.8.0.185/3
10.0.38.134|10.0.38.134/1
10.0.40.8|10.0.40.8/0
10.0.36.72|10.0.36.72/10
149.0.3.156|149.0.3.156/0
143.0.68.35|143.0.68.35/0
72.44.12.29|72.44.12.29/2
10.0.36.74|10.0.36.74/7
10.144.0.114|10.144.0.114/7
143.0.68.228|143.0.68.228/2
10.0.40.32|10.0.40.32/7
12.123.80.65|12.123.80.65/0
150.0.0.39|150.0.0.39/2
10.0.36.14|10.0.36.14/2
12.123.80.212|12.123.80.212/2
12.123.80.72|12.123.80.72/5
8.8.0.244|8.8.0.244/3
143.0.68.243|143.0.68.243/0
143.0.68.205|143.0.68.205/4
148.0.131.184|148.0.131.184/1
10.0.38.135|10.0.38.135/0
149.0.3.243|149.0.3.243/4
149.4.64.2|149.4.64.2/4
150.0.0.58|150.0.0.58/0
150.0.0.27|150.0.0.27/3
12.123.80.27|12.123.80.27/0
143.0.68.168|143.0.68.168/1
10.0.40.1|10.0.40.1/5
143.0.24.92|143.0.24.92/1
12.123.80.27|12.123.80.27/1
149.4.130.1|149.4.130.1/11
143.0.24.29|143.0.24.29/3
143.0.68.99|143.0.68.99/5
10.0.38.94|10.0.38.94/3
12.123.68.6|12.123.68.6/0
143.0.68.247|143.0.68.247/5
10.0.36.7|10.0.36.7/5
10.0.36.21|10.0.36.21/11
10.144.0.62|10.144.0.62/0
10.0.40.35|10.0.40.35/2
12.123.80.65|12.123.80.65/1
150.0.0.167|150.0.0.167/2
149.0.3.134|149.0.3.134/0
10.0.36.77|10.0.36.77/2
150.0.0.216|150.0.0.216/1
10.144.0.124|10.144.0.124/0
10.144.0.116|10.144.0.116/1
10.0.40.33|10.0.40.33/1
143.0.68.175|143.0.68.175/0
148.0.131.232|148.0.131.232/0
10.144.0.65|10.144.0.65/4
143.0.68.22|143.0.68.22/5
8.8.0.196|8.8.0.196/4
12.80.72.129|12.80.72.129/0
10.0.38.46|10.0.38.46/0
149.8.0.161|149.8.0.161/9
148.0.131.204|148.0.131.204/5
12.80.0.208|12.80.0.208/4
12.80.72.61|12.80.72.61/4
12.123.80.122|12.123.80.122/5
150.0.0.141|150.0.0.141/0
149.0.3.244|149.0.3.244/2
143.0.68.172|143.0.68.172/1
12.82.0.53|12.82.0.53/4
12.80.72.61|12.80.72.61/3
149.0.3.222|149.0.3.222/2
12.80.0.209|12.80.0.209/2
10.144.0.154|10.144.0.154/2
10.0.40.6|10.0.40.6/11
143.0.68.172|143.0.68.172/3
12.80.72.17|12.80.72.17/2
10.0.38.10|10.0.38.10/1
12.123.68.7|12.123.68.7/4
143.0.68.243|143.0.68.243/6
10.0.36.74|10.0.36.74/9
12.80.72.108|12.80.72.108/1
143.0.24.32|143.0.24.32/0
150.0.0.113|150.0.0.113/2
8.8.0.165|8.8.0.165/0
10.0.36.6|10.0.36.6/1
148.0.131.153|148.0.131.153/4
12.80.72.73|12.80.72.73/0
143.2.0.1|143.2.0.1/2
8.8.0.118|8.8.0.118/0
10.0.38.63|10.0.38.63/1
192.168.43.18|192.168.43.18/5
12.123.80.17|12.123.80.17/1
8.8.0.190|8.8.0.190/3
10.0.40.1|10.0.40.1/7
10.0.40.1|10.0.40.1/0
12.123.68.7|12.123.68.7/0
8.8.0.191|8.8.0.191/1
12.80.72.102|12.80.72.102/5
12.80.0.207|12.80.0.207/0
12.123.80.110|12.123.80.110/1
12.123.80.122|12.123.80.122/1
10.144.0.65|10.144.0.65/2
149.4.64.10|149.4.64.10/1
12.80.72.123|12.80.72.123/0
10.0.36.77|10.0.36.77/6
12.123.68.4|12.123.68.4/0
10.144.0.61|10.144.0.61/11
143.0.68.18|143.0.68.18/2
12.123.80.55|12.123.80.55/2
143.0.68.247|143.0.68.247/2
8.8.0.153|8.8.0.153/5
10.0.36.72|10.0.36.72/2
12.123.80.105|12.123.80.105/1
148.0.131.235|148.0.131.235/0
10.0.32.65|10.0.32.65/1
12.122.72.129|12.122.72.129/1
148.0.131.183|148.0.131.183/4
10.0.40.6|10.0.40.6/1
10.0.36.72|10.0.36.72/7
10.0.32.65|10.0.32.65/5
10.0.38.82|10.0.38.82/1
12.80.17.93|12.80.17.93/4
8.8.0.215|8.8.0.215/3
10.0.34.15|10.0.34.15/0
8.8.0.148|8.8.0.148/2
10.0.38.47|10.0.38.47/3
8.8.0.206|8.8.0.206/1
10.0.36.76|10.0.36.76/8
12.123.80.189|12.123.80.189/0
10.0.38.64|10.0.38.64/1
143.0.24.59|143.0.24.59/0
143.0.24.131|143.0.24.131/7
88.33.55.4|88.33.55.4/0
10.144.0.61|10.144.0.61/9
150.0.0.10|150.0.0.10/2
149.8.0.26|149.8.0.26/0
10.144.0.155|10.144.0.155/4
143.0.24.130|143.0.24.130/1
143.1.192.48|143.1.192.48/0
12.123.80.101|12.123.80.101/1
149.0.3.206|149.0.3.206/0
12.80.72.45|12.80.72.45/0
12.123.80.197|12.123.80.197/0
143.0.24.186|143.0.24.186/0
12.123.80.163|12.123.80.163/4
150.0.0.233|150.0.0.233/5
12.80.72.4|12.80.72.4/3
12.123.80.177|12.123.80.177/2
78.23.44.28|78.23.44.28/1
143.0.68.248|143.0.68.248/0
10.0.40.7|10.0.40.7/1
143.0.68.133|143.0.68.133/0
150.0.0.215|150.0.0.215/0
143.0.24.9|143.0.24.9/0
12.122.72.112|12.122.72.112/4
143.0.24.82|143.0.24.82/5
149.0.3.202|149.0.3.202/4
10.0.38.52|10.0.38.52/0
10.0.40.4|10.0.40.4/7
12.80.72.26|12.80.72.26/2
150.0.0.120|150.0.0.120/0
143.0.68.34|143.0.68.34/0
150.0.0.183|150.0.0.183/0
143.0.68.208|143.0.68.208/2
10.0.36.75|10.0.36.75/6
8.8.0.177|8.8.0.177/5
149.9.0.29|149.9.0.29/3
149.4.64.6|149.4.64.6/2
149.0.3.148|149.0.3.148/3
143.0.68.21|143.0.68.21/1
143.0.24.201|143.0.24.201/3
150.0.0.132|150.0.0.132/5
10.0.40.10|10.0.40.10/0
10.144.0.138|10.144.0.138/4
143.0.68.134|143.0.68.134/0
8.8.1.28|8.8.1.28/1
12.123.80.194|12.123.80.194/0
12.80.72.38|12.80.72.38/1
143.0.68.227|143.0.68.227/10
8.8.0.215|8.8.0.215/5
12.123.80.73|12.123.80.73/0
12.80.0.219|12.80.0.219/0
149.8.0.7|149.8.0.7/1
149.4.64.5|149.4.64.5/5
12.123.80.90|12.123.80.90/0
149.9.0.28|149.9.0.28/5
143.0.68.253|143.0.68.253/2
143.0.68.227|143.0.68.227/9
10.0.36.74|10.0.36.74/11
143.0.68.180|143.0.68.180/1
150.0.0.147|150.0.0.147/1
12.80.72.103|12.80.72.103/5
12.123.80.174|12.123.80.174/0
10.0.40.1|10.0.40.1/2
143.0.68.99|143.0.68.99/4
12.80.72.23|12.80.72.23/4
12.82.78.30|12.82.78.30/2
10.0.36.28|10.0.36.28/0
143.0.68.23|143.0.68.23/5
12.80.68.132|12.80.68.132/3
12.80.72.42|12.80.72.42/0
14.195.0.50|14.195.0.50/0
149.0.3.143|149.0.3.143/3
143.0.68.239|143.0.68.239/2
10.144.0.61|10.144.0.61/10
143.0.68.51|143.0.68.51/5
149.8.0.128|149.8.0.128/2
10.0.36.17|10.0.36.17/10
10.0.36.24|10.0.36.24/2
143.0.68.46|143.0.68.46/0
10.144.0.147|10.144.0.147/3
10.0.36.74|10.0.36.74/0
10.144.0.122|10.144.0.122/3
10.144.0.114|10.144.0.114/11
8.8.0.219|8.8.0.219/0
10.0.38.78|10.0.38.78/1
143.0.24.144|143.0.24.144/4
143.0.68.242|143.0.68.242/4
10.0.36.72|10.0.36.72/11
143.0.68.244|143.0.68.244/7
12.80.4.13|12.80.4.13/1
143.0.68.170|143.0.68.170/0
12.123.80.5|12.123.80.5/5
143.0.68.213|143.0.68.213/5
10.0.40.4|10.0.40.4/0
150.0.0.139|150.0.0.139/4
149.4.64.5|149.4.64.5/0
10.0.36.74|10.0.36.74/4
10.144.0.149|10.144.0.149/4
12.80.4.8|12.80.4.8/3
10.0.36.6|10.0.36.6/8
12.80.68.133|12.80.68.133/3
12.80.72.16|12.80.72.16/2
149.4.64.8|149.4.64.8/5
8.8.0.196|8.8.0.196/0
143.0.68.194|143.0.68.194/1
143.0.24.98|143.0.24.98/1
148.0.131.195|148.0.131.195/1
150.0.0.157|150.0.0.157/1
150.0.0.185|150.0.0.185/1
12.123.80.27|12.123.80.27/4
10.144.0.147|10.144.0.147/5
149.0.3.128|149.0.3.128/4
12.123.80.211|12.123.80.211/0
150.0.0.233|150.0.0.233/0
143.0.24.145|143.0.24.145/3
12.123.80.15|12.123.80.15/1
143.0.68.74|143.0.68.74/1
10.144.0.155|10.144.0.155/5
10.0.36.7|10.0.36.7/3
149.0.3.244|149.0.3.244/1
12.80.72.86|12.80.72.86/5
10.144.0.154|10.144.0.154/0
8.8.0.160|8.8.0.160/0
149.4.64.17|149.4.64.17/1
10.0.40.32|10.0.40.32/9
143.1.192.48|143.1.192.48/1
149.9.0.27|149.9.0.27/2
149.0.3.204|149.0.3.204/11
12.123.80.168|12.123.80.168/0
143.0.68.72|143.0.68.72/4
149.8.0.17|149.8.0.17/1
143.0.68.249|143.0.68.249/0
12.82.0.58|12.82.0.58/0
10.0.40.42|10.0.40.42/3
150.0.0.213|150.0.0.213/2
12.123.80.81|12.123.80.81/2
150.0.0.119|150.0.0.119/0
12.80.72.117|12.80.72.117/0
143.0.68.213|143.0.68.213/0
149.9.0.128|149.9.0.128/8
10.0.36.73|10.0.36.73/9
148.0.131.226|148.0.131.226/0
8.8.0.210|8.8.0.210/0
12.122.72.114|12.122.72.114/0
143.1.140.2|143.1.140.2/5
149.4.64.8|149.4.64.8/1
143.0.68.240|143.0.68.240/0
10.0.36.19|10.0.36.19/8
10.0.8.124|10.0.8.124/8
10.0.36.77|10.0.36.77/0
149.2.0.1|149.2.0.1/1
150.0.0.12|150.0.0.12/0
148.0.131.206|148.0.131.206/0
143.0.68.96|143.0.68.96/2
143.0.68.178|143.0.68.178/0
143.0.68.173|143.0.68.173/0
149.4.64.12|149.4.64.12/1
12.80.68.132|12.80.68.132/5
149.4.64.6|149.4.64.6/3
14.195.0.50|14.195.0.50/10
149.0.3.243|149.0.3.243/3
143.0.24.168|143.0.24.168/2
150.0.0.20|150.0.0.20/2
12.123.80.214|12.123.80.214/0
12.123.68.6|12.123.68.6/4
12.123.80.67|12.123.80.67/2
143.0.24.60|143.0.24.60/0
8.8.0.129|8.8.0.129/4.0
149.0.3.128|149.0.3.128/5
10.0.40.33|10.0.40.33/3
10.0.36.78|10.0.36.78/2
12.123.80.43|12.123.80.43/1
12.80.72.84|12.80.72.84/0
192.168.43.18|192.168.43.18/0
148.0.131.193|148.0.131.193/0
149.4.64.1|149.4.64.1/8
12.123.80.208|12.123.80.208/0
10.0.38.78|10.0.38.78/5
12.123.80.32|12.123.80.32/1
12.80.84.7|12.80.84.7/0
149.4.64.1|149.4.64.1/5
12.123.68.7|12.123.68.7/2
150.0.0.59|150.0.0.59/1
12.123.80.207|12.123.80.207/0
143.0.68.13|143.0.68.13/1
12.80.72.19|12.80.72.19/1
12.123.80.193|12.123.80.193/0
12.123.80.119|12.123.80.119/0
12.80.84.27|12.80.84.27/0
10.0.40.32|10.0.40.32/1
10.144.0.147|10.144.0.147/4
10.0.36.6|10.0.36.6/5
10.0.36.73|10.0.36.73/7
149.0.3.228|149.0.3.228/4
143.0.24.93|143.0.24.93/0
150.0.0.194|150.0.0.194/0
143.0.24.198|143.0.24.198/3
12.123.80.57|12.123.80.57/1
72.44.12.29|72.44.12.29/0
8.8.0.154|8.8.0.154/5
149.8.0.164|149.8.0.164/1
12.122.72.166|12.122.72.166/1
143.0.24.7|143.0.24.7/0
8.8.0.215|8.8.0.215/4
143.0.68.172|143.0.68.172/5
150.0.0.169|150.0.0.169/5
12.82.0.56|12.82.0.56/4
12.123.80.197|12.123.80.197/2
150.0.0.131|150.0.0.131/1
149.0.3.223|149.0.3.223/5
12.123.80.5|12.123.80.5/3
149.0.24.16|149.0.24.16/1
12.80.72.55|12.80.72.55/0
143.0.68.244|143.0.68.244/0
10.0.36.75|10.0.36.75/11
10.144.0.122|10.144.0.122/1
10.0.36.17|10.0.36.17/8
10.0.36.73|10.0.36.73/2
149.0.3.151|149.0.3.151/0
143.0.68.214|143.0.68.214/5
143.0.68.44|143.0.68.44/0
149.0.24.16|149.0.24.16/4
143.0.68.242|143.0.68.242/1
10.0.36.14|10.0.36.14/4
149.0.3.201|149.0.3.201/0
149.8.0.128|149.8.0.128/11
143.0.68.69|143.0.68.69/1
192.168.43.18|192.168.43.18/11
148.0.131.230|148.0.131.230/5
149.9.0.27|149.9.0.27/0
149.9.0.128|149.9.0.128/2
10.144.0.62|10.144.0.62/5
10.0.36.73|10.0.36.73/1
150.0.0.153|150.0.0.153/1
149.0.3.131|149.0.3.131/0
10.0.36.73|10.0.36.73/11
150.0.0.39|150.0.0.39/1
143.0.68.170|143.0.68.170/2
143.0.68.23|143.0.68.23/3
10.144.0.65|10.144.0.65/11
10.0.36.14|10.0.36.14/8
10.0.36.74|10.0.36.74/5
149.0.3.207|149.0.3.207/1
8.8.0.148|8.8.0.148/0
143.0.68.240|143.0.68.240/1
12.122.72.112|12.122.72.112/0
148.0.131.236|148.0.131.236/0
10.0.36.72|10.0.36.72/1
12.80.72.92|12.80.72.92/0
12.123.80.84|12.123.80.84/0
143.0.68.184|143.0.68.184/1
12.80.72.25|12.80.72.25/2
12.82.0.53|12.82.0.53/3
10.0.8.122|10.0.8.122/10
12.80.68.145|12.80.68.145/1
148.0.131.185|148.0.131.185/0
88.33.55.4|88.33.55.4/2
149.9.0.128|149.9.0.128/3
143.0.68.42|143.0.68.42/1
149.4.64.12|149.4.64.12/4
10.144.0.112|10.144.0.112/0
12.80.84.11|12.80.84.11/0
8.8.0.164|8.8.0.164/2
149.0.3.199|149.0.3.199/1
143.0.68.228|143.0.68.228/7
10.0.36.72|10.0.36.72/3
143.0.68.230|143.0.68.230/10
149.0.3.134|149.0.3.134/5
149.0.3.196|149.0.3.196/5
150.0.0.150|150.0.0.150/1
149.9.0.61|149.9.0.61/5
143.0.68.249|143.0.68.249/1
12.123.80.143|12.123.80.143/1
149.0.3.222|149.0.3.222/4
10.0.36.7|10.0.36.7/4
10.0.36.75|10.0.36.75/3
8.8.0.161|8.8.0.161/0
10.144.0.149|10.144.0.149/0
149.0.3.231|149.0.3.231/5
10.144.0.116|10.144.0.116/5
143.0.68.199|143.0.68.199/0
10.144.0.112|10.144.0.112/11
8.8.0.198|8.8.0.198/5
150.0.0.60|150.0.0.60/0
12.123.80.183|12.123.80.183/5
150.0.0.213|150.0.0.213/1
12.80.68.130|12.80.68.130/1
10.0.36.77|10.0.36.77/8
12.123.80.91|12.123.80.91/3
8.8.0.218|8.8.0.218/1
143.0.68.21|143.0.68.21/5
12.122.72.115|12.122.72.115/3
12.80.72.88|12.80.72.88/2
10.0.8.124|10.0.8.124/0
143.0.24.150|143.0.24.150/5
143.0.68.18|143.0.68.18/0
10.0.38.121|10.0.38.121/1
143.0.24.168|143.0.24.168/5
10.0.36.19|10.0.36.19/3
10.0.36.75|10.0.36.75/8
12.80.72.18|12.80.72.18/3
12.82.0.53|12.82.0.53/2
143.0.68.170|143.0.68.170/1
10.0.40.40|10.0.40.40/0
12.123.80.91|12.123.80.91/5
143.0.24.95|143.0.24.95/0
143.0.24.47|143.0.24.47/0
150.0.0.147|150.0.0.147/2
12.123.80.169|12.123.80.169/0
143.0.68.48|143.0.68.48/5
12.80.72.10|12.80.72.10/5
149.0.3.228|149.0.3.228/1
12.80.72.121|12.80.72.121/4
12.122.72.115|12.122.72.115/0
143.0.68.252|143.0.68.252/5
12.123.80.59|12.123.80.59/2
149.4.64.9|149.4.64.9/1
12.80.4.13|12.80.4.13/0
143.0.68.80|143.0.68.80/3
12.80.72.5|12.80.72.5/0
148.0.131.240|148.0.131.240/5
143.0.24.188|143.0.24.188/2
12.123.68.7|12.123.68.7/1
10.0.8.124|10.0.8.124/3
148.0.131.185|148.0.131.185/1
14.195.0.51|14.195.0.51/0
149.4.64.1|149.4.64.1/0
143.0.24.232|143.0.24.232/0
149.8.0.18|149.8.0.18/0
143.0.24.187|143.0.24.187/0
10.0.36.7|10.0.36.7/8
143.1.140.2|143.1.140.2/2
72.44.12.28|72.44.12.28/1
143.0.24.58|143.0.24.58/0
12.123.80.34|12.123.80.34/1
12.123.80.212|12.123.80.212/1
10.0.38.72|10.0.38.72/1
150.0.0.83|150.0.0.83/1
150.0.0.4|150.0.0.4/2
10.0.40.35|10.0.40.35/4
10.0.38.83|10.0.38.83/1
8.8.0.208|8.8.0.208/0
10.0.8.124|10.0.8.124/4
143.0.68.51|143.0.68.51/0
10.0.36.17|10.0.36.17/5
12.80.72.38|12.80.72.38/0
10.0.36.17|10.0.36.17/0
12.123.80.27|12.123.80.27/5
143.0.24.145|143.0.24.145/4
12.123.80.29|12.123.80.29/3
12.80.4.9|12.80.4.9/3
12.80.72.39|12.80.72.39/0
143.0.68.61|143.0.68.61/1
12.123.80.116|12.123.80.116/2
143.0.68.206|143.0.68.206/2
12.80.72.28|12.80.72.28/0
10.0.36.77|10.0.36.77/7
8.8.0.240|8.8.0.240/3
12.122.74.1|12.122.74.1/0
12.123.80.133|12.123.80.133/3
10.0.40.40|10.0.40.40/2
149.4.64.6|149.4.64.6/11
10.0.36.77|10.0.36.77/10
72.44.12.28|72.44.12.28/3
12.123.80.17|12.123.80.17/2
149.4.64.1|149.4.64.1/2
143.0.24.144|143.0.24.144/2
143.2.0.1|143.2.0.1/3
127.239.231.73|127.239.231.73/5
10.0.38.42|10.0.38.42/1
149.9.0.21|149.9.0.21/1
148.0.131.234|148.0.131.234/0
10.0.40.36|10.0.40.36/3
149.4.64.4|149.4.64.4/0
10.0.36.3|10.0.36.3/0
10.0.36.23|10.0.36.23/1
12.80.68.141|12.80.68.141/0
10.144.0.116|10.144.0.116/0
143.0.68.244|143.0.68.244/2
12.80.84.29|12.80.84.29/4
143.0.24.29|143.0.24.29/2
149.0.3.243|149.0.3.243/0
8.8.0.176|8.8.0.176/5
150.0.0.27|150.0.0.27/2
143.0.24.162|143.0.24.162/6
143.0.68.208|143.0.68.208/0
143.0.24.237|143.0.24.237/0
143.0.24.129|143.0.24.129/1
10.0.34.15|10.0.34.15/2
12.122.72.166|12.122.72.166/2
10.144.0.137|10.144.0.137/4
10.0.36.5|10.0.36.5/1
10.0.36.73|10.0.36.73/3
10.144.0.136|10.144.0.136/5
143.0.68.82|143.0.68.82/5
10.0.36.14|10.0.36.14/10
12.80.68.145|12.80.68.145/0
10.144.0.116|10.144.0.116/9
10.0.8.124|10.0.8.124/1
10.0.40.33|10.0.40.33/5
12.82.100.7|12.82.100.7/4
8.8.0.167|8.8.0.167/2
143.0.68.51|143.0.68.51/4
149.4.64.6|149.4.64.6/4
10.144.0.123|10.144.0.123/3
10.144.0.153|10.144.0.153/4
10.144.0.147|10.144.0.147/1
12.123.80.108|12.123.80.108/0
10.0.36.78|10.0.36.78/0
12.123.68.2|12.123.68.2/0
12.123.80.45|12.123.80.45/5
143.0.68.179|143.0.68.179/1
143.0.24.145|143.0.24.145/8
10.0.40.7|10.0.40.7/4
12.80.72.41|12.80.72.41/3
10.144.0.116|10.144.0.116/4
10.0.40.6|10.0.40.6/5
12.123.80.217|12.123.80.217/2
149.0.3.216|149.0.3.216/4
12.123.80.68|12.123.80.68/5
150.0.0.29|150.0.0.29/5
143.0.24.92|143.0.24.92/0
12.80.72.74|12.80.72.74/5
10.0.36.74|10.0.36.74/2
10.144.0.155|10.144.0.155/0
12.123.68.6|12.123.68.6/3
12.123.80.202|12.123.80.202/0
8.8.0.170|8.8.0.170/1
10.0.38.94|10.0.38.94/2
143.0.24.145|143.0.24.145/0
150.0.0.183|150.0.0.183/1
143.0.68.227|143.0.68.227/11
10.0.40.33|10.0.40.33/7
10.0.40.35|10.0.40.35/9
149.0.3.132|149.0.3.132/1
8.8.0.235|8.8.0.235/5
12.123.80.37|12.123.80.37/0
12.80.68.138|12.80.68.138/2
12.80.72.11|12.80.72.11/5
10.0.36.79|10.0.36.79/0
