@ref()|@const(IpagPeeringTable)class
@index(PeeringTable)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|clfi|local_clli|local_pport_key|remote_clli|remote_port_aid|remote_pport_key|role
JU101/GE1N/DYBHFLMAL03/DYBHFLMAL14|JU101/GE1N/DYBHFLMAL03/DYBHFLMAL14|JU101/GE1N/DYBHFLMAL03/DYBHFLMAL14||||||JU101/GE1N/DYBHFLMAL03/DYBHFLMAL14|DYBHFLMAL14|100.204.9.156/26|DYBHFLMAL03|ge-0/0/0|149.0.30.202/0/0/0|AAF-PRIMARY
JU101/GE1N/DYBHFLMAL04/DYBHFLMAL14|JU101/GE1N/DYBHFLMAL04/DYBHFLMAL14|JU101/GE1N/DYBHFLMAL04/DYBHFLMAL14||||||JU101/GE1N/DYBHFLMAL04/DYBHFLMAL14|DYBHFLMAL14|100.204.9.156/25|DYBHFLMAL04|ge-1/0/0|149.0.30.203/1/0/0|AAF-SECONDARY
101/GE1N/ORLDFL32ZZP/ORLDFL32ZZ4|101/GE1N/ORLDFL32ZZP/ORLDFL32ZZ4|101/GE1N/ORLDFL32ZZP/ORLDFL32ZZ4||||||101/GE1N/ORLDFL32ZZP/ORLDFL32ZZ4|ORLDFL32ZZ4|12.123.80.143/2/0/3|ORLDFL32ZZP|10.204.65.149/25|10.204.65.149/25|AAF-PRIMARY
