@rel(Composed_Of)
@from(PE_Card)key|@to(PE_PPort)key
12.82.102.23/5/1|12.82.102.23/5/1/0
12.122.122.16/3/3|12.122.122.16/3/3/9
12.82.40.97/3/0|12.82.40.97/3/0/4
12.82.92.25/10/0|12.82.92.25/10/0/0
1.2.3.4/10/0|1.2.3.4/10/0/4
12.82.0.48/3/3|12.82.0.48/3/3/6
12.82.24.66/4/1|12.82.24.66/4/1/9
12.82.32.77/10/1|12.82.32.77/10/1/1
12.82.16.73/2/0|12.82.16.73/2/0/8
12.122.120.182/2/3|12.122.120.182/2/3/0
12.82.56.8/5/0|12.82.56.8/5/0/3
12.122.126.87/4/1|12.122.126.87/4/1/4
12.82.106.10/10/0|12.82.106.10/10/0/2
12.82.8.82/9/0|12.82.8.82/9/0/9
12.82.120.133/1/0|12.82.120.133/1/0/7
12.82.114.13/9/1|12.82.114.13/9/1/1
12.82.120.133/1/0|12.82.120.133/1/0/2
12.82.94.18/10/3|12.82.94.18/10/3/1
12.82.114.22/9/3|12.82.114.22/9/3/4
12.82.63.2/10/1|12.82.63.2/10/1/6
12.82.72.25/5/1|12.82.72.25/5/1/9
172.20.5.230/6/3|172.20.5.230/6/3/0
12.82.48.196/0/3|12.82.48.196/0/3/4
12.82.24.31/8/3|12.82.24.31/8/3/9
12.122.122.154/7/0|12.122.122.154/7/0/8
12.82.150.17/0/3|12.82.150.17/0/3/3
12.82.40.80/1/2|12.82.40.80/1/2/0
12.82.24.74/3/0|12.82.24.74/3/0/2
12.82.0.82/1/0|12.82.0.82/1/0/1
165.87.253.130/5/1|165.87.253.130/5/1/1
12.82.106.11/5/0|12.82.106.11/5/0/3
12.82.126.192/1/0|12.82.126.192/1/0/5
12.122.122.155/11/1|12.122.122.155/11/1/0
12.122.215.3/5/3|12.122.215.3/5/3/2
12.122.122.226/3/1|12.122.122.226/3/1/8
12.82.114.22/10/3|12.82.114.22/10/3/6
12.82.118.4/3/0|12.82.118.4/3/0/9
12.122.125.38/3/0|12.122.125.38/3/0/2
12.82.104.21/2/2|12.82.104.21/2/2/3
12.82.94.18/10/2|12.82.94.18/10/2/0
1.1.2.1/5/1|1.1.2.1/5/1/2
12.82.82.8/2/2|12.82.82.8/2/2/2
12.122.215.43/7/0|12.122.215.43/7/0/0
12.82.94.17/9/3|12.82.94.17/9/3/0
12.82.0.66/2/0|12.82.0.66/2/0/1
12.82.82.16/1/2|12.82.82.16/1/2/6
165.87.24.22/2/3|165.87.24.22/2/3/0
12.122.126.124/3/2|12.122.126.124/3/2/0
172.30.136.4/7/3|172.30.136.4/7/3/0
12.82.0.63/3/0|12.82.0.63/3/0/7
12.82.48.1/8/1|12.82.48.1/8/1/0
12.82.16.69/3/3|12.82.16.69/3/3/1
12.82.117.28/1/1|12.82.117.28/1/1/7
12.122.122.86/4/2|12.122.122.86/4/2/0
12.82.40.104/3/1|12.82.40.104/3/1/2
12.82.78.1/5/3|12.82.78.1/5/3/0
12.82.40.101/5/2|12.82.40.101/5/2/3
12.82.60.28/3/0|12.82.60.28/3/0/8
12.82.118.19/3/1|12.82.118.19/3/1/8
12.82.86.29/9/2|12.82.86.29/9/2/5
12.82.40.88/5/2|12.82.40.88/5/2/5
12.82.48.64/5/3|12.82.48.64/5/3/0
12.122.120.244/0/1|12.122.120.244/0/1/0
12.122.125.6/2/1|12.122.125.6/2/1/6
12.82.40.82/2/2|12.82.40.82/2/2/0
12.122.121.140/0/0|12.122.121.140/0/0/0
12.82.126.64/3/2|12.82.126.64/3/2/5
12.82.0.44/3/0|12.82.0.44/3/0/5
12.82.49.74/0/1|12.82.49.74/0/1/0
12.82.96.20/5/1|12.82.96.20/5/1/9
12.123.80.32/1/0|12.123.80.32/1/0/6
165.87.65.217/3/0|165.87.65.217/3/0/5
12.82.8.10/2/0|12.82.8.10/2/0/4
12.122.121.157/0/3|12.122.121.157/0/3/0
12.82.24.66/10/2|12.82.24.66/10/2/6
12.82.102.28/8/3|12.82.102.28/8/3/2
12.83.165.245/6/1|12.83.165.245/6/1/0
12.82.88.20/8/1|12.82.88.20/8/1/2
149.0.3.138/0/0|149.0.3.138/0/0/0
12.122.119.192/0/3|12.122.119.192/0/3/0
12.82.72.27/2/1|12.82.72.27/2/1/2
172.30.148.2/7/3|172.30.148.2/7/3/1
12.82.82.21/2/3|12.82.82.21/2/3/1
12.82.110.5/5/0|12.82.110.5/5/0/0
12.82.8.80/10/1|12.82.8.80/10/1/0
12.82.0.1/4/0|12.82.0.1/4/0/6
12.122.127.7/1/0|12.122.127.7/1/0/7
12.82.32.77/3/2|12.82.32.77/3/2/6
12.122.120.227/1/0|12.122.120.227/1/0/2
12.82.114.13/10/0|12.82.114.13/10/0/4
12.82.78.28/2/2|12.82.78.28/2/2/4
12.82.56.6/9/1|12.82.56.6/9/1/2
12.122.122.226/4/0|12.122.122.226/4/0/0
12.82.74.29/2/3|12.82.74.29/2/3/0
12.83.165.226/0/0|12.83.165.226/0/0/2
12.82.94.16/9/0|12.82.94.16/9/0/7
12.82.127.64/3/3|12.82.127.64/3/3/4
12.122.120.207/3/0|12.122.120.207/3/0/0
12.82.24.65/4/2|12.82.24.65/4/2/8
12.122.122.165/8/1|12.122.122.165/8/1/0
12.82.66.24/2/1|12.82.66.24/2/1/1
12.82.8.90/10/1|12.82.8.90/10/1/8
12.82.86.21/4/1|12.82.86.21/4/1/5
12.82.0.83/3/0|12.82.0.83/3/0/5
12.82.76.23/2/2|12.82.76.23/2/2/5
12.82.114.14/10/0|12.82.114.14/10/0/1
12.82.118.24/10/0|12.82.118.24/10/0/1
12.82.40.100/2/2|12.82.40.100/2/2/7
12.82.88.27/3/0|12.82.88.27/3/0/1
12.82.8.71/1/2|12.82.8.71/1/2/7
12.82.94.25/2/1|12.82.94.25/2/1/9
12.82.114.22/10/3|12.82.114.22/10/3/2
12.82.124.65/3/2|12.82.124.65/3/2/2
12.122.121.138/3/3|12.122.121.138/3/3/6
12.82.40.128/1/0|12.82.40.128/1/0/0
12.82.48.1/4/1|12.82.48.1/4/1/0
12.82.40.81/2/1|12.82.40.81/2/1/1
12.82.48.65/10/3|12.82.48.65/10/3/3
12.82.24.1/3/0|12.82.24.1/3/0/2
12.83.164.245/5/0|12.83.164.245/5/0/0
12.82.96.9/3/0|12.82.96.9/3/0/2
12.82.80.31/3/0|12.82.80.31/3/0/1
12.82.16.103/0/0|12.82.16.103/0/0/0
12.122.122.188/3/0|12.122.122.188/3/0/0
12.82.125.128/10/1|12.82.125.128/10/1/8
12.82.33.1/0/3|12.82.33.1/0/3/9
12.82.16.80/2/0|12.82.16.80/2/0/2
12.80.84.29/3/0|12.80.84.29/3/0/5
12.82.92.31/2/1|12.82.92.31/2/1/4
12.82.109.5/2/1|12.82.109.5/2/1/9
12.82.62.6/5/0|12.82.62.6/5/0/7
12.82.66.27/2/2|12.82.66.27/2/2/6
12.83.165.248/5/0|12.83.165.248/5/0/0
12.82.24.1/9/1|12.82.24.1/9/1/8
12.82.106.14/3/2|12.82.106.14/3/2/6
12.122.122.48/8/1|12.122.122.48/8/1/0
12.82.40.91/8/3|12.82.40.91/8/3/0
12.82.16.78/8/2|12.82.16.78/8/2/4
12.82.124.65/3/3|12.82.124.65/3/3/2
135.16.241.28/10/2|135.16.241.28/10/2/9
12.82.118.24/3/3|12.82.118.24/3/3/4
148.0.131.234/0/0|148.0.131.234/0/0/0
143.0.68.35/1/1|143.0.68.35/1/1/3
12.82.126.192/11/0|12.82.126.192/11/0/0
12.82.118.22/3/1|12.82.118.22/3/1/7
12.82.16.70/1/2|12.82.16.70/1/2/5
12.122.122.72/3/0|12.122.122.72/3/0/6
12.82.0.86/2/1|12.82.0.86/2/1/7
12.82.56.10/10/3|12.82.56.10/10/3/0
143.0.68.254/1/0|143.0.68.254/1/0/2
135.16.241.28/3/3|135.16.241.28/3/3/1
12.82.56.6/3/2|12.82.56.6/3/2/4
12.82.48.65/3/0|12.82.48.65/3/0/9
12.82.40.7/2/0|12.82.40.7/2/0/9
12.82.96.25/2/1|12.82.96.25/2/1/1
12.122.126.103/7/0|12.122.126.103/7/0/1
12.82.40.105/7/1|12.82.40.105/7/1/0
12.82.40.122/9/2|12.82.40.122/9/2/0
12.82.56.1/9/1|12.82.56.1/9/1/0
12.82.102.1/1/0|12.82.102.1/1/0/7
12.82.56.5/4/1|12.82.56.5/4/1/8
12.122.122.110/8/0|12.122.122.110/8/0/0
12.82.66.30/9/3|12.82.66.30/9/3/4
12.82.80.27/2/1|12.82.80.27/2/1/1
12.82.60.17/9/1|12.82.60.17/9/1/7
12.82.126.64/0/2|12.82.126.64/0/2/0
12.83.164.81/1/1|12.83.164.81/1/1/0
12.82.24.69/1/3|12.82.24.69/1/3/4
12.122.125.234/4/3|12.122.125.234/4/3/0
12.82.60.25/5/1|12.82.60.25/5/1/7
10.144.0.155/3/0|10.144.0.155/3/0/2
165.87.210.6/7/0|165.87.210.6/7/0/2
12.82.56.10/3/0|12.82.56.10/3/0/8
12.122.122.203/3/2|12.122.122.203/3/2/2
12.122.122.73/11/3|12.122.122.73/11/3/0
12.82.82.16/9/3|12.82.82.16/9/3/3
12.82.24.27/2/0|12.82.24.27/2/0/7
12.82.32.96/4/0|12.82.32.96/4/0/1
12.82.118.4/3/3|12.82.118.4/3/3/0
12.82.0.58/3/3|12.82.0.58/3/3/4
12.82.102.22/5/3|12.82.102.22/5/3/5
12.82.59.11/3/1|12.82.59.11/3/1/1
172.30.128.23/7/3|172.30.128.23/7/3/8
12.82.0.94/3/2|12.82.0.94/3/2/0
12.82.0.71/9/2|12.82.0.71/9/2/0
165.87.208.195/5/3|165.87.208.195/5/3/2
12.123.80.34/1/0|12.123.80.34/1/0/0
12.122.125.132/2/1|12.122.125.132/2/1/5
12.82.40.97/2/2|12.82.40.97/2/2/6
12.122.122.139/3/2|12.122.122.139/3/2/5
12.82.100.2/2/1|12.82.100.2/2/1/6
12.82.116.2/10/3|12.82.116.2/10/3/8
12.122.215.8/5/3|12.122.215.8/5/3/0
12.82.40.33/3/0|12.82.40.33/3/0/0
12.82.125.128/4/2|12.82.125.128/4/2/0
12.83.164.65/4/0|12.83.164.65/4/0/0
12.82.8.10/4/2|12.82.8.10/4/2/9
12.82.24.71/1/0|12.82.24.71/1/0/6
12.82.0.84/2/1|12.82.0.84/2/1/0
12.122.122.72/10/2|12.122.122.72/10/2/0
12.82.98.18/2/1|12.82.98.18/2/1/0
12.82.96.22/1/3|12.82.96.22/1/3/0
12.82.118.16/2/0|12.82.118.16/2/0/0
12.122.122.50/3/1|12.122.122.50/3/1/0
143.0.68.228/2/2|143.0.68.228/2/2/4
12.82.110.5/9/0|12.82.110.5/9/0/6
12.82.90.13/9/1|12.82.90.13/9/1/5
12.82.40.113/2/0|12.82.40.113/2/0/5
12.82.56.2/3/0|12.82.56.2/3/0/0
12.122.120.203/2/3|12.122.120.203/2/3/0
12.82.24.64/2/0|12.82.24.64/2/0/5
12.82.24.45/2/2|12.82.24.45/2/2/2
12.123.80.29/1/0|12.123.80.29/1/0/1
12.123.80.73/0/0|12.123.80.73/0/0/1
12.82.125.128/3/2|12.82.125.128/3/2/4
12.122.122.99/3/3|12.122.122.99/3/3/2
12.82.24.51/2/2|12.82.24.51/2/2/8
172.30.136.2/6/2|172.30.136.2/6/2/7
12.82.70.27/10/0|12.82.70.27/10/0/3
12.82.0.93/10/1|12.82.0.93/10/1/2
12.82.114.17/2/0|12.82.114.17/2/0/8
12.123.80.133/3/0|12.123.80.133/3/0/0
12.82.114.4/9/2|12.82.114.4/9/2/1
12.82.24.77/0/0|12.82.24.77/0/0/0
12.122.126.170/6/1|12.122.126.170/6/1/0
12.82.112.3/3/0|12.82.112.3/3/0/5
172.30.136.2/7/3|172.30.136.2/7/3/5
12.82.68.1/9/2|12.82.68.1/9/2/0
12.82.24.64/2/2|12.82.24.64/2/2/7
12.122.127.48/6/2|12.122.127.48/6/2/0
12.82.66.1/3/1|12.82.66.1/3/1/2
12.82.148.7/4/3|12.82.148.7/4/3/1
12.82.8.82/3/2|12.82.8.82/3/2/2
12.82.66.1/3/0|12.82.66.1/3/0/5
12.82.8.55/3/2|12.82.8.55/3/2/1
12.82.102.1/1/2|12.82.102.1/1/2/3
12.82.146.17/7/0|12.82.146.17/7/0/0
12.82.127.129/10/1|12.82.127.129/10/1/6
12.82.98.15/10/2|12.82.98.15/10/2/3
12.122.125.235/1/3|12.122.125.235/1/3/0
12.82.0.93/4/1|12.82.0.93/4/1/3
12.82.70.27/10/2|12.82.70.27/10/2/7
135.16.241.28/4/0|135.16.241.28/4/0/6
12.82.0.55/3/2|12.82.0.55/3/2/1
12.82.116.2/9/0|12.82.116.2/9/0/6
12.82.86.21/2/3|12.82.86.21/2/3/4
12.122.122.206/5/2|12.122.122.206/5/2/2
12.82.88.12/1/0|12.82.88.12/1/0/7
12.82.48.1/4/2|12.82.48.1/4/2/9
12.82.58.3/9/3|12.82.58.3/9/3/3
12.82.102.28/10/1|12.82.102.28/10/1/3
12.82.0.62/1/1|12.82.0.62/1/1/5
12.82.110.1/8/2|12.82.110.1/8/2/5
165.87.245.224/5/2|165.87.245.224/5/2/2
12.82.110.16/2/0|12.82.110.16/2/0/9
143.0.25.55/5/0|143.0.25.55/5/0/1
8.8.0.169/4/0|8.8.0.169/4/0/2
12.82.114.17/3/1|12.82.114.17/3/1/8
12.82.78.18/3/0|12.82.78.18/3/0/4
12.122.122.139/3/2|12.122.122.139/3/2/9
12.82.16.97/3/0|12.82.16.97/3/0/8
12.122.215.4/1/3|12.122.215.4/1/3/0
12.122.122.51/4/2|12.122.122.51/4/2/8
10.144.0.154/3/1|10.144.0.154/3/1/5
12.122.124.70/3/1|12.122.124.70/3/1/0
12.122.122.50/4/2|12.122.122.50/4/2/1
12.82.127.129/3/3|12.82.127.129/3/3/3
12.82.40.128/2/0|12.82.40.128/2/0/9
12.82.78.28/2/3|12.82.78.28/2/3/6
12.82.68.1/10/3|12.82.68.1/10/3/8
32.120.129.124/5/2|32.120.129.124/5/2/0
12.82.0.94/10/2|12.82.0.94/10/2/1
12.82.126.131/5/0|12.82.126.131/5/0/8
12.82.138.17/1/3|12.82.138.17/1/3/6
12.82.154.5/3/3|12.82.154.5/3/3/1
12.122.122.87/3/1|12.122.122.87/3/1/9
12.122.120.202/4/1|12.122.120.202/4/1/0
12.82.66.1/10/2|12.82.66.1/10/2/6
12.82.76.25/3/1|12.82.76.25/3/1/4
8.8.0.185/3/0|8.8.0.185/3/0/5
12.82.24.30/2/1|12.82.24.30/2/1/6
12.82.117.27/1/0|12.82.117.27/1/0/5
12.82.16.62/5/1|12.82.16.62/5/1/9
12.82.124.129/10/1|12.82.124.129/10/1/7
12.82.96.1/2/2|12.82.96.1/2/2/6
12.82.118.11/5/1|12.82.118.11/5/1/9
12.122.127.50/4/0|12.122.127.50/4/0/0
12.82.60.27/2/1|12.82.60.27/2/1/0
12.82.40.131/0/0|12.82.40.131/0/0/0
12.82.98.15/10/0|12.82.98.15/10/0/0
165.87.209.53/7/0|165.87.209.53/7/0/2
12.82.110.5/7/1|12.82.110.5/7/1/0
12.82.110.4/7/3|12.82.110.4/7/3/0
12.122.126.81/2/3|12.122.126.81/2/3/0
12.82.8.72/2/1|12.82.8.72/2/1/4
12.82.70.28/5/2|12.82.70.28/5/2/7
12.82.8.82/9/1|12.82.8.82/9/1/0
12.82.40.98/5/2|12.82.40.98/5/2/7
12.82.16.78/0/3|12.82.16.78/0/3/0
12.82.96.3/2/1|12.82.96.3/2/1/1
12.122.119.32/3/0|12.122.119.32/3/0/0
12.82.55.11/0/0|12.82.55.11/0/0/0
12.82.114.23/5/1|12.82.114.23/5/1/2
12.82.40.119/2/0|12.82.40.119/2/0/5
12.82.74.27/2/0|12.82.74.27/2/0/2
12.82.0.96/7/0|12.82.0.96/7/0/0
12.82.32.96/4/1|12.82.32.96/4/1/3
12.80.17.93/3/0|12.80.17.93/3/0/0
12.122.124.232/1/0|12.122.124.232/1/0/0
12.82.118.1/3/3|12.82.118.1/3/3/4
12.122.120.181/0/1|12.122.120.181/0/1/0
12.122.120.7/2/1|12.122.120.7/2/1/5
12.82.66.30/8/1|12.82.66.30/8/1/6
12.82.0.43/4/0|12.82.0.43/4/0/1
32.119.208.124/5/1|32.119.208.124/5/1/1
12.82.8.88/2/2|12.82.8.88/2/2/1
12.82.150.17/1/3|12.82.150.17/1/3/6
12.82.124.129/8/2|12.82.124.129/8/2/6
12.82.126.192/8/1|12.82.126.192/8/1/9
12.82.126.192/10/3|12.82.126.192/10/3/6
12.82.94.28/3/2|12.82.94.28/3/2/6
12.82.24.47/5/3|12.82.24.47/5/3/3
12.82.127.128/10/2|12.82.127.128/10/2/6
12.122.122.98/3/2|12.122.122.98/3/2/9
12.82.16.94/1/1|12.82.16.94/1/1/1
12.82.80.26/2/2|12.82.80.26/2/2/2
12.82.24.123/6/2|12.82.24.123/6/2/2
12.82.106.5/5/1|12.82.106.5/5/1/0
12.82.94.17/5/2|12.82.94.17/5/2/6
12.82.33.1/0/2|12.82.33.1/0/2/4
12.122.122.132/3/3|12.122.122.132/3/3/5
12.82.80.31/4/1|12.82.80.31/4/1/4
165.87.65.222/3/2|165.87.65.222/3/2/9
12.82.0.55/3/2|12.82.0.55/3/2/9
12.82.40.84/7/2|12.82.40.84/7/2/0
12.82.110.4/1/1|12.82.110.4/1/1/3
12.82.60.25/10/0|12.82.60.25/10/0/7
12.83.165.49/7/0|12.83.165.49/7/0/0
12.122.120.165/1/0|12.122.120.165/1/0/2
12.82.24.65/3/2|12.82.24.65/3/2/5
12.82.150.17/0/0|12.82.150.17/0/0/6
12.123.80.85/0/0|12.123.80.85/0/0/0
12.122.122.111/1/3|12.122.122.111/1/3/0
12.83.164.186/5/0|12.83.164.186/5/0/0
12.122.121.156/11/3|12.122.121.156/11/3/1
12.82.40.99/4/3|12.82.40.99/4/3/1
12.82.16.78/3/1|12.82.16.78/3/1/6
12.82.16.78/8/1|12.82.16.78/8/1/9
12.82.16.78/10/1|12.82.16.78/10/1/7
12.82.0.53/5/0|12.82.0.53/5/0/8
12.82.40.102/3/1|12.82.40.102/3/1/0
149.8.0.21/0/0|149.8.0.21/0/0/1
12.82.60.22/3/1|12.82.60.22/3/1/1
12.82.102.4/3/2|12.82.102.4/3/2/0
12.82.40.128/2/0|12.82.40.128/2/0/1
165.87.32.43/2/3|165.87.32.43/2/3/0
32.12.1.1/3/2|32.12.1.1/3/2/1
12.82.24.42/3/0|12.82.24.42/3/0/1
12.82.127.129/8/2|12.82.127.129/8/2/5
12.82.0.61/10/3|12.82.0.61/10/3/4
12.82.24.63/2/0|12.82.24.63/2/0/7
12.82.0.44/2/1|12.82.0.44/2/1/2
12.82.102.21/1/0|12.82.102.21/1/0/5
12.122.122.65/3/3|12.122.122.65/3/3/9
12.123.80.117/2/0|12.123.80.117/2/0/1
12.82.86.28/2/2|12.82.86.28/2/2/3
150.0.0.59/0/1|150.0.0.59/0/1/0
12.82.0.63/9/2|12.82.0.63/9/2/2
12.82.90.30/5/3|12.82.90.30/5/3/9
12.122.215.14/4/3|12.122.215.14/4/3/0
12.82.106.6/7/0|12.82.106.6/7/0/2
12.82.127.129/1/3|12.82.127.129/1/3/0
149.0.3.138/0/1|149.0.3.138/0/1/1
12.82.16.50/9/2|12.82.16.50/9/2/0
12.82.76.30/2/2|12.82.76.30/2/2/7
12.82.0.49/2/0|12.82.0.49/2/0/7
12.82.8.55/2/0|12.82.8.55/2/0/3
12.82.94.17/10/0|12.82.94.17/10/0/8
12.82.0.52/3/1|12.82.0.52/3/1/8
165.87.208.16/7/1|165.87.208.16/7/1/1
12.82.118.19/2/2|12.82.118.19/2/2/0
12.122.83.71/4/2|12.122.83.71/4/2/0
12.82.60.30/10/2|12.82.60.30/10/2/6
12.122.122.153/3/0|12.122.122.153/3/0/4
12.122.126.103/4/3|12.122.126.103/4/3/0
12.82.127.64/11/1|12.82.127.64/11/1/0
12.82.86.29/5/3|12.82.86.29/5/3/3
12.82.0.117/0/0|12.82.0.117/0/0/0
148.0.131.182/4/0|148.0.131.182/4/0/7
12.82.48.1/3/0|12.82.48.1/3/0/4
12.122.122.87/7/0|12.122.122.87/7/0/2
12.122.121.153/1/3|12.122.121.153/1/3/1
12.82.24.44/5/0|12.82.24.44/5/0/3
1.2.3.4/0/2|1.2.3.4/0/2/8
12.82.66.30/10/1|12.82.66.30/10/1/7
12.82.80.19/5/0|12.82.80.19/5/0/7
12.122.122.139/4/0|12.122.122.139/4/0/0
12.82.127.128/8/3|12.82.127.128/8/3/2
12.122.120.13/3/2|12.122.120.13/3/2/0
12.82.76.24/9/2|12.82.76.24/9/2/7
12.82.76.25/3/1|12.82.76.25/3/1/5
12.82.49.74/3/2|12.82.49.74/3/2/6
12.82.118.12/1/3|12.82.118.12/1/3/2
12.82.118.6/2/0|12.82.118.6/2/0/0
12.82.60.18/2/2|12.82.60.18/2/2/4
12.122.120.231/3/0|12.122.120.231/3/0/0
12.82.16.40/7/1|12.82.16.40/7/1/0
12.122.119.160/3/0|12.122.119.160/3/0/6
12.122.122.162/7/0|12.122.122.162/7/0/0
12.82.127.64/3/2|12.82.127.64/3/2/2
12.82.40.99/10/2|12.82.40.99/10/2/7
12.122.126.70/1/0|12.122.126.70/1/0/0
12.82.24.66/10/2|12.82.24.66/10/2/3
12.82.114.11/9/3|12.82.114.11/9/3/0
12.82.24.123/11/2|12.82.24.123/11/2/8
12.82.110.5/9/3|12.82.110.5/9/3/8
12.122.120.237/4/1|12.122.120.237/4/1/0
12.122.122.78/9/0|12.122.122.78/9/0/0
12.82.58.1/3/0|12.82.58.1/3/0/9
12.82.86.21/5/0|12.82.86.21/5/0/1
12.82.144.20/10/3|12.82.144.20/10/3/2
12.82.127.64/3/1|12.82.127.64/3/1/1
12.122.122.163/4/2|12.122.122.163/4/2/1
12.122.122.132/3/0|12.122.122.132/3/0/8
12.82.124.129/8/1|12.82.124.129/8/1/4
12.82.125.130/10/2|12.82.125.130/10/2/8
12.82.114.13/2/3|12.82.114.13/2/3/2
12.82.88.1/3/1|12.82.88.1/3/1/6
12.82.24.74/3/3|12.82.24.74/3/3/8
12.123.80.65/0/0|12.123.80.65/0/0/2
12.82.40.102/2/2|12.82.40.102/2/2/9
165.87.65.223/3/3|165.87.65.223/3/3/0
12.82.0.2/5/1|12.82.0.2/5/1/1
12.82.104.24/2/0|12.82.104.24/2/0/2
12.122.122.132/4/0|12.122.122.132/4/0/9
12.122.127.49/4/0|12.122.127.49/4/0/6
12.122.215.91/3/3|12.122.215.91/3/3/0
12.82.49.75/0/1|12.82.49.75/0/1/1
12.82.114.4/10/3|12.82.114.4/10/3/2
10.0.33.26/2/0|10.0.33.26/2/0/0
12.82.48.1/10/3|12.82.48.1/10/3/9
10.0.38.120/4/2|10.0.38.120/4/2/0
12.82.24.66/3/1|12.82.24.66/3/1/4
10.0.36.128/1/1|10.0.36.128/1/1/4
165.87.210.254/3/0|165.87.210.254/3/0/1
12.123.80.201/5/0|12.123.80.201/5/0/0
149.0.3.216/0/0|149.0.3.216/0/0/3
172.30.128.6/7/2|172.30.128.6/7/2/3
12.82.124.192/2/2|12.82.124.192/2/2/0
12.82.110.5/3/3|12.82.110.5/3/3/6
1.2.3.4/10/0|1.2.3.4/10/0/9
12.82.0.59/3/1|12.82.0.59/3/1/0
12.82.24.57/9/1|12.82.24.57/9/1/8
12.82.114.14/3/1|12.82.114.14/3/1/6
12.82.138.16/2/1|12.82.138.16/2/1/4
10.144.0.137/3/3|10.144.0.137/3/3/5
12.82.126.64/10/3|12.82.126.64/10/3/1
12.122.119.1/1/3|12.122.119.1/1/3/0
149.0.3.222/5/0|149.0.3.222/5/0/0
10.144.0.152/0/2|10.144.0.152/0/2/0
12.82.66.1/8/0|12.82.66.1/8/0/6
12.82.98.20/7/0|12.82.98.20/7/0/0
12.122.215.74/7/2|12.122.215.74/7/2/0
12.82.114.23/5/2|12.82.114.23/5/2/8
12.82.0.86/2/1|12.82.0.86/2/1/0
12.82.32.75/4/1|12.82.32.75/4/1/0
12.82.40.82/2/2|12.82.40.82/2/2/5
12.83.164.225/3/0|12.83.164.225/3/0/0
12.82.94.28/3/0|12.82.94.28/3/0/4
143.0.68.184/0/1|143.0.68.184/0/1/5
12.122.122.207/3/0|12.122.122.207/3/0/1
12.82.32.78/2/3|12.82.32.78/2/3/3
12.82.0.93/5/3|12.82.0.93/5/3/0
12.122.122.207/4/0|12.122.122.207/4/0/1
12.82.16.40/2/3|12.82.16.40/2/3/0
12.122.120.4/4/3|12.122.120.4/4/3/0
12.122.215.78/4/3|12.122.215.78/4/3/0
172.30.162.4/7/1|172.30.162.4/7/1/3
135.16.241.28/4/2|135.16.241.28/4/2/0
12.82.24.45/2/2|12.82.24.45/2/2/1
12.82.24.49/3/0|12.82.24.49/3/0/8
10.0.36.128/1/0|10.0.36.128/1/0/9
12.122.122.203/3/0|12.122.122.203/3/0/0
12.82.109.1/1/2|12.82.109.1/1/2/6
12.82.118.3/2/0|12.82.118.3/2/0/8
10.0.36.128/1/3|10.0.36.128/1/3/2
12.82.72.24/5/0|12.82.72.24/5/0/7
12.82.16.70/1/3|12.82.16.70/1/3/7
172.30.148.3/0/3|172.30.148.3/0/3/2
12.82.118.11/2/0|12.82.118.11/2/0/9
12.122.122.207/5/0|12.122.122.207/5/0/8
12.82.92.30/10/3|12.82.92.30/10/3/4
12.82.16.67/2/2|12.82.16.67/2/2/0
12.82.40.79/8/0|12.82.40.79/8/0/0
12.82.0.90/2/1|12.82.0.90/2/1/1
12.82.114.26/2/0|12.82.114.26/2/0/6
12.83.164.231/0/0|12.83.164.231/0/0/0
12.83.165.184/7/1|12.83.165.184/7/1/0
12.122.122.154/3/1|12.122.122.154/3/1/7
12.82.78.18/2/0|12.82.78.18/2/0/6
12.122.125.10/0/2|12.122.125.10/0/2/0
12.82.114.1/2/0|12.82.114.1/2/0/8
172.30.168.2/7/1|172.30.168.2/7/1/6
12.82.49.192/8/3|12.82.49.192/8/3/3
12.122.121.8/0/1|12.122.121.8/0/1/6
12.82.104.21/2/0|12.82.104.21/2/0/3
172.30.136.2/7/0|172.30.136.2/7/0/1
12.82.0.95/4/1|12.82.0.95/4/1/6
12.82.127.3/0/1|12.82.127.3/0/1/5
12.122.122.132/3/2|12.122.122.132/3/2/5
12.82.0.88/2/1|12.82.0.88/2/1/6
12.83.164.88/7/1|12.83.164.88/7/1/0
12.82.40.114/2/1|12.82.40.114/2/1/0
12.82.124.64/7/1|12.82.124.64/7/1/1
12.82.58.3/10/0|12.82.58.3/10/0/5
12.82.96.17/2/2|12.82.96.17/2/2/8
12.82.56.5/2/2|12.82.56.5/2/2/3
12.82.82.25/5/1|12.82.82.25/5/1/0
12.80.84.7/0/0|12.80.84.7/0/0/0
12.82.78.19/1/1|12.82.78.19/1/1/0
12.82.82.16/1/1|12.82.82.16/1/1/3
12.122.122.145/3/3|12.122.122.145/3/3/9
12.82.24.30/2/3|12.82.24.30/2/3/9
12.82.104.6/2/0|12.82.104.6/2/0/8
12.122.121.156/11/3|12.122.121.156/11/3/0
12.83.164.50/1/3|12.83.164.50/1/3/0
12.82.0.1/0/0|12.82.0.1/0/0/0
150.0.0.214/0/0|150.0.0.214/0/0/5
12.82.16.64/3/0|12.82.16.64/3/0/4
12.82.104.29/2/0|12.82.104.29/2/0/7
12.82.104.21/3/1|12.82.104.21/3/1/1
12.82.24.55/5/0|12.82.24.55/5/0/1
1.2.3.4/10/0|1.2.3.4/10/0/8
12.82.86.28/9/2|12.82.86.28/9/2/5
12.82.114.23/10/3|12.82.114.23/10/3/4
12.122.122.162/3/3|12.122.122.162/3/3/9
12.82.59.2/1/3|12.82.59.2/1/3/0
