@rel(Composed_Of)
@from(PE_Card)key|@to(PE_PPort)key
12.82.104.3/8/0|12.82.104.3/8/0/0
143.0.24.159/0/0|143.0.24.159/0/0/4
12.82.144.20/3/2|12.82.144.20/3/2/9
12.82.78.1/0/3|12.82.78.1/0/3/0
12.82.102.26/2/0|12.82.102.26/2/0/5
12.82.102.27/2/2|12.82.102.27/2/2/2
12.82.100.6/2/2|12.82.100.6/2/2/8
12.82.142.4/1/0|12.82.142.4/1/0/5
12.82.24.30/2/3|12.82.24.30/2/3/1
12.82.88.1/9/0|12.82.88.1/9/0/0
12.83.165.245/0/0|12.83.165.245/0/0/0
12.82.66.1/1/1|12.82.66.1/1/1/5
12.82.24.49/3/3|12.82.24.49/3/3/9
12.122.122.26/3/2|12.122.122.26/3/2/5
12.82.104.24/2/1|12.82.104.24/2/1/9
12.122.127.141/0/0|12.122.127.141/0/0/0
12.122.122.87/4/0|12.122.122.87/4/0/5
12.83.165.227/1/2|12.83.165.227/1/2/1
12.82.60.24/1/2|12.82.60.24/1/2/0
12.122.119.193/4/0|12.122.119.193/4/0/4
12.82.126.128/3/1|12.82.126.128/3/1/2
12.82.144.20/10/0|12.82.144.20/10/0/4
172.30.140.2/7/1|172.30.140.2/7/1/0
143.0.68.246/2/0|143.0.68.246/2/0/0
32.12.1.1/2/2|32.12.1.1/2/2/6
12.82.126.130/1/3|12.82.126.130/1/3/5
12.82.24.74/10/0|12.82.24.74/10/0/9
12.82.16.80/2/3|12.82.16.80/2/3/5
12.83.165.145/1/3|12.83.165.145/1/3/2
32.119.198.248/5/3|32.119.198.248/5/3/2
12.82.82.8/2/3|12.82.82.8/2/3/5
12.82.124.64/3/0|12.82.124.64/3/0/8
12.82.124.129/8/2|12.82.124.129/8/2/4
12.82.106.5/5/3|12.82.106.5/5/3/4
12.82.122.12/7/0|12.82.122.12/7/0/0
12.122.122.206/5/0|12.122.122.206/5/0/8
12.82.32.96/3/0|12.82.32.96/3/0/9
12.82.60.18/3/0|12.82.60.18/3/0/8
12.82.68.1/9/0|12.82.68.1/9/0/1
12.82.98.18/9/0|12.82.98.18/9/0/0
12.82.60.30/3/1|12.82.60.30/3/1/0
12.82.110.4/7/0|12.82.110.4/7/0/0
10.0.36.128/2/2|10.0.36.128/2/2/9
12.83.164.113/1/3|12.83.164.113/1/3/2
12.82.24.27/3/1|12.82.24.27/3/1/8
10.0.36.136/1/2|10.0.36.136/1/2/3
12.82.74.24/2/1|12.82.74.24/2/1/3
12.122.122.160/3/3|12.122.122.160/3/3/9
12.82.127.192/3/2|12.82.127.192/3/2/2
12.122.121.155/3/3|12.122.121.155/3/3/1
12.122.122.83/3/0|12.122.122.83/3/0/3
12.82.40.106/2/1|12.82.40.106/2/1/0
172.20.64.235/7/3|172.20.64.235/7/3/0
12.82.114.23/4/3|12.82.114.23/4/3/5
12.82.80.31/4/0|12.82.80.31/4/0/1
12.82.60.27/2/0|12.82.60.27/2/0/0
12.82.114.28/7/2|12.82.114.28/7/2/0
12.122.126.11/0/2|12.122.126.11/0/2/0
12.82.8.77/9/0|12.82.8.77/9/0/0
12.82.127.129/3/3|12.82.127.129/3/3/2
12.82.96.21/10/0|12.82.96.21/10/0/0
12.82.0.63/3/1|12.82.0.63/3/1/7
165.87.208.17/0/3|165.87.208.17/0/3/1
12.82.127.64/10/3|12.82.127.64/10/3/4
12.82.110.9/2/2|12.82.110.9/2/2/1
12.82.126.130/0/0|12.82.126.130/0/0/2
143.0.24.129/2/0|143.0.24.129/2/0/1
12.82.114.22/3/1|12.82.114.22/3/1/3
12.82.102.28/11/1|12.82.102.28/11/1/0
12.122.122.82/3/2|12.122.122.82/3/2/1
12.82.24.1/6/2|12.82.24.1/6/2/1
12.122.215.5/7/2|12.122.215.5/7/2/0
12.83.165.138/4/0|12.83.165.138/4/0/0
12.82.126.131/5/1|12.82.126.131/5/1/0
12.122.122.207/5/0|12.122.122.207/5/0/2
12.123.80.176/0/0|12.123.80.176/0/0/1
12.82.104.23/2/0|12.82.104.23/2/0/2
192.168.119.40/1/3|192.168.119.40/1/3/7
12.82.24.1/8/3|12.82.24.1/8/3/8
12.82.127.129/8/3|12.82.127.129/8/3/9
12.82.109.3/4/2|12.82.109.3/4/2/0
12.82.127.129/1/0|12.82.127.129/1/0/7
12.82.88.24/2/2|12.82.88.24/2/2/2
12.82.114.4/6/3|12.82.114.4/6/3/4
10.0.36.144/1/0|10.0.36.144/1/0/0
