@rel(Composed_Of)
@from(PE_Device)key|@to(PE_PPort)key
10.204.241.88|10.204.241.88/FastEthernet0/5
10.204.241.88|10.204.241.88/FastEthernet0/12
10.204.241.0|10.204.241.0/FastEthernet0/24
148.0.7.172|148.0.7.172/GigabitEthernet0/1/0
12.123.106.76|12.123.106.76/GigabitEthernet0/3/0
12.123.117.36|12.123.117.36/GigabitEthernet0/1
10.204.241.2|10.204.241.2/FastEthernet0/3
12.123.118.108|12.123.118.108/GigabitEthernet0/0/0
12.123.104.212|12.123.104.212/5
10.204.241.2|10.204.241.2/FastEthernet0/22
148.0.4.52|148.0.4.52/GigabitEthernet0/1
10.204.244.21|10.204.244.21/FastEthernet0/16
12.123.106.76|12.123.106.76/GigabitEthernet0/1/0
148.0.15.164|148.0.15.164/GigabitEthernet0/0
10.204.244.4|10.204.244.4/FastEthernet0/14
10.204.241.11|10.204.241.11/FastEthernet0/9
10.204.241.1|10.204.241.1/FastEthernet0/2
10.204.241.88|10.204.241.88/FastEthernet0/13
10.204.244.21|10.204.244.21/FastEthernet0/19
12.123.102.20|12.123.102.20/GigabitEthernet0/3/0
12.123.118.108|12.123.118.108/GigabitEthernet0/1
10.204.241.8|10.204.241.8/FastEthernet0/3
10.204.241.1|10.204.241.1/FastEthernet0/8
10.204.242.50|10.204.242.50/FastEthernet0/9
12.123.110.20|12.123.110.20/GigabitEthernet0/2
10.204.241.12|10.204.241.12/FastEthernet0/17
10.204.242.50|10.204.242.50/FastEthernet0/8
10.204.241.11|10.204.241.11/GigabitEthernet0/1
143.0.11.212|143.0.11.212/GigabitEthernet0/0
10.204.244.2|10.204.244.2/FastEthernet0/3
10.204.244.4|10.204.244.4/GigabitEthernet0/2
10.204.242.50|10.204.242.50/FastEthernet0/19
12.123.104.212|12.123.104.212/GigabitEthernet0/1
10.204.241.1|10.204.241.1/FastEthernet0/14
12.123.118.108|12.123.118.108/GigabitEthernet0/3/0
10.204.244.4|10.204.244.4/FastEthernet0/13
10.204.241.2|10.204.241.2/FastEthernet0/15
192.168.114.108|192.168.114.108/5
10.204.241.0|10.204.241.0/FastEthernet0/9
10.204.244.4|10.204.244.4/FastEthernet0/19
10.204.244.31|10.204.244.31/FastEthernet0/21
10.204.244.21|10.204.244.21/FastEthernet0/3
10.204.241.12|10.204.241.12/GigabitEthernet0/1
10.204.241.8|10.204.241.8/GigabitEthernet0/0
10.204.244.31|10.204.244.31/FastEthernet0/14
10.204.241.12|10.204.241.12/FastEthernet0/3
10.204.244.4|10.204.244.4/FastEthernet0/21
192.168.114.116|192.168.114.116/GigabitEthernet0/0/0
10.204.244.21|10.204.244.21/FastEthernet0/23
10.204.244.4|10.204.244.4/FastEthernet0/18
192.168.114.92|192.168.114.92/GigabitEthernet0/0
10.204.241.3|10.204.241.3/FastEthernet0/18
10.204.241.11|10.204.241.11/GigabitEthernet0/0
