@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
12.80.72.28/0/3/8|12.80.72.28/0/3/8/6
10.0.36.21/2/3/5|10.0.36.21/2/3/5/0
10.144.0.136/0/3/2|10.144.0.136/0/3/2/6010
143.0.68.242/5/0/0|143.0.68.242/5/0/0/6011
149.4.64.12/0/0/4|149.4.64.12/0/0/4/2
149.4.64.5/1/0/2|149.4.64.5/1/0/2/1
12.122.72.128/1/0/1|12.122.72.128/1/0/1/4
149.0.3.194/4/0/0|149.0.3.194/4/0/0/66
12.122.74.1/0/1/4|12.122.74.1/0/1/4/1
143.0.24.195/1/0/0|143.0.24.195/1/0/0/10
143.0.68.248/0/2/3|143.0.68.248/0/2/3/6001
149.4.64.5/0/1/7|149.4.64.5/0/1/7/2
143.1.140.2/5/3/6|143.1.140.2/5/3/6/3
12.123.80.219/0/0/2|12.123.80.219/0/0/2/8
149.4.64.12/3/0/0|149.4.64.12/3/0/0/9
10.144.0.137/1/2/0|10.144.0.137/1/2/0/6001
12.82.0.53/4/0/1|12.82.0.53/4/0/1/170
10.0.36.73/1/1/0|10.0.36.73/1/1/0/3
143.0.68.242/1/0/0|143.0.68.242/1/0/0/46
12.82.0.62/1/1/7|12.82.0.62/1/1/7/79
143.0.68.247/2/0/0|143.0.68.247/2/0/0/6001
12.123.68.1/2/1/3|12.123.68.1/2/1/3/1
143.0.68.227/4/2/0|143.0.68.227/4/2/0/26
10.0.36.6/0/3/4|10.0.36.6/0/3/4/2
10.0.36.7/6/0/4|10.0.36.7/6/0/4/0
72.44.12.29/0/2/3|72.44.12.29/0/2/3/2
10.0.36.72/0/2/4|10.0.36.72/0/2/4/0
8.8.0.154/3/1/0|8.8.0.154/3/1/0/15
12.123.80.214/0/0/8|12.123.80.214/0/0/8/6001
10.0.36.75/5/0/5|10.0.36.75/5/0/5/4
10.144.0.61/9/0/8|10.144.0.61/9/0/8/1
10.0.36.77/11/1/0|10.0.36.77/11/1/0/3
149.0.3.222/1/0/8|149.0.3.222/1/0/8/184
12.123.68.1/2/3/0|12.123.68.1/2/3/0/42
143.0.24.93/1/0/0|143.0.24.93/1/0/0/3
10.0.36.74/10/3/0|10.0.36.74/10/3/0/1
10.0.8.122/1/1/0|10.0.8.122/1/1/0/17
8.8.0.164/0/0/0|8.8.0.164/0/0/0/3
149.0.3.136/0/0/1|149.0.3.136/0/0/1/4
149.4.64.5/0/2/2|149.4.64.5/0/2/2/1
12.80.72.31/0/0/3|12.80.72.31/0/0/3/3
143.0.68.170/4/0/0|143.0.68.170/4/0/0/6011
